period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2016-03-26,2016,Q1,10-Q,2016-04-28,832000000,269000000,-68000000,-109000000,-0.14,-0.14,793000000,242000000,105000000,33000000,-42000000,26000000,716000000,,2002000000,230000000,2981000000,-503000000
2016-06-25,2016,Q2,10-Q,2016-07-26,1027000000,319000000,-8000000,69000000,0.09,0.08,821000000,243000000,117000000,33000000,-85000000,21000000,957000000,,2002000000,226000000,3316000000,-413000000
2016-09-24,2016,Q3,10-Q,2016-10-26,1307000000,59000000,-293000000,-406000000,-0.5,-0.5,815000000,259000000,117000000,33000000,29000000,9000000,1258000000,,1630000000,0,3616000000,385000000
2016-12-31,2016,Q4,10-K,2019-02-08,1106000000,351000000,-3000000,-51000000,-0.06,-0.06,931000000,264000000,121000000,34000000,188000000,21000000,1264000000,,1435000000,0,3321000000,416000000
2017-04-01,2017,Q1,10-K,2019-02-08,1178000000,331000000,-29000000,-73000000,-0.08,-0.08,939000000,266000000,121000000,34000000,-299000000,23000000,722000000,,1408000000,,3299000000,409000000
2017-07-01,2017,Q2,10-Q,2018-08-02,1151000000,404000000,25000000,-16000000,-0.02,-0.02,945000000,279000000,125000000,35000000,-82000000,12000000,760000000,,1375000000,42000000,3370000000,417000000
2017-09-30,2017,Q3,10-Q,2018-10-31,1584000000,573000000,126000000,71000000,0.07,0.07,1042000000,315000000,132000000,36000000,66000000,34000000,879000000,,1356000000,70000000,3586000000,520000000
2017-12-30,2017,Q4,10-K,2019-02-08,1340000000,515000000,82000000,61000000,0.06,0.06,1037000000,300000000,133000000,39000000,383000000,44000000,1185000000,,1325000000,70000000,3540000000,611000000
2018-03-31,2018,Q1,10-K,2019-02-08,1647000000,597000000,120000000,81000000,0.08,0.08,1039000000,343000000,134000000,44000000,-86000000,46000000,1045000000,,1165000000,223000000,3763000000,715000000
2018-06-30,2018,Q2,10-Q,2018-08-02,1756000000,652000000,153000000,116000000,0.12,0.11,1147000000,357000000,142000000,42000000,-45000000,43000000,948000000,,1170000000,223000000,4103000000,879000000
2018-09-29,2018,Q3,10-Q,2018-10-31,1653000000,661000000,150000000,102000000,0.1,0.09,1076000000,363000000,148000000,41000000,95000000,33000000,1046000000,,1167000000,136000000,4347000000,1125000000
2018-12-29,2018,Q4,10-K,2019-02-08,1419000000,537000000,28000000,38000000,0.04,0.04,1079000000,371000000,138000000,43000000,70000000,41000000,1078000000,,1114000000,136000000,4556000000,1266000000
2019-03-30,2019,Q1,10-Q,2019-05-01,1272000000,521000000,38000000,16000000,0.01,0.01,1094000000,373000000,170000000,46000000,-213000000,62000000,978000000,,1024000000,70000000,4931000000,1788000000
