period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2015-12-31,2015,Q4,10-K,2018-02-02,35747000000,,1108000000,482000000,1.03,1,481000000,,390000000,1752000000,8931000000,1309000000,15890000000,,8227000000,238000000,64747000000,13384000000
2016-03-31,2016,Q1,10-K,2018-02-02,29128000000,,1071000000,513000000,1.09,1.07,481000000,,497000000,1827000000,-1953000000,1179000000,12470000000,,8219000000,90000000,61128000000,14756000000
2016-06-30,2016,Q2,10-Q,2017-07-28,30404000000,,1285000000,857000000,1.81,1.78,483000000,,580000000,1909000000,3578000000,1711000000,12521000000,,8212000000,41000000,65076000000,16538000000
2016-09-30,2016,Q3,10-Q,2017-10-27,32714000000,,575000000,252000000,0.53,0.52,485000000,,639000000,2084000000,4659000000,1841000000,13656000000,,8205000000,48000000,70897000000,17782000000
2016-12-31,2016,Q4,10-K,2019-02-01,43741000000,,1255000000,749000000,1.57,1.54,486000000,,717000000,2297000000,10919000000,2006000000,19334000000,,7694000000,1056000000,83402000000,19285000000
2017-03-31,2017,Q1,10-K,2019-02-01,35714000000,,1005000000,724000000,1.52,1.48,490000000,,795000000,2435000000,-1619000000,1861000000,15440000000,,7691000000,1049000000,80969000000,21674000000
2017-06-30,2017,Q2,10-K,2019-02-01,37955000000,,628000000,197000000,0.41,0.4,492000000,,874000000,2633000000,3850000000,,13203000000,,7683000000,1063000000,87781000000,23214000000
2017-09-30,2017,Q3,10-Q,2018-10-26,43744000000,,347000000,256000000,0.53,0.52,494000000,,960000000,2912000000,3777000000,3074000000,12767000000,,24710000000,1037000000,115267000000,24658000000
2017-12-31,2017,Q4,10-K,2020-01-31,60453000000,,2127000000,1856000000,3.85,3.75,496000000,,1044000000,3498000000,12358000000,3619000000,20522000000,,24743000000,100000000,131310000000,27709000000
2018-03-31,2018,Q1,10-K,2020-01-31,51042000000,,1927000000,1629000000,3.36,3.27,498000000,,1067000000,3671000000,-1791000000,3098000000,16676000000,,24640000000,53000000,126362000000,31463000000
2018-06-30,2018,Q2,10-Q,2019-07-26,52886000000,,2983000000,2534000000,5.21,5.07,500000000,,1111000000,3630000000,7449000000,3243000000,19823000000,,24638000000,31000000,134100000000,34995000000
2018-09-30,2018,Q3,10-Q,2019-10-25,56576000000,,3724000000,2883000000,5.91,5.75,501000000,,1041000000,3778000000,8588000000,3352000000,20425000000,,24684000000,44000000,143695000000,39125000000
2018-12-31,2018,Q4,10-K,2021-02-03,72383000000,,3786000000,3027000000,6.18,6.04,501000000,,1117000000,4262000000,16477000000,3734000000,31750000000,,23495000000,1371000000,162648000000,43549000000
2019-03-31,2019,Q1,10-K,2021-02-03,59700000000,,4420000000,3561000000,7.24,7.09,502000000,,1173000000,4854000000,1846000000,3290000000,23115000000,,23322000000,1608000000,178102000000,48410000000
2019-06-30,2019,Q2,10-Q,2020-07-31,63404000000,,3084000000,2625000000,5.32,5.22,503000000,,1270000000,5202000000,9118000000,3562000000,22616000000,,23329000000,1636000000,191351000000,53061000000
2019-09-30,2019,Q3,10-Q,2020-10-30,69981000000,,3157000000,2134000000,4.31,4.23,504000000,,1348000000,5563000000,7892000000,4697000000,23255000000,,22472000000,2841000000,199099000000,56508000000
2019-12-31,2019,Q4,10-K,2022-02-04,87437000000,,3879000000,3268000000,6.58,6.47,505000000,,1412000000,6170000000,19659000000,5312000000,36092000000,,23414000000,1305000000,225248000000,62060000000
2020-03-31,2020,Q1,10-Q,2021-04-30,75452000000,,3989000000,2535000000,5.09,5.01,506000000,,1452000000,5362000000,3064000000,6795000000,27201000000,,23437000000,1311000000,221238000000,65272000000
2020-06-30,2020,Q2,10-Q,2021-07-30,88912000000,,5843000000,5243000000,10.5,10.3,509000000,,1580000000,5748000000,20606000000,7459000000,37466000000,,33128000000,1154000000,258314000000,73728000000
2020-09-30,2020,Q3,10-Q,2021-10-29,96145000000,,6194000000,6331000000,12.63,12.37,512000000,,1668000000,6523000000,11964000000,11063000000,29930000000,,32929000000,155000000,282179000000,82775000000
2020-12-31,2020,Q4,10-K,2023-02-03,125555000000,,6873000000,7222000000,14.38,14.09,513000000,,1968000000,7547000000,30431000000,14823000000,42122000000,,31816000000,1155000000,321195000000,93404000000
2021-03-31,2021,Q1,10-Q,2022-04-29,108518000000,,8865000000,8107000000,16.09,15.79,513000000,,1987000000,7508000000,4213000000,12082000000,33834000000,,31868000000,1156000000,323077000000,103320000000
