period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2016-04-30,2016,Q4,10-K,2018-06-27,84757000,37922000,17167000,,0.23,0.23,23153493,7065000,7161000,-692000,11746000,1862000,124287000,103404000,,,410658000,361525000
2016-07-30,2017,Q1,10-K,2019-06-26,34361000,8698000,-15580000,-11642000,-0.51,-0.51,22956607,8600000,13663000,1653000,-1243000,2634000,122313000,101802000,,,389534000,351480000
2016-10-29,2017,Q2,10-K,2019-06-26,65801000,30143000,-4487000,-4172000,-0.18,-0.18,23049056,8517000,13387000,1748000,-5036000,1880000,88876000,118208000,,,389898000,348147000
2017-01-28,2017,Q3,10-K,2019-06-26,54633000,18250000,-1425000,-2183000,-0.09,-0.09,23082974,7988000,12788000,1787000,-8145000,3072000,73278000,121095000,,,387456000,347246000
2017-04-30,2017,Q4,10-K,2019-06-26,113629000,50594000,42258000,31075000,1.32,1.3,23307738,3360000,7804000,-134000,6171000,1431000,79904000,119971000,,,432500000,381954000
2017-07-29,2018,Q1,10-K,2019-06-26,78043000,32589000,-8131000,-5882000,-0.25,-0.25,23336305,5542000,11287000,1406000,21282000,2705000,117473000,107831000,,,420739000,380722000
2017-10-28,2018,Q2,10-K,2019-06-26,72979000,28399000,10531000,7517000,0.33,0.32,23832959,6844000,12768000,1378000,2837000,2750000,117109000,110751000,,,429263000,389401000
2018-01-27,2018,Q3,10-K,2019-06-26,75322000,30392000,159000,-785000,-0.03,-0.03,23515622,6607000,11484000,1493000,3997000,2258000,112304000,109543000,,,432845000,390388000
2018-04-30,2018,Q4,10-K,2020-06-24,87930000,37023000,27867000,16797000,0.71,0.7,23813772,7440000,15287000,1705000,38000000,1850000,143517000,113649000,,,473418000,409033000
2018-10-31,2019,Q1,10-K,2020-06-24,72979000,28399000,,,,,,,,,,,,,,,,
2019-01-26,2019,Q2,10-Q,2020-03-04,75322000,30392000,7841000,8350000,0.35,0.35,24081819,8087000,14464000,1946000,4240000,2671000,149369000,144815000,,,498963000,455566000
