period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2017-01-29,2017,Q1,10-K,2018-12-21,4139000000,2001000000,506000000,239000000,,0.57,,,,,,,,,,,,
2017-04-30,2017,Q2,10-Q,2018-06-14,4190000000,1976000000,474000000,440000000,1.09,1.05,442000000,829000000,204000000,,,,4254000000,,,,,
2017-07-30,2017,Q3,10-Q,2018-09-13,4463000000,2149000000,648000000,481000000,1.18,1.14,445000000,827000000,200000000,,1656000000,255000000,5249000000,,,,,
2017-10-29,2017,Q4,8-K,2020-06-26,4844000000,2383000000,755000000,532000000,1.3,1.25,421000000,838000000,184000000,,1959000000,233000000,11204000000,,17431000000,117000000,54418000000,20285000000
2018-02-04,2018,Q1,8-K,2020-06-26,5327000000,2628000000,943000000,6230000000,15.2,14.62,426000000,925000000,291000000,,1685000000,220000000,7076000000,,,,,29081000000
2018-05-06,2018,Q2,10-Q,2019-06-14,5014000000,2551000000,1201000000,3718000000,8.83,8.33,448000000,936000000,294000000,,2313000000,189000000,8187000000,,17481000000,117000000,54936000000,32067000000
2018-08-05,2018,Q3,10-Q,2019-09-13,5063000000,2619000000,1339000000,1196000000,2.78,2.71,441000000,959000000,234000000,,2247000000,120000000,4136000000,,17487000000,117000000,50372000000,27452000000
2018-11-04,2018,Q4,10-K,2020-12-18,5444000000,2935000000,1652000000,1115000000,2.8,2.64,431000000,948000000,237000000,,2635000000,106000000,4292000000,,17493000000,0,50124000000,26657000000
2019-02-03,2019,Q1,10-K,2020-12-18,5789000000,3208000000,555000000,471000000,1.17,1.12,419000000,1133000000,471000000,,2132000000,99000000,5093000000,,34104000000,3537000000,72110000000,23224000000
2019-05-05,2019,Q2,10-Q,2020-06-12,5517000000,3089000000,970000000,691000000,1.74,1.64,422000000,1151000000,419000000,,2667000000,125000000,5328000000,,34011000000,3537000000,70916000000,22172000000
2019-08-04,2019,Q3,10-Q,2020-09-11,5515000000,3034000000,865000000,715000000,1.8,1.71,418000000,1235000000,410000000,,2419000000,112000000,5462000000,,34028000000,3537000000,69767000000,21503000000
2019-11-03,2019,Q4,10-K,2021-12-17,5776000000,3152000000,1054000000,847000000,2.07,1.97,419000000,1177000000,409000000,,2479000000,96000000,5055000000,,30011000000,2787000000,67493000000,24941000000
2020-02-02,2020,Q1,10-Q,2021-03-12,5858000000,3264000000,714000000,385000000,0.78,0.74,420000000,1289000000,601000000,,2322000000,108000000,6444000000,,42407000000,2311000000,81006000000,24368000000
2020-05-03,2020,Q2,10-Q,2021-06-11,5742000000,3189000000,766000000,563000000,1.22,1.17,417000000,1269000000,501000000,,3213000000,148000000,9207000000,,45044000000,819000000,81548000000,23942000000
2020-08-02,2020,Q3,10-Q,2021-09-09,5821000000,3316000000,1008000000,688000000,1.52,1.45,422000000,1228000000,428000000,,3178000000,105000000,8857000000,,43201000000,822000000,79298000000,23557000000
2020-11-01,2020,Q4,10-K,2022-12-16,6467000000,3747000000,1526000000,1324000000,3.1,2.93,421000000,1182000000,405000000,,3348000000,102000000,7618000000,,40235000000,827000000,75933000000,23874000000
2021-01-31,2021,Q1,10-Q,2022-03-10,6655000000,3952000000,1837000000,1378000000,3.2,3.05,428000000,1211000000,339000000,,3113000000,114000000,9552000000,,41068000000,864000000,76972000000,23973000000
2021-05-02,2021,Q2,10-Q,2022-06-09,6610000000,4057000000,1975000000,1493000000,3.46,3.3,429000000,1238000000,325000000,,3569000000,126000000,9518000000,,40160000000,,75524000000,23939000000
2021-08-01,2021,Q3,10-Q,2022-09-08,6778000000,4197000000,2126000000,1876000000,4.38,4.2,429000000,1205000000,346000000,,3541000000,115000000,11105000000,,40178000000,279000000,75880000000,24340000000
2021-10-31,2021,Q4,10-K,2023-12-14,7407000000,4638000000,2581000000,1989000000,4.64,4.46,429000000,1200000000,337000000,,3541000000,88000000,12163000000,,41235000000,264000000,75570000000,24962000000
2022-01-30,2022,Q1,10-Q,2023-03-08,7706000000,5049000000,3108000000,2472000000,5.82,5.59,429000000,1206000000,321000000,,3486000000,101000000,10219000000,,39205000000,300000000,73224000000,22968000000
2022-05-01,2022,Q2,10-Q,2023-06-07,8103000000,5439000000,3394000000,2590000000,6.16,5.93,424000000,1261000000,368000000,,4243000000,85000000,9005000000,,40958000000,269000000,71719000000,20963000000
2022-07-31,2022,Q3,10-Q,2023-09-06,8464000000,5681000000,3737000000,3074000000,7.4,7.15,430000000,1255000000,323000000,,4424000000,116000000,9977000000,,40958000000,269000000,71326000000,20876000000
2022-10-30,2022,Q4,10-K,2024-12-20,8930000000,5926000000,3986000000,3359000000,-16.65,-16.05,4232000000,1197000000,370000000,,4583000000,122000000,12416000000,,,403000000,73249000000,22709000000
2023-01-29,2023,Q1,10-Q,2024-03-14,8915000000,6004000000,4103000000,3774000000,9.03,8.8,429000000,1195000000,348000000,,4036000000,103000000,12647000000,,,1077000000,72976000000,23310000000
2023-04-30,2023,Q2,10-Q,2024-06-13,8733000000,6115000000,4008000000,3481000000,8.39,8.15,427000000,1312000000,438000000,,4502000000,122000000,11553000000,,,1077000000,71667000000,22007000000
2023-07-30,2023,Q3,10-Q,2024-09-11,8876000000,6164000000,3856000000,3303000000,0.8,0.77,4269000000,1358000000,388000000,,4719000000,122000000,12055000000,,,1077000000,71595000000,22079000000
2023-10-29,2023,Q4,10-K,2025-12-18,9295000000,6407000000,4240000000,3524000000,0.85,0.83,4272000000,1388000000,418000000,,4828000000,105000000,14189000000,,,1563000000,72861000000,23988000000
2024-02-04,2024,Q1,10-Q,2025-03-12,11961000000,7375000000,2083000000,1325000000,0.29,0.28,4666000000,2308000000,1572000000,,4815000000,122000000,11864000000,,,2374000000,177870000000,70284000000
2024-05-05,2024,Q2,10-Q,2025-06-11,12487000000,7776000000,2965000000,2121000000,0.46,0.44,4799000000,2415000000,1277000000,,4580000000,132000000,9809000000,,,2374000000,175211000000,69961000000
2024-08-04,2024,Q3,10-Q,2025-09-10,13072000000,8356000000,3788000000,-1875000000,-0.4,-0.4,4663000000,2353000000,1100000000,,4963000000,172000000,9952000000,,,3117000000,167966000000,65651000000
2024-11-03,2024,Q4,10-K,2025-12-18,14054000000,9002000000,4627000000,4324000000,0.93,0.9,4778000000,2234000000,1010000000,,5604000000,122000000,9348000000,,,1245000000,165645000000,67678000000
2025-02-02,2025,Q1,10-Q,2026-03-11,14916000000,10145000000,6260000000,5503000000,1.17,1.14,4836000000,2253000000,949000000,,6113000000,100000000,9307000000,,,1650000000,165358000000,69789000000
2025-05-04,2025,Q2,10-Q,2026-06-09,15004000000,10197000000,5829000000,4965000000,1.05,1.03,4826000000,2693000000,1083000000,,6555000000,144000000,9472000000,,,1650000000,164630000000,69586000000
2025-08-03,2025,Q3,10-Q,2026-09-10,15952000000,10703000000,5887000000,4140000000,0.88,0.85,4860000000,3050000000,1072000000,,7166000000,142000000,10718000000,,,900000000,165621000000,73277000000
2025-11-02,2025,Q4,10-K,2025-12-18,18015000000,12249000000,7508000000,8518000000,1.81,1.75,4853000000,2981000000,1107000000,,7703000000,237000000,16178000000,,61984000000,3152000000,171092000000,81292000000
