period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2015-12-31,2015,Q4,10-K,2016-02-11,21329000000,,5380000000,4923000000,,,,3510000000,1572000000,,6415000000,2100000000,16549000000,,1995000000,3225000000,147461000000,120331000000
2016-03-31,2016,Q1,10-Q,2016-05-03,20257000000,,5342000000,4207000000,6.12,6.02,,3367000000,1513000000,,7658000000,2428000000,15111000000,,1987000000,3221000000,149747000000,123569000000
2016-06-30,2016,Q2,10-Q,2016-08-04,21500000000,,5968000000,4877000000,7.11,7,,3363000000,1624000000,,9120000000,2123000000,13627000000,,1984000000,2219000000,154292000000,127879000000
2016-09-30,2016,Q3,10-Q,2016-11-03,22451000000,,5767000000,5061000000,7.36,7.25,,3596000000,1824000000,,9845000000,2554000000,9406000000,,3938000000,0,159948000000,134103000000
2016-12-31,2016,Q4,10-K,2019-02-05,26064000000,,6639000000,5333000000,7.73,7.59,,3622000000,2024000000,,9413000000,3078000000,12918000000,,3935000000,0,167497000000,139036000000
2017-03-31,2017,Q1,10-Q,2018-04-24,24750000000,,6568000000,5426000000,7.85,7.73,,3942000000,1801000000,,9548000000,2508000000,18132000000,,3937000000,,172756000000,144949000000
2017-06-30,2017,Q2,10-Q,2018-07-24,26010000000,,4132000000,3524000000,5.09,5.01,,4172000000,1700000000,,7403000000,2831000000,15711000000,,3939000000,,178621000000,148286000000
2017-09-30,2017,Q3,10-Q,2018-10-26,27772000000,,7782000000,6732000000,9.71,9.57,,4205000000,1595000000,,9872000000,3538000000,10581000000,,3941000000,,189536000000,157100000000
2017-12-31,2017,Q4,10-K,2019-02-05,32323000000,,7664000000,-3020000000,-4.38,-4.3,,4306000000,1776000000,,10268000000,4307000000,10715000000,,3943000000,0,197295000000,152502000000
2018-03-31,2018,Q1,10-Q,2018-04-24,31146000000,,7001000000,9401000000,13.53,13.33,,5039000000,2035000000,,11642000000,7299000000,12658000000,,3944000000,1329000000,206935000000,160825000000
2018-06-30,2018,Q2,10-Q,2018-07-24,32657000000,,2807000000,3195000000,4.6,4.54,,5114000000,2002000000,,10132000000,5477000000,14148000000,,3947000000,,211610000000,162000000000
2018-09-30,2018,Q3,10-Q,2018-10-26,33740000000,,8310000000,9192000000,13.21,13.06,,5232000000,2068000000,,13210000000,5282000000,13443000000,,3948000000,,221538000000,169840000000
2018-12-31,2018,Q4,10-K,2019-02-05,39276000000,,8203000000,8948000000,12.88,12.75,,6034000000,2021000000,,12987000000,7081000000,16701000000,,3950000000,,232792000000,177628000000
