period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2016-04-02,2016,Q1,10-Q,2016-05-02,13702000000,8130000000,2568000000,2046000000,0.43,0.42,4875000000,3246000000,2226000000,,4055000000,1346000000,3061000000,2927000000,21775000000,2606000000,105467000000,61174000000
2016-07-02,2016,Q2,10-Q,2016-08-01,13533000000,7973000000,1318000000,1330000000,0.28,0.27,4866000000,3145000000,2007000000,,3845000000,2286000000,3885000000,4301000000,24053000000,3111000000,109831000000,61367000000
2016-10-01,2016,Q3,10-Q,2016-10-31,15778000000,9983000000,4462000000,3378000000,0.71,0.69,4877000000,3069000000,2006000000,74000000,5758000000,2463000000,4752000000,3270000000,24043000000,3115000000,112217000000,63115000000
2016-12-31,2016,Q4,10-K,2019-02-01,16374000000,10105000000,4526000000,3562000000,0.75,0.73,4875000000,3280000000,2158000000,41000000,8150000000,3530000000,5560000000,3225000000,20649000000,4618000000,113327000000,66226000000
2017-04-01,2017,Q1,10-Q,2017-04-27,14796000000,9147000000,3599000000,2964000000,0.63,0.61,4881000000,3326000000,2104000000,38000000,3898000000,1952000000,4934000000,3058000000,20678000000,5073000000,115648000000,66844000000
2017-07-01,2017,Q2,10-Q,2017-07-27,14763000000,9098000000,3827000000,2808000000,0.6,0.58,4845000000,3275000000,1854000000,37000000,4707000000,2778000000,11687000000,3158000000,27855000000,4125000000,122107000000,68625000000
2017-09-30,2017,Q3,10-Q,2018-10-26,16149000000,10057000000,5115000000,4516000000,0.96,0.94,4821000000,3223000000,1666000000,49000000,6264000000,2979000000,9075000000,1446000000,27498000000,4129000000,127088000000,70936000000
2017-12-30,2017,Q4,10-K,2019-02-01,17053000000,10767000000,5395000000,-687000000,-0.15,-0.13,4835000000,3274000000,1850000000,53000000,7241000000,4069000000,3433000000,1814000000,25037000000,1739000000,123249000000,69019000000
2018-03-31,2018,Q1,10-Q,2019-04-26,16066000000,9731000000,4470000000,4454000000,0.95,0.93,4790000000,3311000000,1900000000,50000000,6284000000,2910000000,3554000000,2020000000,24770000000,3842000000,128596000000,70165000000
2018-06-30,2018,Q2,10-Q,2019-07-26,16962000000,10419000000,5273000000,5006000000,1.08,1.05,4747000000,3371000000,1725000000,50000000,7413000000,4530000000,2614000000,2263000000,24632000000,3510000000,125972000000,70047000000
2018-09-29,2018,Q3,10-Q,2018-10-26,19163000000,12360000000,7349000000,6398000000,1.4,1.38,4648000000,3428000000,1605000000,50000000,8835000000,3851000000,3407000000,2641000000,24823000000,3051000000,128242000000,71483000000
2018-12-29,2018,Q4,10-K,2019-02-01,18657000000,11227000000,6224000000,5195000000,1.15,1.13,4701000000,3433000000,1520000000,50000000,6900000000,3890000000,3019000000,2788000000,25098000000,761000000,127963000000,74563000000
2019-03-30,2019,Q1,10-Q,2019-04-26,16061000000,9089000000,4174000000,3974000000,0.88,0.87,4564000000,3332000000,1533000000,50000000,4959000000,3321000000,3154000000,2698000000,25737000000,2750000000,129458000000,73661000000
2019-06-29,2019,Q2,10-Q,2019-07-26,16505000000,9878000000,4617000000,4179000000,0.94,0.92,4523000000,3438000000,1589000000,50000000,7587000000,3554000000,2867000000,2414000000,25089000000,3726000000,130759000000,74947000000
2019-09-28,2019,Q3,10-Q,2019-10-25,19190000000,11295000000,6447000000,5990000000,1.36,1.35,4433000000,3208000000,1486000000,50000000,10711000000,4672000000,3935000000,1849000000,23707000000,5200000000,133768000000,74242000000
2019-12-28,2019,Q4,10-K,2020-01-24,20209000000,11878000000,6797000000,6905000000,1.59,1.57,4473000000,3384000000,1542000000,50000000,9888000000,4666000000,4194000000,1082000000,25308000000,3695000000,136524000000,77504000000
2020-03-28,2020,Q1,10-Q,2020-04-24,19828000000,12016000000,7038000000,5661000000,1.33,1.31,4312000000,3275000000,1541000000,,6158000000,3268000000,11380000000,1296000000,36455000000,3464000000,147710000000,76354000000
2020-06-27,2020,Q2,10-Q,2020-07-24,19728000000,10507000000,5697000000,5105000000,1.2,1.19,4284000000,3354000000,1447000000,,11157000000,3408000000,8736000000,4791000000,36093000000,2254000000,152539000000,82010000000
2020-09-26,2020,Q3,10-Q,2020-10-23,18333000000,9741000000,5059000000,4276000000,1.02,1.02,4211000000,3272000000,1435000000,,8179000000,3716000000,3356000000,2987000000,36059000000,504000000,145261000000,74554000000
2020-12-26,2020,Q4,10-K,2021-01-22,19978000000,11348000000,5884000000,5857000000,1.43,1.42,4232000000,3655000000,1757000000,,9890000000,3867000000,5865000000,2292000000,33897000000,2504000000,153091000000,81038000000
2021-03-27,2021,Q1,10-Q,2021-04-23,19673000000,10854000000,3694000000,3361000000,0.83,0.82,4096000000,3623000000,1328000000,,5548000000,3972000000,5192000000,2417000000,33237000000,2647000000,150622000000,79807000000
2021-06-26,2021,Q2,10-Q,2021-07-23,19631000000,11206000000,5546000000,5061000000,1.25,1.24,4084000000,3715000000,1599000000,,8746000000,3602000000,4746000000,3014000000,31714000000,3695000000,154597000000,85207000000
2021-09-25,2021,Q3,10-Q,2021-10-22,19192000000,10746000000,5227000000,6823000000,1.68,1.67,4086000000,3803000000,1674000000,,9900000000,4005000000,7870000000,4004000000,35610000000,4694000000,167962000000,90087000000
2021-12-25,2021,Q4,10-K,2022-01-27,20528000000,11009000000,4989000000,4623000000,1.13,1.13,4090000000,4049000000,1942000000,,5797000000,7154000000,4827000000,2103000000,33510000000,4591000000,168406000000,95391000000
2022-04-02,2022,Q1,10-Q,2022-04-29,18353000000,9244000000,4341000000,8113000000,1.99,1.98,4107000000,4362000000,1752000000,,5891000000,4604000000,6215000000,32481000000,32788000000,4459000000,176356000000,103136000000
2022-07-02,2022,Q2,10-Q,2022-07-29,15321000000,5587000000,-700000000,-454000000,-0.11,-0.11,4100000000,4400000000,1800000000,,809000000,7242000000,4390000000,22654000000,32548000000,2882000000,170418000000,101218000000
2022-10-01,2022,Q3,10-Q,2022-10-28,15338000000,6535000000,-175000000,1019000000,0.25,0.25,4125000000,4302000000,1744000000,,1030000000,7299000000,4529000000,18030000000,37240000000,2283000000,174841000000,99885000000
2022-12-31,2022,Q4,10-K,2023-01-27,14042000000,5500000000,-1132000000,-664000000,-0.16,-0.16,4123000000,4464000000,1706000000,,7703000000,5699000000,11144000000,17194000000,37684000000,423000000,182103000000,101423000000
2023-04-01,2023,Q1,10-Q,2023-04-28,11715000000,4008000000,-1468000000,-2758000000,-0.66,-0.66,4154000000,4109000000,1303000000,,-1785000000,7413000000,8232000000,19302000000,48836000000,1437000000,185303000000,98059000000
2023-07-01,2023,Q2,10-Q,2023-07-28,12949000000,4638000000,-1016000000,1481000000,0.35,0.35,4196000000,4080000000,1374000000,,2808000000,5888000000,8349000000,15908000000,46335000000,2711000000,185629000000,101017000000
2023-09-30,2023,Q3,10-Q,2023-10-27,14158000000,6018000000,-8000000,297000000,0.07,0.07,4229000000,3870000000,1340000000,,5824000000,5753000000,7621000000,17409000000,46591000000,2288000000,188837000000,101813000000
2023-12-30,2023,Q4,10-K,2024-01-26,15406000000,7047000000,2585000000,2669000000,0.63,0.63,4212000000,3987000000,1617000000,,4624000000,6696000000,7079000000,17955000000,46978000000,2288000000,191572000000,105590000000
2024-03-30,2024,Q1,10-Q,2024-04-26,12724000000,5217000000,-1069000000,-381000000,-0.09,-0.09,4242000000,4382000000,1556000000,,-1223000000,5970000000,6923000000,14388000000,47869000000,4581000000,192733000000,105973000000
