period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2021-03-31,2021,Q1,10-Q,2022-05-16,125000,,-3869299,-2027442,-0.06,-0.06,,3654000,3817768,445000,-1183371,1670000,35431000,,,,301253665,5000008
2021-06-30,2021,Q2,10-Q,2022-08-15,93000,,-426809,-7930260,-0.08,-0.08,119253873,5477000,376809,502000,-511198,1324000,27692000,,,,300795648,5000008
2021-09-30,2021,Q3,10-Q,2021-11-15,233000,,-10524000,-14781000,-0.12,-0.12,120605457,6180000,2461000,596000,-20156431,2306000,587294000,,,,626559000,557667000
2021-12-31,2021,Q4,10-K,2022-03-28,1648000,,-10837000,-74084000,-0.5,-0.5,137609620,4917000,5416000,1005000,-4686000,2483000,399025000,123443000,,,642028000,591230000
2022-03-31,2022,Q1,10-Q,2022-05-16,1953000,,-18284000,-4227000,-0.02,-0.02,196183247,7338000,9194000,1266000,-8324000,2672000,86751000,329157000,,,627451000,589783000
2022-06-30,2022,Q2,10-Q,2022-08-15,2608000,,-18928000,-1654000,-0.01,-0.01,197214022,9653000,7558000,1451000,-8605000,4350000,43968000,379383000,,,616992000,592678000
2022-09-30,2022,Q3,10-Q,2022-11-14,2763000,,-24911000,-23983000,-0.12,-0.12,198301240,13292000,10149000,1531000,-12856000,1359000,57198000,348435000,,,606601000,575630000
2022-12-31,2022,Q4,10-K,2023-03-30,3807000,,-23625000,-18647000,-0.1,-0.1,197727642,13696000,9065000,1356000,-14913000,955000,44367000,311430000,,,597992000,568211000
2023-03-31,2023,Q1,10-Q,2023-05-11,4285000,,-28023000,-27338000,-0.14,-0.14,200112855,16233000,10581000,1791000,-13815000,1185000,51901000,335966000,,,587922000,552237000
2023-06-30,2023,Q2,10-Q,2023-08-10,5515000,,-33089000,-43718000,-0.22,-0.22,201431494,19869000,10930000,2329000,-16086000,1226000,13984000,361677000,,,576852000,523246000
2023-09-30,2023,Q3,10-Q,2023-11-09,6136000,,-42194000,-44811000,-0.22,-0.22,203390383,24599000,13927000,2749000,-22280000,4133000,37137000,346853000,,,565378000,498496000
2023-12-31,2023,Q4,10-K,2024-02-28,6106000,,-54448000,-41904000,-0.21,-0.21,202576492,31620000,15284000,3506000,-26630000,7159000,35665000,319776000,,,553580000,484994000
2024-03-31,2024,Q1,10-Q,2024-05-10,7582000,,-52876000,-39592000,-0.19,-0.19,208159439,32368000,14020000,3955000,-20465000,3140000,60074000,315276000,,,543862000,479769000
2024-06-30,2024,Q2,10-Q,2024-08-07,11381000,,-48941000,-37561000,-0.18,-0.18,211637479,31204000,13053000,4305000,-26579000,7489000,41752000,328045000,,,517435000,463274000
2024-09-30,2024,Q3,10-Q,2024-11-06,12400000,,-53135000,-52496000,-0.24,-0.24,214305053,33178000,14322000,4890000,-19211000,3770000,30172000,335538000,,,497911000,435683000
2024-12-31,2024,Q4,10-K,2025-02-26,11710000,,-77503000,-201998000,-0.95,-0.95,213029365,40077000,29660000,5504000,-39428000,3593000,54393000,285896000,,,508388000,383862000
2025-03-31,2025,Q1,10-Q,2025-05-07,7566000,,-75679000,-32252000,-0.14,-0.14,228759209,39953000,23806000,6561000,-33025000,2308000,159681000,428605000,,,850074000,765048000
2025-06-30,2025,Q2,10-Q,2025-08-06,20694000,,-160592000,-176838000,-0.7,-0.7,250967455,103359000,48107000,10616000,-52574000,1193000,140067000,406784000,,,1346608000,1161633000
2025-09-30,2025,Q3,10-Q,2025-11-05,39866000,,-168813000,-1054955000,-3.58,-3.58,294524786,66298000,82505000,24182000,-123078000,4127000,346032000,736333000,,,4319348000,2273361000
2025-12-31,2025,Q4,10-K,2026-02-25,61890000,,-228631000,753667000,3.07,3.07,280345046,96095000,90669000,40645000,-74510000,8789000,1030865000,1361291000,,,6570358000,3799517000
