period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2016-03-27,2016,Q1,10-K,2018-02-28,153000000,35900000,-10200000,-22200000,-0.37,-0.37,59600000,2900000,37700000,6100000,-11500000,,20100000,,444400000,,884400000,234700000
2016-06-26,2016,Q2,10-Q,2017-07-27,168200000,45200000,0,-10400000,-0.17,-0.17,,4000000,36400000,5600000,-900000,,17600000,,444700000,,874200000,225600000
2016-09-25,2016,Q3,10-Q,2017-11-02,165400000,25900000,-13000000,-23600000,-0.39,-0.39,60500000,3200000,35500000,5600000,3700000,1600000,20500000,,445000000,,875900000,204100000
2016-12-25,2016,Q4,10-K,2019-02-28,182100000,46600000,4600000,-4300000,-0.07,-0.07,61300000,3800000,5000000,5200000,-5900000,,69100000,,431000000,1000000,948600000,276400000
2017-03-26,2017,Q1,10-K,2019-02-28,132000000,36100000,1400000,-10000000,-0.13,-0.13,77300000,4400000,30000000,5500000,-5400000,,73400000,,369300000,,961600000,351400000
2017-06-25,2017,Q2,10-Q,2018-08-02,147900000,37500000,1500000,-6200000,-0.07,-0.07,,4100000,31900000,5400000,-10900000,,63300000,,369500000,,950000000,347000000
2017-10-01,2017,Q3,10-Q,2018-11-06,157100000,37200000,100000,-4300000,-0.05,-0.05,90500000,4200000,32900000,6000000,-600000,6200000,239200000,,369700000,,1142700000,531900000
2017-12-31,2017,Q4,10-K,2020-02-24,166300000,46800000,-15000000,-22200000,-0.21,-0.21,89500000,5100000,32500000,5400000,-10000000,,130500000,,293500000,800000,1024000000,511500000
2018-04-01,2018,Q1,10-K,2020-02-24,143000000,40800000,7000000,-2200000,-0.02,-0.02,105700000,3600000,29800000,4500000,6500000,,127800000,,293600000,,1011200000,512500000
2018-07-01,2018,Q2,10-Q,2019-07-31,151200000,39300000,2600000,-7700000,-0.07,-0.07,103700000,3600000,30100000,4700000,-5100000,,182800000,,293800000,,998600000,506500000
2018-09-30,2018,Q3,10-Q,2019-11-05,159400000,44100000,10100000,1700000,0.02,0.02,106400000,4400000,29500000,4400000,14000000,6900000,187200000,,294000000,,1011900000,511900000
2018-12-30,2018,Q4,10-K,2021-02-25,164400000,45500000,10800000,4700000,0.05,0.04,106100000,4000000,30400000,4300000,2700000,,182700000,,294200000,,1010100000,519300000
2019-03-31,2019,Q1,10-K,2021-02-25,160400000,44900000,8200000,3100000,0.03,0.03,107800000,3900000,31500000,5100000,16000000,4000000,178400000,,294400000,,1168900000,552900000
2019-06-30,2019,Q2,10-Q,2020-08-04,187900000,48100000,9000000,3900000,0.04,0.04,109400000,4500000,33700000,6000000,4000000,5800000,176200000,,294600000,,1173600000,559500000
2019-09-29,2019,Q3,10-Q,2020-10-29,184100000,48600000,11500000,2500000,0.02,0.02,109900000,4600000,32500000,5700000,10200000,8100000,181000000,,294800000,,1178300000,566700000
2019-12-29,2019,Q4,10-K,2022-02-22,185100000,48400000,9300000,3000000,0.03,0.03,109200000,5000000,33100000,6600000,-1300000,,172600000,,295100000,,1186000000,574100000
2020-03-29,2020,Q1,10-Q,2021-05-05,168900000,45800000,4700000,-200000,0,0,110100000,5700000,34900000,6300000,4000000,6400000,158600000,,295300000,,1183300000,580200000
2020-06-28,2020,Q2,10-Q,2021-08-03,170400000,46000000,2900000,-700000,-0.01,-0.01,108300000,6000000,36000000,6000000,6800000,7700000,397200000,,295900000,,1419200000,824500000
2020-09-27,2020,Q3,10-Q,2021-11-03,202000000,57100000,12700000,2400000,0.02,0.02,126400000,7700000,36300000,6200000,8300000,8900000,374700000,,300300000,,1473200000,835300000
