period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2015-12-31,2015,Q4,10-K,2016-01-28,5841000000,,2560000000,1561000000,0.55,0.54,2853000000,1314000000,371000000,543000000,2827000000,692000000,4907000000,,,,49407000000,44218000000
2016-03-31,2016,Q1,10-Q,2016-04-28,5382000000,,2009000000,1510000000,0.53,0.52,2888000000,1343000000,366000000,552000000,2983000000,1132000000,6456000000,,,,52075000000,47150000000
2016-06-30,2016,Q2,10-Q,2016-07-28,6436000000,,2746000000,2055000000,0.72,0.71,2904000000,1463000000,412000000,585000000,3198000000,995000000,5108000000,,,,55739000000,50383000000
2016-09-30,2016,Q3,10-Q,2016-11-03,7011000000,,3122000000,2379000000,0.83,0.82,2915000000,1539000000,438000000,591000000,3577000000,1095000000,6038000000,,,,59674000000,54115000000
2016-12-31,2016,Q4,10-K,2019-01-31,8809000000,,4551000000,4273000000,1.49,1.44,2925000000,1574000000,515000000,614000000,6350000000,1269000000,8903000000,,,,64961000000,59194000000
2017-03-31,2017,Q1,10-Q,2018-04-26,8032000000,,3327000000,3064000000,1.06,1.04,2944000000,1834000000,655000000,671000000,5058000000,1271000000,7104000000,,,,68714000000,62188000000
2017-06-30,2017,Q2,10-Q,2018-07-26,9321000000,,4401000000,3894000000,1.34,1.32,2951000000,1919000000,640000000,729000000,5360000000,1444000000,6252000000,,,,73843000000,66481000000
2017-09-30,2017,Q3,10-Q,2018-10-31,10328000000,,5122000000,4707000000,1.62,1.59,2956000000,2052000000,536000000,772000000,6127000000,1755000000,7201000000,,,,78998000000,71208000000
2017-12-31,2017,Q4,10-K,2019-01-31,12972000000,,7352000000,4269000000,1.47,1.44,2956000000,1949000000,686000000,853000000,7671000000,2263000000,8079000000,33632000000,,,84524000000,74347000000
2018-03-31,2018,Q1,10-Q,2018-04-26,11966000000,,5449000000,4988000000,1.72,1.69,2945000000,2238000000,757000000,949000000,7860000000,2812000000,12082000000,,,,88945000000,77620000000
2018-06-30,2018,Q2,10-Q,2018-07-26,13231000000,,5863000000,5106000000,1.76,1.74,2930000000,2523000000,776000000,1034000000,6298000000,3460000000,11552000000,,,,90291000000,79382000000
2018-09-30,2018,Q3,10-Q,2018-10-31,13727000000,,5781000000,5137000000,1.78,1.76,2913000000,2657000000,943000000,1107000000,7498000000,3342000000,9637000000,31569000000,,,92452000000,80342000000
2018-12-31,2018,Q4,10-K,2019-01-31,16914000000,,7820000000,6882000000,2.39,2.37,2921000000,2855000000,976000000,1225000000,7618000000,4301000000,10019000000,31095000000,,,97334000000,84127000000
2019-03-31,2019,Q1,10-Q,2019-04-25,15077000000,,3317000000,2429000000,0.85,0.85,2869000000,2860000000,4064000000,1355000000,9308000000,3837000000,11076000000,34167000000,,,109477000000,86516000000
2019-06-30,2019,Q2,10-Q,2019-07-25,16886000000,,4626000000,2616000000,0.92,0.91,2875000000,3315000000,3224000000,1502000000,8616000000,3633000000,13877000000,34719000000,,,117006000000,88762000000
2019-09-30,2019,Q3,10-Q,2019-10-31,17652000000,,7185000000,6091000000,2.13,2.12,2874000000,3548000000,1348000000,1416000000,9307000000,3532000000,15979000000,36290000000,,,124418000000,93999000000
2019-12-31,2019,Q4,10-K,2020-01-30,21082000000,,8858000000,7349000000,2.58,2.56,2876000000,3878000000,1829000000,1468000000,9083000000,4100000000,19079000000,35776000000,,,133376000000,101054000000
2020-03-31,2020,Q1,10-Q,2020-04-30,17737000000,,5893000000,4902000000,1.72,1.71,2868000000,4015000000,1583000000,1597000000,11001000000,3558000000,23618000000,36671000000,,,138371000000,105304000000
2020-06-30,2020,Q2,10-Q,2020-07-31,18687000000,,5963000000,5178000000,1.82,1.8,2879000000,4462000000,1593000000,1704000000,3877000000,3255000000,21045000000,37195000000,,,139691000000,110447000000
2020-09-30,2020,Q3,10-Q,2020-10-30,21470000000,,8040000000,7846000000,2.75,2.71,2891000000,4763000000,1790000000,1698000000,9829000000,3689000000,11617000000,44003000000,,,146437000000,117731000000
2020-12-31,2020,Q4,10-K,2021-01-28,28072000000,,12775000000,11219000000,3.93,3.87,2888000000,5207000000,1599000000,1863000000,14040000000,4613000000,17576000000,44378000000,,,159316000000,128290000000
2021-03-31,2021,Q1,10-Q,2021-04-29,26171000000,,11378000000,9497000000,3.34,3.3,2882000000,5197000000,1622000000,1972000000,12242000000,4272000000,19513000000,44706000000,,,163523000000,133657000000
2021-06-30,2021,Q2,10-Q,2021-07-29,29077000000,,12367000000,10394000000,3.67,3.61,2877000000,6096000000,1956000000,1986000000,13247000000,4612000000,16186000000,47894000000,,,170609000000,138227000000
2021-09-30,2021,Q3,10-Q,2021-10-26,29010000000,,10423000000,9194000000,3.27,3.22,2859000000,6316000000,2946000000,1995000000,14090000000,4314000000,14496000000,43579000000,,,169585000000,133360000000
2021-12-31,2021,Q4,10-K,2022-02-03,33671000000,,12585000000,10285000000,3.72,3.66,2859000000,7046000000,3305000000,2014000000,18104000000,5369000000,16601000000,31397000000,0,,165987000000,124879000000
2022-03-31,2022,Q1,10-Q,2022-04-28,27908000000,,8524000000,7465000000,2.74,2.72,2742000000,7707000000,2360000000,2156000000,14076000000,5441000000,14886000000,29004000000,,,164218000000,123228000000
2022-06-30,2022,Q2,10-Q,2022-07-28,28822000000,,8358000000,6687000000,2.47,2.46,2713000000,8690000000,2987000000,1979000000,12196000000,7572000000,12681000000,27683000000,,,169779000000,125767000000
