period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2020-05-02,2021,Q1,10-Q,2021-06-09,693641000,326902000,-95996000,-113033000,-0.17,-0.17,663547000,279584000,122027000,,175628000,35343000,667548000,,,,,8535622000
2020-08-01,2021,Q2,10-Q,2021-08-27,727297000,359256000,-151267000,-157893000,-0.24,-0.24,667574000,277139000,112794000,,225830000,17540000,831534000,,,,,8417537000
2020-10-31,2021,Q3,10-Q,2021-12-03,750143000,381060000,-9390000,-22908000,-0.03,-0.03,670487000,255637000,115501000,,257534000,35359000,832041000,,,,,8389617000
2021-01-30,2021,Q4,10-K,2022-03-10,797819000,421132000,-1736000,16536000,0.03,0.03,668772000,260380000,,,158295000,18556000,748467000,,993170000,199641000,10764924000,8435804000
2021-05-01,2022,Q1,10-Q,2021-06-09,832279000,418141000,-82311000,-88242000,-0.13,-0.13,693378000,286100000,201466000,,-13727000,21444000,522512000,,4674853000,30308000,21229937000,14855370000
2021-07-31,2022,Q2,10-Q,2021-08-27,1075881000,371830000,-266668000,-276428000,-0.34,-0.34,821062000,367043000,259161000,,222107000,32235000,559617000,,4662844000,41390000,20838632000,14741197000
2021-10-30,2022,Q3,10-Q,2021-12-03,1211245000,587820000,-33341000,-62532000,-0.08,-0.08,828635000,371894000,243406000,,264665000,76804000,523502000,,4504321000,52205000,22018842000,15686344000
2022-01-29,2022,Q4,10-K,2022-03-10,1342978000,686434000,34652000,6168000,0.02,0.02,796855000,399269000,251267000,,346323000,38841000,613533000,,4484811000,63166000,22108597000,15702097000
2022-04-30,2023,Q1,10-Q,2022-05-27,1446900000,750900000,69800000,-165700000,-0.2,-0.2,848000000,444100000,235700000,,194800000,36900000,465000000,,4465300000,74100000,22038700000,15465000000
2022-07-30,2023,Q2,10-Q,2022-08-26,1516900000,786000000,39100000,4300000,0.01,0.01,857900000,449000000,211700000,,331500000,72600000,617100000,,3947400000,653500000,22162100000,15530200000
2022-10-29,2023,Q3,10-Q,2022-12-02,1537300000,777300000,105800000,13300000,0.02,0.02,858400000,448100000,207800000,,411000000,42700000,723400000,,3927600000,584000000,22522100000,15559000000
2023-01-28,2023,Q4,10-K,2023-03-09,1418500000,673300000,23300000,-15400000,-0.02,-0.02,851400000,443100000,203400000,,351500000,54000000,911000000,,3907700000,584400000,22522100000,15637200000
2023-04-29,2024,Q1,10-Q,2023-05-26,1321700000,557200000,-182400000,-168900000,-0.2,-0.2,856700000,480700000,199000000,,208400000,99800000,1028300000,,3154900000,1517600000,22273200000,15493900000
2023-07-29,2024,Q2,10-Q,2023-08-25,1340900000,521100000,-205700000,-207500000,-0.24,-0.24,860900000,474800000,210000000,,112500000,111100000,423400000,,3134500000,1018600000,21750100000,15389500000
2023-10-28,2024,Q3,10-Q,2023-12-01,1418600000,551200000,-146300000,-164300000,-0.19,-0.19,862600000,481100000,213000000,,503000000,54400000,725600000,,4089600000,96300000,21714400000,15233400000
2024-02-03,2024,Q4,10-K,2024-03-13,1426500000,664100000,-33300000,-392700000,-0.45,-0.45,861300000,459600000,212000000,,546600000,71000000,950800000,,4058600000,107300000,21228500000,14831400000
2024-05-04,2025,Q1,10-Q,2024-05-31,1160900000,527800000,-152300000,-215600000,-0.25,-0.25,865000000,476100000,199900000,,324500000,91500000,847700000,,4027600000,118300000,20491000000,14478700000
2024-08-03,2025,Q2,10-Q,2024-08-30,1272900000,587600000,-100400000,-193300000,-0.22,-0.22,865700000,486700000,197300000,,306400000,48200000,808700000,,3996500000,129300000,20293400000,14204900000
2024-11-02,2025,Q3,10-Q,2024-12-04,1516100000,349400000,-702800000,-676300000,-0.78,-0.78,865700000,488600000,205300000,,536300000,75000000,868100000,,3965500000,129400000,19715600000,13372900000
2025-02-01,2025,Q4,10-K,2025-03-12,1817400000,917400000,235200000,200200000,0.23,0.23,865500000,499000000,195700000,,514000000,69900000,948300000,,3934300000,129500000,20204500000,13427000000
2025-05-03,2026,Q1,10-Q,2025-05-30,1895300000,952400000,270600000,177900000,0.21,0.2,875600000,507700000,186400000,,332900000,118800000,885900000,,2977400000,1255200000,20023700000,13312700000
2025-08-02,2026,Q2,10-Q,2025-08-29,2006100000,1010600000,290100000,194800000,0.23,0.22,870400000,519000000,192800000,,461600000,47500000,1224400000,,3967900000,499300000,20586300000,13421700000
2025-11-01,2026,Q3,10-Q,2025-12-03,2074500000,1069800000,357800000,1901300000,2.22,2.2,863700000,512500000,189900000,,582300000,73500000,2714500000,,3969400000,499500000,21579000000,14056600000
2026-01-31,2026,Q4,10-K,2026-03-11,2218700000,1147900000,404400000,396100000,0.46,0.46,869700000,536000000,198000000,,373700000,114300000,2638800000,,3970800000,499800000,22285300000,14308400000
