period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2016-06-30,2016,Q4,10-K,2018-08-03,20614000000,12635000000,3080000000,3122000000,0.4,0.39,8013000000,3146000000,1301000000,,8464000000,2655000000,6510000000,,40783000000,0,193694000000,71997000000
2016-09-30,2017,Q1,10-K,2018-08-03,21928000000,14084000000,6715000000,5667000000,0.73,0.72,7876000000,3106000000,1045000000,,11549000000,2163000000,13928000000,,60154000000,14536000000,212524000000,70372000000
2016-12-31,2017,Q2,10-K,2018-08-03,25826000000,14189000000,6177000000,5200000000,0.67,0.66,7830000000,3062000000,879000000,,6293000000,1988000000,8468000000,,59306000000,599000000,224610000000,68809000000
2017-03-31,2017,Q3,10-K,2018-08-03,23212000000,14030000000,5594000000,4801000000,0.62,0.61,7813000000,3355000000,1202000000,,10660000000,1695000000,6713000000,,76222000000,599000000,225017000000,69729000000
2017-06-30,2017,Q4,10-K,2018-08-03,25605000000,14861000000,5330000000,6513000000,0.84,0.83,7832000000,3514000000,1355000000,,11005000000,2283000000,7663000000,,76073000000,1049000000,241086000000,72394000000
2017-09-30,2018,Q1,10-K,2018-08-03,24538000000,16260000000,7708000000,6576000000,0.85,0.84,7799000000,3574000000,1166000000,,12440000000,2132000000,6884000000,,76255000000,1050000000,249097000000,89647000000
2017-12-31,2018,Q2,10-Q,2019-01-30,28918000000,17854000000,8679000000,-6302000000,-0.82,-0.82,7710000000,3504000000,1109000000,,7875000000,2586000000,12859000000,,73348000000,3446000000,256003000000,78360000000
2018-03-31,2018,Q3,10-Q,2019-04-24,26819000000,17550000000,8292000000,7424000000,0.96,0.95,7794000000,3715000000,1208000000,,12151000000,2934000000,9221000000,,73480000000,3447000000,245497000000,79239000000
2018-06-30,2018,Q4,10-K,2018-08-03,30085000000,20343000000,10379000000,8873000000,1.15,1.14,7794000000,3933000000,1271000000,,11418000000,3980000000,11946000000,121822000000,72242000000,3998000000,258848000000,82718000000
2018-09-30,2019,Q1,10-Q,2018-10-24,29084000000,19179000000,9955000000,8824000000,1.15,1.14,7766000000,3977000000,1149000000,,13657000000,3602000000,15137000000,120743000000,69733000000,6497000000,257619000000,85967000000
2018-12-31,2019,Q2,10-Q,2019-01-30,32471000000,20048000000,10258000000,8420000000,1.09,1.08,7768000000,4070000000,1132000000,,8900000000,3707000000,6638000000,121024000000,69653000000,3516000000,258859000000,92128000000
2019-03-31,2019,Q3,10-Q,2019-04-24,30571000000,20401000000,10341000000,8809000000,1.15,1.14,7744000000,4316000000,1179000000,,13520000000,2565000000,11212000000,120406000000,66585000000,6515000000,263281000000,94864000000
2019-06-30,2019,Q4,10-K,2019-08-01,33717000000,23305000000,12405000000,13187000000,1.72,1.71,7753000000,4513000000,1425000000,,16108000000,4051000000,11356000000,122463000000,66662000000,5516000000,286556000000,102330000000
2019-09-30,2020,Q1,10-Q,2019-10-23,33055000000,22649000000,12686000000,10678000000,1.4,1.38,7710000000,4565000000,1061000000,,13818000000,3385000000,13117000000,123519000000,66478000000,3017000000,278955000000,106061000000
2019-12-31,2020,Q2,10-Q,2020-01-29,36906000000,24548000000,13891000000,11649000000,1.53,1.51,7691000000,4603000000,1121000000,,10680000000,3545000000,8864000000,125389000000,63361000000,6247000000,282794000000,110109000000
2020-03-31,2020,Q3,10-Q,2020-04-29,35021000000,24046000000,12975000000,10752000000,1.41,1.4,7675000000,4887000000,1273000000,,17504000000,3767000000,11710000000,125916000000,62862000000,3748000000,285449000000,114501000000
2020-06-30,2020,Q4,10-K,2020-07-30,38033000000,25694000000,13407000000,11202000000,1.48,1.46,7683000000,5214000000,1656000000,,18673000000,4744000000,13576000000,122951000000,59578000000,3749000000,301311000000,118304000000
2020-09-30,2021,Q1,10-Q,2020-10-27,37154000000,26152000000,15876000000,13893000000,1.84,1.82,7637000000,4926000000,1119000000,,19335000000,4907000000,17205000000,120772000000,57055000000,6497000000,301001000000,123392000000
2020-12-31,2021,Q2,10-Q,2021-01-26,43076000000,28882000000,17897000000,15463000000,2.05,2.03,7616000000,4899000000,1139000000,,12516000000,4174000000,14432000000,117536000000,55136000000,5387000000,304137000000,130236000000
2021-03-31,2021,Q3,10-Q,2021-04-27,41706000000,28661000000,17048000000,15457000000,2.05,2.03,7597000000,5204000000,1327000000,,22179000000,5089000000,13702000000,111705000000,50007000000,8051000000,308879000000,134505000000
2021-06-30,2021,Q4,10-K,2021-07-29,46152000000,32161000000,19095000000,16458000000,2.19,2.17,7608000000,5687000000,1522000000,,22710000000,6452000000,14224000000,116110000000,50074000000,8072000000,333779000000,141988000000
2021-09-30,2022,Q1,10-Q,2021-10-26,45317000000,31671000000,20238000000,20505000000,2.73,2.71,7567000000,5599000000,1287000000,,24540000000,5810000000,19165000000,111450000000,50039000000,3249000000,335418000000,151978000000
2021-12-31,2022,Q2,10-Q,2022-01-25,51728000000,34768000000,22247000000,18765000000,2.5,2.48,7555000000,5758000000,1384000000,,14480000000,5865000000,20604000000,104765000000,48260000000,4998000000,340389000000,160010000000
2022-03-31,2022,Q3,10-Q,2022-04-26,49360000000,33745000000,20364000000,16728000000,2.23,2.22,7534000000,6306000000,1480000000,,25386000000,5340000000,12498000000,92195000000,48177000000,1749000000,344607000000,162924000000
2022-06-30,2022,Q4,10-K,2022-07-28,51865000000,35436000000,20534000000,16740000000,2.24,2.24,7540000000,6849000000,1749000000,,24629000000,6871000000,13931000000,90826000000,47032000000,2749000000,364840000000,166542000000
