period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2015-09-03,2015,Q4,10-K,2015-10-27,3600000000,970000000,427000000,471000000,0.44,0.42,1170000000,379000000,170000000,,1030000000,1765000000,2287000000,,,1089000000,24143000000,12302000000
2015-12-03,2016,Q1,10-Q,2016-01-08,3350000000,849000000,232000000,206000000,0.2,0.19,1085000000,421000000,179000000,,1120000000,990000000,2605000000,,,1051000000,24388000000,12301000000
2016-03-03,2016,Q2,10-Q,2016-04-08,2934000000,579000000,-5000000,-97000000,-0.09,-0.09,1036000000,403000000,175000000,,763000000,1219000000,3078000000,,,1125000000,24819000000,12264000000
2016-06-02,2016,Q3,10-Q,2016-07-06,2898000000,498000000,-27000000,-215000000,-0.21,-0.21,1036000000,382000000,148000000,,389000000,1685000000,4627000000,,,712000000,27001000000,12187000000
2016-09-01,2016,Q4,10-K,2018-10-15,3217000000,579000000,-32000000,-170000000,-0.16,-0.16,1036000000,411000000,157000000,,896000000,1923000000,4140000000,,,756000000,27540000000,12080000000
2016-12-01,2017,Q1,10-K,2018-10-15,3970000000,1011000000,359000000,180000000,0.17,0.16,1091000000,470000000,159000000,,1138000000,1264000000,4139000000,,,1155000000,27836000000,12320000000
2017-03-02,2017,Q2,10-K,2018-10-15,4648000000,1704000000,1044000000,894000000,0.81,0.77,1160000000,473000000,187000000,,1405000000,1164000000,3633000000,,,1117000000,32355000000,14287000000
2017-06-01,2017,Q3,10-K,2018-10-15,5566000000,2609000000,1963000000,1647000000,1.49,1.4,1177000000,434000000,204000000,1021000000,2407000000,1041000000,4048000000,,,1161000000,33267000000,16171000000
2017-08-31,2017,Q4,10-K,2019-10-17,6138000000,3112000000,2502000000,2368000000,2.13,1.99,1154000000,447000000,193000000,1066000000,3203000000,1265000000,5109000000,,,1262000000,35336000000,18621000000
2017-11-30,2018,Q1,10-Q,2018-12-19,6803000000,3747000000,3097000000,2678000000,2.36,2.19,1225000000,448000000,191000000,1090000000,3636000000,1956000000,6008000000,,,1401000000,37191000000,22526000000
