period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2016-01-31,2016,Q4,10-K,2016-03-17,1401000000,791000000,252000000,207000000,0.38,0.35,,344000000,161000000,46000000,511000000,,596000000,,1413000000,,7370000000,4469000000
2016-05-01,2017,Q1,10-Q,2016-05-25,1305000000,751000000,245000000,196000000,0.36,0.33,,346000000,159000000,45000000,309000000,55000000,547000000,,,,7108000000,4196000000
2016-07-31,2017,Q2,10-Q,2016-08-23,1428000000,826000000,317000000,253000000,0.47,0.4,,350000000,157000000,47000000,201000000,32000000,426000000,,,,7461000000,4480000000
2016-10-30,2017,Q3,10-Q,2016-11-22,2004000000,1183000000,639000000,542000000,1.01,0.83,,373000000,171000000,48000000,458000000,38000000,1940000000,,1982000000,,9612000000,5324000000
2017-01-29,2017,Q4,10-K,2019-02-21,2173000000,1303000000,733000000,655000000,1.18,0.99,,394000000,176000000,47000000,721000000,,1766000000,,1983000000,,9841000000,5762000000
2017-04-30,2018,Q1,10-K,2019-02-21,1937000000,1150000000,554000000,507000000,0.86,0.79,,411000000,185000000,47000000,282000000,54000000,1989000000,,1984000000,,9410000000,6132000000
2017-07-30,2018,Q2,10-K,2019-02-21,2230000000,1302000000,688000000,583000000,0.98,0.92,,416000000,198000000,49000000,705000000,54000000,1988000000,,1984000000,,9402000000,5973000000
2017-10-29,2018,Q3,10-K,2019-02-21,2636000000,1569000000,895000000,838000000,1.39,1.33,,462000000,212000000,50000000,1157000000,69000000,2802000000,,1985000000,,9830000000,6352000000
2018-01-28,2018,Q4,10-K,2019-02-21,2911000000,1801000000,1073000000,1118000000,1.84,1.78,,507000000,221000000,54000000,1358000000,,4002000000,,1985000000,,11241000000,7471000000
2018-04-29,2019,Q1,10-K,2019-02-21,3207000000,2068000000,1295000000,1244000000,2.05,1.98,,542000000,231000000,57000000,1445000000,118000000,765000000,,1986000000,,11460000000,7717000000
2018-07-29,2019,Q2,10-K,2019-02-21,3123000000,1975000000,1157000000,1101000000,1.81,1.76,,581000000,237000000,58000000,913000000,129000000,718000000,,1987000000,,12882000000,8795000000
2018-10-28,2019,Q3,10-K,2019-02-21,3181000000,1921000000,1058000000,1230000000,2.02,1.97,,605000000,258000000,68000000,487000000,150000000,721000000,,1987000000,,13657000000,9475000000
2019-01-27,2019,Q4,10-K,2019-02-21,2205000000,1207000000,294000000,567000000,0.93,0.92,,647000000,266000000,78000000,898000000,,782000000,,1988000000,,13292000000,9342000000
2019-04-28,2020,Q1,10-K,2020-02-20,2220000000,1296000000,358000000,394000000,0.65,0.64,,674000000,264000000,91000000,720000000,128000000,2772000000,,1988000000,,14021000000,9704000000
2019-07-28,2020,Q2,10-K,2020-02-20,2579000000,1541000000,571000000,552000000,0.91,0.9,,704000000,266000000,92000000,936000000,113000000,7105000000,,1989000000,,14775000000,10336000000
2019-10-27,2020,Q3,10-K,2020-02-20,3014000000,1916000000,927000000,899000000,1.47,1.45,,712000000,277000000,92000000,1640000000,103000000,9765000000,,1990000000,,15810000000,11214000000
2020-01-26,2020,Q4,10-K,2020-02-20,3105000000,2015000000,990000000,950000000,1.55,1.53,,738000000,287000000,106000000,1465000000,,10896000000,,1991000000,0,17315000000,12204000000
2020-04-26,2021,Q1,10-Q,2020-05-21,3080000000,2004000000,976000000,917000000,1.49,1.47,,735000000,293000000,107000000,909000000,155000000,15494000000,,6959000000,,23254000000,13099000000
2020-07-26,2021,Q2,10-Q,2020-08-19,3866000000,2275000000,651000000,622000000,1.01,0.99,,997000000,627000000,404000000,1567000000,217000000,3274000000,,6960000000,,25180000000,13914000000
2020-10-25,2021,Q3,10-Q,2020-11-18,4726000000,2960000000,1398000000,1336000000,2.16,2.12,,1047000000,515000000,299000000,1279000000,473000000,2251000000,,5963000000,998000000,26881000000,15334000000
2021-01-31,2021,Q4,10-K,2021-02-26,5003000000,3156000000,1507000000,1457000000,2.35,2.31,,1146000000,503000000,288000000,2067000000,,847000000,,5964000000,999000000,28791000000,16893000000
2021-05-02,2022,Q1,10-Q,2021-05-26,5661000000,3629000000,1956000000,1912000000,3.08,3.03,,1153000000,520000000,281000000,1874000000,298000000,978000000,,5964000000,999000000,30796000000,18774000000
2021-08-01,2022,Q2,10-Q,2021-08-20,6507000000,4215000000,2444000000,2374000000,0.95,0.94,,1245000000,526000000,286000000,2682000000,183000000,5628000000,,10943000000,1000000000,38650000000,21147000000
2021-10-31,2022,Q3,10-Q,2021-11-22,7103000000,4631000000,2671000000,2464000000,0.99,0.97,,1403000000,557000000,298000000,1519000000,222000000,1288000000,,10944000000,0,40632000000,23798000000
2022-01-30,2022,Q4,10-K,2022-03-18,7643000000,4999000000,2970000000,3003000000,1.2,1.18,,1466000000,563000000,309000000,3033000000,273000000,1990000000,,10946000000,0,44187000000,26612000000
2022-05-01,2023,Q1,10-Q,2022-05-27,8288000000,5431000000,1868000000,1618000000,0.65,0.64,,1618000000,592000000,334000000,1731000000,,3887000000,,10947000000,,45212000000,26320000000
2022-07-31,2023,Q2,10-Q,2022-08-31,6704000000,2915000000,499000000,656000000,0.26,0.26,,1824000000,592000000,378000000,1270000000,,3013000000,,9700000000,1249000000,43476000000,23851000000
2022-10-30,2023,Q3,10-Q,2022-11-18,5931000000,3177000000,601000000,680000000,0.27,0.27,,1945000000,631000000,406000000,392000000,,2800000000,,9701000000,1249000000,40488000000,21349000000
2023-01-29,2023,Q4,10-K,2023-02-24,6051000000,3833000000,1256000000,1414000000,0.58,0.57,,1952000000,625000000,426000000,2248000000,509000000,3389000000,,9703000000,1250000000,41182000000,22101000000
2023-04-30,2024,Q1,10-Q,2023-05-26,7192000000,4648000000,2140000000,2043000000,0.83,0.82,,1875000000,633000000,384000000,2911000000,248000000,5079000000,,9704000000,1250000000,44460000000,24520000000
2023-07-30,2024,Q2,10-Q,2023-08-28,13507000000,9462000000,6800000000,6188000000,2.5,2.48,,2040000000,622000000,365000000,6348000000,289000000,5783000000,,8456000000,1249000000,49555000000,27501000000
2023-10-29,2024,Q3,10-Q,2023-11-21,18120000000,13400000000,10417000000,9243000000,3.75,3.71,,2294000000,689000000,372000000,7332000000,278000000,5519000000,,8457000000,1249000000,54148000000,33265000000
2024-01-28,2024,Q4,10-K,2024-02-21,22103000000,16791000000,13614000000,12285000000,4.98,4.92,,2465000000,712000000,387000000,11499000000,254000000,7280000000,,8459000000,1250000000,65728000000,42978000000
2024-04-28,2025,Q1,10-Q,2024-05-29,26044000000,20406000000,16909000000,14881000000,6.04,5.98,,2720000000,777000000,410000000,15345000000,369000000,7587000000,,8460000000,1250000000,77072000000,49142000000
