period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2015-12-31,2015,Q2,10-K,2017-03-30,1561,-291,-4902,-4903,,,,,,,-4866,,5174,,,,8040,-20263
2016-03-31,2016,Q1,10-Q,2017-05-22,741,-383,-3135,-3135,0,0,,,,,-2550,,2624,,,,,
2016-06-30,2016,Q2,10-Q,2017-08-21,859,-2458,-12173,-12172,,,,,,,-15511,,6313,,,,,
2016-09-30,2016,Q3,10-Q/A,2018-01-17,2094,-1117,-3806,-3807,0,0,,,,,-4866,,6447,,,,13652,-39377
2016-12-31,2016,Q4,10-K,2018-03-28,1818,-2951,-15466,-15466,0,0,,,,,-6065,,45248,,,,5660,-4907489
2017-03-31,2017,Q1,10-Q,2018-05-21,302,-888,-7404,-7404,0,0,,,,,-6884,,548,,,,6681,-62247
2017-06-30,2017,Q2,10-Q,2018-08-10,1355,-1946,-4838,-4838,0,0,,,,,-2389,,21659,,,,24968,-46085
2017-09-30,2017,Q3,10-Q,2018-11-13,40134,23972,-863495,-1036433,-0.06,-0.06,,214056,557604,,-2296767,,60603,,,,6870,-63763
2017-12-31,2017,Q4,10-K,2019-03-19,65055,48379,-481068,-615040,-0.04,-0.04,,346504,31318,,-324442,,456018,,,,717627,-7921787
2018-03-31,2018,Q1,10-Q,2019-05-10,29382,28414,-563367,-1571469,-0.09,-0.09,,137181,165360,,-878166,1623,4625874,,,,8090,-9464028
2018-06-30,2018,Q2,10-Q,2019-08-14,16444,5303,-1317831,-1829893,-0.1,-0.1,,534632,398482,,-1448823,13069,2917286,,,,3199,-11297247
2018-09-30,2018,Q3,10-Q,2019-11-14,35176,28749,-2072459,-3729035,-0.16,-0.16,,887039,612343,,-2315637,120141,516251,,,,1206063,-9895714
2018-12-31,2018,Q4,10-K,2020-03-13,106849,82469,-4481876,-4966467,-0.08,-0.08,,1357633,1451995,,-3874637,409403,1129863,,,,2661521,-14884755
2019-03-31,2019,Q1,10-Q,2020-06-24,32294,26992,-5118128,-5823725,-0.12,-0.12,,1661419,1614730,,-4694328,45189,437298,,4400000,14100000,2823917,-20656796
2019-06-30,2019,Q2,10-Q,2020-08-17,193157,142511,-4265284,-5100628,-0.1,-0.1,,1499111,1223443,,-3816808,24079,590902,,18800000,4100000,3420135,-25723172
2019-09-30,2019,Q3,10-Q,2020-11-06,88132,72947,-3388095,-5203659,-0.1,-0.1,50887702,1250736,1036013,,-2822348,2762,4650318,,500000,10300000,7215820,-10342442
2019-12-31,2019,Q4,10-K,2021-03-08,6800,-1193,-2600429,-3262120,-0.78,-0.78,50659117,1005159,918681,,-3330901,5906,2153028,,500000,10100000,4263516,-12430242
2020-03-31,2020,Q1,10-Q,2021-05-17,200198,19106,-2331428,-2807285,-0.14,-0.14,,892929,908587,,-1973754,,176881,,500000,10300000,2284874,-15061926
2020-06-30,2020,Q2,10-Q,2021-08-16,1155374,614789,-2765754,-3220541,-0.16,-0.16,,757916,2490257,,-792111,,43964,,947000,10685000,2557831,-16401387
2020-09-30,2020,Q3,10-Q,2021-11-15,614026,248163,-2733111,-3325880,-0.06,-0.06,60132656,904378,1823336,,-2109272,1700,2148345,,600000,11800000,4815408,-13745134
2020-12-31,2020,Q4,10-K,2022-03-22,194121,45610,-3693593,-4124174,-0.19,-0.19,59833452,1031330,2419054,,-2659119,0,26060733,,907000,7063000,28511769,15083595
2021-03-31,2021,Q1,10-Q,2022-05-11,1164764,609414,-2881388,-3138119,-0.12,-0.12,,894576,2408854,,-3066199,58281,24026187,,862000,7169000,26948503,14708933
2021-06-30,2021,Q2,10-Q,2022-08-09,887432,306757,-3138305,-2821766,-0.1,-0.1,28890547,753642,2495271,,-4022489,14148,58550105,,300000,0,64918505,59777396
2021-09-30,2021,Q3,10-Q,2022-11-14,283329,13613,-4913351,-4914272,-0.13,-0.13,38837940,1780187,2721785,690175,-4534968,7929,47496527,,300000,0,132689798,114930562
2021-12-31,2021,Q4,10-K,2023-03-14,571246,166045,-7040573,-4149685,-0.1,-0.1,34180897,2372143,4155594,752530,-5271760,843360,40815123,,300000,,117438575,112232832
2022-03-31,2022,Q1,10-Q,2023-05-15,410198,122266,-9991333,-10010399,-0.24,-0.24,40990604,3907219,5524717,894960,-7101930,1553212,32060661,,,,111967519,103550828
2022-06-30,2022,Q2,10-Q,2023-08-14,604219,318580,-11373088,-11391425,-0.27,-0.27,42167548,4870369,6090053,1285338,-8200073,1059392,28014077,,,,113920301,105697292
2022-09-30,2022,Q3,10-Q,2023-11-14,632489,399488,-13548744,-13578341,-0.32,-0.32,42661607,5793345,7362274,1289955,-10896670,913120,15283557,,,,103015982,93802698
2022-12-31,2022,Q4,10-K,2024-04-01,478912,268829,-34516357,-38261640,-0.9,-0.9,42242525,9228153,4891197,3925791,-11764403,,29775096,,,,97945245,58222907
2023-03-31,2023,Q1,10-Q,2024-05-15,2595991,1026896,-12652679,-14455551,-0.3,-0.3,47697767,6974979,5467111,1231382,-12832263,135224,14115989,,,,93771634,54083934
2023-06-30,2023,Q2,10-Q,2024-08-14,5468964,3071776,-8496665,-8958086,-0.18,-0.18,51112218,4508005,5316848,1220036,-9032514,,3063905,,,,84561579,49517793
2023-09-30,2023,Q3,10-Q,2024-11-12,2665190,554878,-5934021,-7292461,-0.15,-0.15,53892848,2701436,2563319,1300797,-6243967,29802,20971982,,,,100645018,45195518
2023-12-31,2023,Q4,10-K,2025-03-12,4961285,1727624,-12645935,-14138774,-0.26,-0.26,52740215,2960815,8209698,1239710,-5910775,116063,15022000,,,,92164682,33135127
2024-03-31,2024,Q1,10-Q,2025-05-15,625009,-394982,-9127195,-9876084,-0.17,-0.17,63035122,3512975,3898089,1175282,-7455524,1188086,14590709,,,,91615524,27763652
2024-06-30,2024,Q2,10-Q,2025-08-12,957851,-190895,-8303590,-8269736,-0.14,-0.14,66377505,2640003,4163987,1164611,-8819198,1094151,4975374,,,,82520936,19392519
2024-09-30,2024,Q3,10-Q,2025-11-13,1480792,47560,-8660715,-9526268,-0.15,-0.15,70741662,3182345,4114986,1246473,-9085927,,2873286,,,,80158656,14918792
2024-12-31,2024,Q4,10-K,2026-03-30,4129348,883317,-8517500,-10334912,-0.15,-0.15,69917,3140677,4964938,177363,-8108351,29642,29958000,,300000,,109622000,16583000
2025-03-31,2025,Q1,10-Q,2026-05-15,4248000,1488000,-10310000,-14136000,-0.15,-0.15,105005,3459000,5909000,181000,-6659000,171000,25410000,,,,104600639,26081287
2025-06-30,2025,Q2,10-Q,2026-08-13,6273000,3332000,-9250000,-10750000,-0.08,-0.08,150653000,4237000,6079000,189000,-8404000,96000,67567978,,,,151950806,90821184
2025-09-30,2025,Q3,10-Q,2025-11-13,10098310,2604395,-15503550,-7480856,-0.03,-0.03,259909415,4512756,10595469,195643,-10954625,170298,432816982,,,,550150569,486077869
2025-12-31,2025,Q4,10-K,2026-03-30,30111120,12730985,-23320908,-99867644,-0.41,-0.41,221769,8669836,21890602,380357,-12728375,1596702,550744000,21750000,,,1132841000,437808000
