period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2016-05-31,2016,Q4,10-K,2018-06-22,10594000000,6541000000,3968000000,2814000000,0.68,0.66,4305000000,1534000000,323000000,,3793000000,180000000,20152000000,,,3750000000,112180000000,47289000000
2016-08-31,2017,Q1,10-Q,2017-09-18,8595000000,5110000000,2641000000,1832000000,0.44,0.43,4221000000,1520000000,315000000,,5875000000,299000000,28614000000,,,999000000,123223000000,47435000000
2016-11-30,2017,Q2,10-Q,2017-12-18,9035000000,5508000000,3037000000,2032000000,0.5,0.48,4195000000,1510000000,303000000,,1086000000,757000000,18592000000,,,3838000000,123600000000,48462000000
2017-02-28,2017,Q3,10-Q,2018-03-21,9205000000,5582000000,2959000000,2239000000,0.55,0.53,4204000000,1521000000,241000000,,2699000000,440000000,19748000000,,,3498000000,125382000000,50615000000
2017-05-31,2017,Q4,10-K,2019-06-21,10957000000,6815000000,4277000000,3349000000,0.81,0.79,4217000000,1602000000,313000000,,4466000000,525000000,21784000000,,,9797000000,134991000000,53860000000
2017-08-31,2018,Q1,10-Q,2018-09-19,9104000000,5432000000,2749000000,2144000000,0.52,0.5,4284000000,1572000000,319000000,,6566000000,473000000,21321000000,,,4998000000,133597000000,55959000000
2017-11-30,2018,Q2,10-Q,2018-12-19,9589000000,5818000000,3039000000,2214000000,0.53,0.52,4283000000,1473000000,320000000,,850000000,599000000,21310000000,,,2499000000,138762000000,55868000000
2018-02-28,2018,Q3,10-Q,2019-03-18,9676000000,5968000000,3315000000,-4047000000,-0.98,-0.98,4122000000,1496000000,339000000,,3310000000,286000000,19487000000,,,4491000000,138201000000,47789000000
2018-05-31,2018,Q4,10-K,2020-06-22,11014000000,6994000000,4161000000,3276000000,0.8,0.78,4238000000,1543000000,305000000,,4660000000,378000000,21620000000,45641000000,,4491000000,137851000000,46372000000
2018-08-31,2019,Q1,10-Q,2019-09-13,9193000000,5458000000,2778000000,2265000000,0.58,0.57,3999000000,1564000000,321000000,,6722000000,383000000,18455000000,,,3743000000,128358000000,38067000000
2018-11-30,2019,Q2,10-Q,2019-12-13,9562000000,,3101000000,2333000000,0.63,0.61,3817000000,1475000000,299000000,,546000000,421000000,10824000000,38567000000,,6477000000,118318000000,30572000000
2019-02-28,2019,Q3,10-Q,2020-03-13,9614000000,,3399000000,2745000000,0.78,0.76,3617000000,1426000000,316000000,,2861000000,443000000,14720000000,25310000000,,4487000000,109438000000,23714000000
2019-05-31,2019,Q4,10-K,2021-06-21,11137000000,,4257000000,3740000000,1.07,1.04,3732000000,1562000000,330000000,,4422000000,413000000,20514000000,17313000000,,4494000000,108709000000,21785000000
2019-08-31,2020,Q1,10-Q,2020-09-15,9218000000,,2877000000,2137000000,0.64,0.63,3410000000,1557000000,292000000,,6000000000,386000000,31083000000,4621000000,,,106229000000,18433000000
2019-11-30,2020,Q2,10-Q,2020-12-11,9614000000,,3183000000,2311000000,0.71,0.69,3331000000,1531000000,323000000,,513000000,349000000,24540000000,2904000000,,,98443000000,15563000000
2020-02-29,2020,Q3,10-Q,2021-03-11,9796000000,,3528000000,2571000000,0.81,0.79,3271000000,1500000000,288000000,,3012000000,396000000,23829000000,2029000000,,,96704000000,14235000000
2020-05-31,2020,Q4,10-K,2022-06-21,10439000000,,4308000000,3116000000,1,0.98,3294000000,1479000000,278000000,,3614000000,433000000,37239000000,5818000000,,2371000000,115438000000,12074000000
2020-08-31,2021,Q1,10-Q,2021-09-13,9367000000,,3211000000,2251000000,0.74,0.72,3107000000,1589000000,295000000,,5953000000,436000000,27276000000,15003000000,,,113546000000,9491000000
2020-11-30,2021,Q2,10-Q,2021-12-10,9800000000,,3583000000,2442000000,0.82,0.8,3046000000,1601000000,324000000,,1388000000,568000000,28001000000,10592000000,,,110014000000,7917000000
2021-02-28,2021,Q3,10-Q,2022-03-11,10085000000,,3878000000,5021000000,1.72,1.68,2994000000,1621000000,330000000,,3704000000,414000000,22321000000,13543000000,,,118109000000,8900000000
2021-05-31,2021,Q4,10-K,2023-06-20,11227000000,,4541000000,4032000000,1.41,1.36,3022000000,1715000000,305000000,,4842000000,717000000,30098000000,16456000000,,8250000000,131107000000,5238000000
2021-08-31,2022,Q1,10-Q,2022-09-13,9728000000,,3427000000,2457000000,0.89,0.86,2861000000,1684000000,298000000,,5391000000,1062000000,23059000000,16251000000,,,122924000000,-1541000000
2021-11-30,2022,Q2,10-Q,2022-12-13,10360000000,,-824000000,-1247000000,-0.46,-0.46,2694000000,1754000000,319000000,,-3682000000,925000000,17938000000,4900000000,,,106897000000,-10101000000
2022-02-28,2022,Q3,10-Q,2023-03-10,10513000000,,3822000000,2319000000,0.87,0.84,2754000000,1816000000,335000000,,3845000000,1101000000,22682000000,707000000,,,108644000000,-8696000000
2022-05-31,2022,Q4,10-K,2024-06-20,11840000000,,4502000000,3189000000,1.19,1.15,2786000000,1965000000,364000000,,3985000000,1423000000,21383000000,519000000,0,3749000000,109297000000,-6220000000
2022-08-31,2023,Q1,10-Q,2023-09-12,11445000000,,2623000000,1548000000,0.58,0.56,2747000000,2093000000,411000000,,6394000000,1719000000,10448000000,772000000,,,130309000000,-5875000000
2022-11-30,2023,Q2,10-Q,2023-12-12,12275000000,,3071000000,1741000000,0.65,0.63,2746000000,2158000000,366000000,,849000000,2435000000,6813000000,537000000,,,128469000000,-4246000000
2023-02-28,2023,Q3,10-Q,2024-03-12,12398000000,,3260000000,1896000000,0.7,0.68,2776000000,2146000000,402000000,,4275000000,2628000000,8219000000,550000000,,,131620000000,-2421000000
2023-05-31,2023,Q4,10-K,2025-06-18,13836000000,,4140000000,3319000000,1.22,1.19,2766000000,2226000000,400000000,,5647000000,1913000000,9765000000,422000000,,4061000000,134384000000,1073000000
2023-08-31,2024,Q1,10-Q,2024-09-10,12453000000,,3296000000,2420000000,0.89,0.86,2823000000,2216000000,393000000,,6974000000,1314000000,11613000000,470000000,,,136662000000,2370000000
2023-11-30,2024,Q2,10-Q,2024-12-10,12941000000,,3622000000,2503000000,0.91,0.89,2817000000,2226000000,375000000,,143000000,1080000000,8244000000,446000000,,,134324000000,3866000000
2024-02-29,2024,Q3,10-Q,2025-03-11,13280000000,,3750000000,2401000000,0.87,0.85,2819000000,2248000000,377000000,,5475000000,1674000000,9481000000,423000000,,,137082000000,5623000000
2024-05-31,2024,Q4,10-K,2026-06-22,14287000000,,4686000000,3144000000,1.15,1.11,2823000000,2226000000,402000000,,6081000000,2798000000,10454000000,207000000,,10605000000,140976000000,8704000000
2024-08-31,2025,Q1,10-Q,2025-09-10,13307000000,,3991000000,2929000000,1.06,1.03,2851000000,2306000000,358000000,,7427000000,2303000000,10616000000,295000000,,,144214000000,10816000000
2024-11-30,2025,Q2,10-Q,2025-12-11,14059000000,,4220000000,3151000000,1.13,1.1,2869000000,2471000000,387000000,,1304000000,3970000000,10941000000,370000000,,,148483000000,13746000000
2025-02-28,2025,Q3,10-Q,2026-03-11,14130000000,,4358000000,2936000000,1.05,1.02,2874000000,2429000000,390000000,,5933000000,5862000000,17406000000,417000000,,,161378000000,16730000000
2025-05-31,2025,Q4,10-K,2026-06-22,15903000000,,5109000000,3427000000,1.22,1.19,2866000000,2654000000,467000000,,6157000000,9080000000,10786000000,417000000,,7271000000,168361000000,20451000000
2025-08-31,2026,Q1,10-Q,2026-09-11,14926000000,,4277000000,2927000000,1.04,1.01,2909000000,2491000000,376000000,,8140000000,8502000000,10445000000,560000000,,,180449000000,24154000000
2025-11-30,2026,Q2,10-Q,2025-12-11,16058000000,,4731000000,6135000000,2.14,2.1,2922000000,2561000000,409000000,,2066000000,12033000000,19241000000,525000000,,,204984000000,29951000000
2026-02-28,2026,Q3,10-Q,2026-03-11,17190000000,,5464000000,3721000000,1.29,1.27,2912000000,2607000000,389000000,,7151000000,18635000000,38455000000,677000000,,,245240000000,38495000000
2026-05-31,2026,Q4,10-K,2026-06-22,19184000000,,6133000000,4304000000,1.47,1.45,2914000000,2614000000,444000000,,14620000000,16493000000,31289000000,605000000,,7199000000,261759000000,42508000000
