period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2021-04-30,2022,Q1,10-Q,2022-06-14,31957000,12831000,-18267000,-29255000,-0.64,-0.64,45722408,12130000,8315000,11475000,3882000,1847000,79772000,,,,,83929000
2021-07-31,2022,Q2,10-Q,2022-09-12,30406000,10586000,-24267000,-20363000,-0.44,-0.46,46693805,12432000,11824000,11041000,-12185000,2153000,81161000,,,,,70278000
2021-10-31,2022,Q3,10-Q,2022-12-14,31700000,10889000,-28311000,-41541000,-0.88,-0.88,47137377,14959000,11800000,11349000,-12713000,2051000,65047000,,,,,37193000
2022-01-31,2022,Q4,10-K,2024-03-29,37146000,13916000,-57206000,-45965000,0.25,0.25,79610970,27163000,24733000,11178000,-21195000,4262000,490762000,0,,,821441000,648245000
2022-04-30,2023,Q1,10-Q,2023-06-09,40127000,16499000,-47714000,-44360000,-0.17,-0.17,264088997,24750000,20608000,11625000,-6534000,2861000,484489000,,,,795994000,630706000
2022-07-31,2023,Q2,10-Q,2023-09-07,48450000,23473000,-42640000,-39529000,-0.15,-0.15,266212489,26737000,19893000,11588000,-22270000,3648000,262061000,195630000,,,767894000,613643000
2022-10-31,2023,Q3,10-Q,2023-12-08,49704000,24976000,-42632000,-40236000,-0.15,-0.15,267947661,27598000,20627000,10784000,-30314000,2499000,199124000,226163000,,,747228000,594167000
2023-01-31,2023,Q4,10-K,2025-03-26,52975000,29060000,-42689000,-37841000,-0.14,-0.14,267126918,31831000,19619000,9333000,-14815000,1432000,181892000,226868000,,,752723000,576104000
2023-04-30,2024,Q1,10-Q,2024-06-06,52703000,28147000,-44692000,-34444000,-0.13,-0.13,272347977,28186000,21528000,10248000,-30601000,6336000,140763000,235415000,,,723457000,559349000
2023-07-31,2024,Q2,10-Q,2024-09-05,53761000,26292000,-43280000,-37975000,-0.14,-0.14,275053198,26741000,20521000,12160000,9597000,15373000,118808000,248979000,,,720417000,539568000
2023-10-31,2024,Q3,10-Q,2024-12-09,55380000,26030000,-47858000,-38004000,-0.13,-0.13,284197733,33002000,20112000,13625000,-22870000,7377000,101547000,213347000,,,713520000,533598000
2024-01-31,2024,Q4,10-K,2026-03-23,58852000,32481000,-33918000,-30086000,-0.1,-0.1,279585698,28410000,17894000,11606000,-6837000,8905000,83866000,215041000,,,701997000,518018000
2024-04-30,2025,Q1,10-Q,2025-06-04,60440000,31683000,-34571000,-29293000,-0.1,-0.1,288268718,25589000,19180000,13103000,-4297000,9938000,107367000,168218000,,,674604000,500325000
2024-07-31,2025,Q2,10-Q,2025-09-08,61092000,32310000,-39577000,-38668000,-0.13,-0.13,290364319,27250000,20904000,13145000,-7858000,15123000,148288000,101102000,,,658351000,473247000
2024-10-31,2025,Q3,10-Q,2025-12-10,61266000,37517000,-22608000,-20081000,-0.07,-0.07,293338324,25216000,18114000,10117000,4076000,7633000,138969000,103255000,,,630764000,464605000
2025-01-31,2025,Q4,10-K,2026-03-23,61554000,38215000,-19366000,-35154000,-0.12,-0.12,292124291,22951000,18949000,9272000,-6295000,11603000,118048000,104027000,,,633796000,441286000
2025-04-30,2026,Q1,10-Q,2026-06-05,66265000,36603000,-22771000,-12628000,-0.04,-0.04,300267952,23074000,19986000,11082000,17346000,8119000,133471000,92624000,,,658390000,444802000
2025-07-31,2026,Q2,10-Q,2026-09-03,73386000,42268000,-17960000,-22592000,-0.07,-0.07,304129204,24155000,18499000,10622000,67774000,20291000,181087000,90450000,,,696425000,435689000
2025-10-31,2026,Q3,10-Q,2025-12-10,81254000,46584000,-18340000,-59185000,-0.19,-0.19,309248247,27327000,18814000,9908000,28593000,26704000,443349000,233975000,,,1106060000,349558000
2026-01-31,2026,Q4,10-K,2026-03-23,86822000,47030000,-36002000,-152455000,-0.49,-0.49,307799424,32193000,30834000,10213000,20649000,21600000,229441000,410649000,,,1145686000,188431000
