period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2019-09-30,2019,Q1,10-Q,2020-11-13,190541000,125468000,-144140000,-139860000,-0.24,-0.24,580104846,75880000,74062000,,,,507319000,,,,,-1892590000
2020-03-31,2020,Q1,10-Q,2021-05-12,229327000,165033000,-70185000,-54274000,-0.09,-0.1,594363000,65800000,70765000,3671000,-287184000,3016000,809530000,,,,,-1976619000
2020-06-30,2020,Q2,10-Q,2021-08-12,251889000,183479000,-99145000,-110455000,-0.17,-0.17,640669000,86815000,93291000,4122000,60854000,2929000,1497591000,,,,,-1398701000
2020-09-30,2020,Q3,10-Q,2021-11-09,289366000,140026000,-847777000,-853319000,-0.94,-0.94,905462000,313915000,338977000,2515000,-51990000,1530000,1800190000,,197753000,,2603712000,1251753000
2020-12-31,2020,Q4,10-K,2023-02-21,322091000,251588000,-156572000,-148343000,0.24,0.23,979330000,94130000,166411000,3563000,-18288000,4761000,2011323000,,197977000,,2690504000,1522550000
2021-03-31,2021,Q1,10-Q,2022-05-09,341234000,267123000,-114014000,-123474000,-0.07,-0.07,1821158000,98471000,146569000,3237000,116881000,708000,2339437000,,198185000,,3014185000,1805943000
2021-06-30,2021,Q2,10-Q,2022-08-08,375642000,284716000,-146148000,-138580000,-0.07,-0.07,1894606000,110524000,157961000,4762000,22750000,697000,2341156000,,,,3075668000,2068963000
2021-09-30,2021,Q3,10-Q,2022-11-07,392146000,305342000,-91941000,-102137000,-0.05,-0.05,1964395000,94316000,149524000,3058000,100793000,5378000,2335068000,,,,3224327000,2248056000
2021-12-31,2021,Q4,10-K,2024-02-20,432867000,345304000,-58943000,-156188000,-0.08,-0.08,1923617000,84176000,157478000,3840000,93427000,5844000,2290674000,,0,,3247450000,2291030000
2022-03-31,2022,Q1,10-Q,2023-05-09,446357000,351954000,-39439000,-101379000,-0.05,-0.05,2036307000,88601000,142307000,4312000,35477000,15215000,2269411000,,,,3319179000,2364746000
2022-06-30,2022,Q2,10-Q,2023-08-08,473010000,370786000,-41745000,-179329000,-0.09,-0.09,2054799000,88171000,155485000,4895000,62431000,5458000,2358393000,,,,3282338000,2348824000
2022-09-30,2022,Q3,10-Q,2023-11-03,477880000,370269000,-62191000,-123875000,-0.06,-0.06,2073265000,100863000,148679000,5942000,47066000,14436000,2411290000,,,,3318835000,2386615000
2022-12-31,2022,Q4,10-K,2025-02-18,508624000,404313000,-17826000,30878000,0.02,0.02,2063793000,82044000,149862000,7373000,78763000,4918000,2598540000,,,,3461239000,2565326000
2023-03-31,2023,Q1,10-Q,2024-05-07,525186000,417541000,4115000,16802000,0.01,0.01,2217439000,90100000,136233000,8320000,187376000,4755000,1264738000,,,,3683138000,2723733000
2023-06-30,2023,Q2,10-Q,2024-08-06,533317000,426418000,10074000,28127000,0.01,0.01,2278155000,99533000,132648000,8399000,90192000,3934000,1055923000,,,,3980264000,2955474000
2023-09-30,2023,Q3,10-Q,2024-11-05,558159000,450237000,39983000,71505000,0.03,0.03,2325600000,105708000,128173000,8663000,133443000,1565000,1040310000,,,,4193417000,3190015000
2023-12-31,2023,Q4,10-K,2026-02-17,608350000,499711000,65794000,93391000,0.05,0.04,2297927000,109283000,127271000,7972000,301172000,4860000,831047000,,,,4522425000,3475561000
2024-03-31,2024,Q1,10-Q,2025-05-06,634338000,518082000,80881000,105530000,0.05,0.04,2400107000,110040000,133984000,8438000,129579000,2664000,520388000,,,,4807079000,3775227000
2024-06-30,2024,Q2,10-Q,2025-08-05,678134000,549572000,105339000,134126000,0.06,0.06,2414696000,108781000,138643000,8056000,144187000,2879000,512659000,,,,5191880000,4050524000
2024-09-30,2024,Q3,10-Q,2025-11-04,725516000,578877000,113140000,143525000,0.06,0.06,2459589000,117555000,138708000,8087000,419772000,3985000,768710000,,,,5768097000,4498143000
2024-12-31,2024,Q4,10-K,2026-02-17,827519000,652986000,11043000,79009000,0.04,0.03,2450818000,171502000,182146000,7006000,460327000,3106000,2098524000,,,,6340884000,5003275000
2025-03-31,2025,Q1,10-Q,2026-05-05,883855000,710885000,176048000,214031000,0.09,0.08,2552818000,134889000,163639000,6622000,310263000,6184000,993464000,,,,6736917000,5424155000
2025-06-30,2025,Q2,10-Q,2026-08-04,1003697000,810763000,269317000,326727000,0.14,0.13,2562912000,135043000,162615000,6530000,539251000,7634000,929547000,,,,7365688000,5928901000
2025-09-30,2025,Q3,10-Q,2025-11-04,1181092000,973785000,393256000,475599000,0.2,0.18,2571057000,144191000,161702000,5975000,507664000,6792000,1615967000,,,,8113960000,6590457000
2025-12-31,2025,Q4,10-K,2026-02-17,1406802000,1190836000,575394000,608676000,0.26,0.23,2565197000,143554000,169762000,7018000,777295000,13272000,1423796000,,,,8900392000,7387268000
