period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2020-09-30,2020,Q3,10-Q,2021-11-15,10670000,-1885000,-12845000,-12605000,-0.17,-0.17,,4903000,6057000,,,,924370,,,,301352520,5000010
2020-12-31,2020,Q4,10-K,2022-03-24,15737000,-4054000,-18802000,-18947000,-0.25,-0.25,75414888,8133000,6615000,2939000,-6342000,7344000,865903,,0,0,321327396,5000001
2021-03-31,2021,Q1,10-Q,2022-05-16,18192000,1411000,-1930406,-23560263,-0.2,-0.2,,7078000,6624000,2397000,-440450,4046000,425453,,,,320787359,5000001
2021-06-30,2021,Q2,10-Q,2022-08-11,11280000,2463000,-1145290,-1059094,-0.21,-0.21,78961096,8529000,7068000,2450000,-380607,1653000,44846,,,,320343990,-59362023
2021-09-30,2021,Q3,10-Q,2021-11-15,5287000,-12451000,-52295000,-87969000,-0.39,-0.39,228266647,14189000,25655000,2563000,-49055943,5748000,792660000,,96616000,,955377000,674118000
2021-12-31,2021,Q4,10-K,2022-03-24,27478000,6685000,-24331000,3196000,0.37,0.37,209895135,11968000,19048000,3441000,-21914000,14252000,690959000,,97297000,2827000,980847000,698448000
2022-03-31,2022,Q1,10-Q,2022-05-16,40703000,3735000,-32820000,-26709000,-0.06,-0.06,456495288,13477000,23078000,6088000,-26339000,6242000,603144000,,97967000,2846000,1057484000,732595000
2022-06-30,2022,Q2,10-Q,2022-08-11,55474000,4958000,-33159000,-37417000,-0.08,-0.08,464719924,19165000,18952000,7649000,-38256000,12828000,542511000,,98649000,2866000,1004752000,713454000
2022-09-30,2022,Q3,10-Q,2022-11-09,63057000,8467000,-32002000,-34610000,-0.07,-0.07,469768797,17508000,22961000,7853000,-22997000,8349000,333279000,,99344000,2886000,1001362000,690836000
2022-12-31,2022,Q4,10-K,2023-03-07,51762000,1830000,-37223000,-37208000,-0.08,-0.08,466214095,15018000,24035000,8357000,-18946000,14993000,242515000,,100043000,2906000,989123000,673206000
2023-03-31,2023,Q1,10-Q,2023-05-09,54895000,6357000,-46017000,-45617000,-0.1,-0.1,476199710,23905000,28469000,7033000,-25385000,12674000,208365000,,100724000,2934000,990908000,640018000
2023-06-30,2023,Q2,10-Q,2023-08-08,62045000,14593000,-45159000,-45889000,-0.1,-0.1,479735858,31035000,28717000,6752000,-6064000,10572000,197160000,,0,104381000,981496000,611048000
2023-09-30,2023,Q3,10-Q,2023-11-08,67661000,14967000,-38859000,-40568000,-0.08,-0.08,484034071,26626000,27200000,7792000,-25201000,21047000,140904000,,0,105116000,950493000,585802000
2023-12-31,2023,Q4,10-K,2024-02-28,59991000,15492000,-47883000,-50497000,-0.1,-0.1,481768060,37488000,25887000,8167000,-42217000,10414000,162518000,,87587000,17764000,941211000,554544000
2024-03-31,2024,Q1,10-Q,2024-05-06,92767000,24174000,-43079000,-44260000,-0.09,-0.09,489994709,38504000,28749000,8313000,-2588000,19177000,365929000,,52717000,10996000,1181924000,478946000
2024-06-30,2024,Q2,10-Q,2024-08-08,106251000,27162000,-43274000,-41631000,-0.08,-0.08,494190708,39912000,30524000,8108000,-13000000,15344000,340911000,,50061000,11345000,1188598000,455180000
2024-09-30,2024,Q3,10-Q,2024-11-12,104808000,27996000,-51899000,-51939000,-0.1,-0.1,497701715,47723000,32172000,8095000,-30915000,11018000,292470000,,46915000,11758000,1153029000,419835000
2024-12-31,2024,Q4,10-K,2025-02-27,132388000,36817000,-51549000,-52345000,-0.1,-0.1,495929861,48255000,40111000,9139000,-2387000,21554000,271042000,,44049000,12045000,1184342000,382453000
2025-03-31,2025,Q1,10-Q,2025-05-08,122569000,35247000,-59188000,-60616000,-0.12,-0.12,505614185,55109000,39326000,8707000,-54225000,28677000,303149000,,57728000,20490000,1254973000,431294000
2025-06-30,2025,Q2,10-Q,2025-08-07,144498000,46388000,-59639000,-66414000,-0.13,-0.13,515086631,66134000,39893000,8758000,-23242000,32042000,564081000,,53720000,16503000,1553233000,688485000
2025-09-30,2025,Q3,10-Q,2025-11-10,155080000,57314000,-58969000,-18257000,-0.03,-0.03,528725980,70694000,45589000,11726000,-23523000,45912000,807875000,,51267000,17090000,2221395000,1280986000
2025-12-31,2025,Q4,10-K,2026-02-26,179652000,68232000,-51042000,-52922000,-0.09,-0.09,530664781,78779000,40495000,14744000,-64531000,49654000,828660000,,1716000,0,2324478000,1721854000
