period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2023-12-29,2024,Q1,10-Q,2025-03-07,1665000000,161000000,-245000000,-301000000,,,,246000000,113000000,,,,425000000,,,,,10896000000
2024-03-29,2024,Q2,10-Q,2025-05-12,1705000000,463000000,65000000,27000000,0.19,0.19,145000000,277000000,107000000,56000000,-12000000,29000000,377000000,,,,,10939000000
2024-06-28,2024,Q3,10-K,2025-08-21,1760000000,636000000,199000000,120000000,0.83,0.83,145000000,298000000,117000000,54000000,-130000000,38000000,328000000,,0,0,13506000000,11082000000
2024-09-27,2025,Q1,10-Q,2025-11-07,1883000000,726000000,291000000,211000000,1.46,1.46,145000000,283000000,130000000,54000000,-131000000,67000000,322000000,,,,,12126000000
2024-12-27,2025,Q2,10-Q,2025-03-07,1876000000,606000000,195000000,104000000,0.72,0.72,145000000,279000000,142000000,36000000,95000000,48000000,804000000,,,,14234000000,12001000000
2025-03-28,2025,Q3,10-Q,2025-05-12,1695000000,382000000,-1881000000,-1933000000,-13.33,-13.33,145000000,285000000,139000000,37000000,26000000,44000000,1507000000,,1927000000,20000000,12960000000,9161000000
2025-06-27,2025,Q4,10-K,2025-08-21,1901000000,498000000,18000000,-23000000,-0.16,-0.16,145000000,285000000,162000000,36000000,94000000,45000000,1481000000,,1829000000,20000000,12985000000,9216000000
2025-10-03,2026,Q1,10-Q,2025-11-07,2308000000,687000000,176000000,112000000,0.77,0.75,149000000,316000000,179000000,36000000,488000000,50000000,1442000000,,1331000000,20000000,12749000000,9381000000
2026-01-02,2026,Q2,10-Q,2026-01-30,3025000000,1541000000,1065000000,803000000,5.46,5.15,156000000,327000000,139000000,38000000,1019000000,39000000,1539000000,,583000000,20000000,12998000000,10213000000
2026-04-03,2026,Q3,10-Q,2026-05-01,5950000000,4662000000,4111000000,3615000000,24.43,23.03,157000000,337000000,161000000,38000000,3038000000,45000000,3735000000,,0,0,17075000000,13777000000
2026-07-03,2026,Q4,10-K,2026-08-17,8965000000,7582000000,7037000000,6903000000,46.96,44.34,155000000,348000000,197000000,37000000,7126000000,43000000,4762000000,,0,0,22507000000,15736000000
