period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2020-06-30,2020,Q2,10-Q,2021-08-16,19050000,,,7808000,-0.03,-0.03,72147293,47833000,53404000,,,,641500000,,,,,-352513000
2020-09-30,2020,Q3,10-Q,2021-11-15,39006000,,,-5000,-0.7,-0.7,75320032,55428000,58766000,24676000,-5000,8786000,144584,,,,466179,20000
2020-12-31,2020,Q4,10-K,2022-03-01,43157000,,,-82616000,-1.92,-1.92,73851108,57767000,76097000,25486000,5179000,6932000,259714,,4798925000,,806077995,5000008
2021-03-31,2021,Q1,10-Q,2022-05-10,54227000,,-5289511,-60394659,-1.61,-1.61,116152593,65948000,161697000,25977000,-1670479,7445000,39940,,,,805817385,5000007
2021-06-30,2021,Q2,10-Q,2021-08-16,61452000,,,-165314000,-0.48,-0.48,365036365,69389000,171216000,24989000,84278479,19363000,461920000,,2319918000,,7653000000,4207390000
2021-09-30,2021,Q3,10-Q,2021-11-15,61188000,,,-30047000,-0.05,-0.05,,74434000,40461000,24075000,-196536000,11637000,533523000,,2770226000,,8083324000,4248529000
2021-12-31,2021,Q4,10-K,2022-03-01,70851000,,,-111012000,-0.06,-0.06,526730261,66316000,125160000,26527000,-1236289000,13816000,494711000,,3947983000,,9176326000,4377329000
2022-03-31,2022,Q1,10-Q,2022-05-10,77022000,,,-110357000,-0.14,-0.14,,81908000,136505000,30698000,-1011224000,25114000,1325135000,,4916175000,,12246576000,5210299000
2022-06-30,2022,Q2,10-Q,2022-08-09,98420000,,,-95835000,-0.12,-0.12,,99366000,125829000,38056000,-945499000,24914000,707302000,,3723561000,,12670886000,5186180000
2022-09-30,2022,Q3,10-Q,2022-11-09,102004000,,,-74209000,-0.09,-0.09,,110702000,126199000,40253000,-2880300000,25948000,935159000,,4568523000,,15834903000,5181003000
2022-12-31,2022,Q4,10-K,2023-03-01,99649000,,,-40006000,-0.05,-0.05,,113281000,113085000,42353000,-2418835000,17225000,1421907000,,5485882000,,19007675000,5208102000
2023-03-31,2023,Q1,10-Q,2023-05-10,95482000,,,-34422000,-0.05,-0.05,,117059000,123689000,45321000,-2212760000,23720000,2487778000,,,,22452961000,5234072000
2023-06-30,2023,Q2,10-Q,2023-08-08,104693000,,,-47549000,-0.06,-0.06,,126845000,131180000,50130000,-2079919000,25351000,3015652000,,,,25561449000,5257661000
2023-09-30,2023,Q3,10-Q,2023-11-08,104944000,,,-266684000,-0.29,-0.29,,125698000,124457000,52516000,-2686519000,28044000,2813876000,,,,27977153000,5053388000
2023-12-31,2023,Q4,10-K,2024-02-27,116335000,,,47913000,0.04,0.04,,141817000,131685000,53449000,-247941000,34294000,3085020000,,,,30074858000,5234612000
2024-03-31,2024,Q1,10-Q,2024-05-07,115609000,,,88043000,0.08,0.02,,130920000,145240000,48539000,738248000,31984000,3693390000,,,,31305760000,5825605000
2024-06-30,2024,Q2,10-Q,2024-08-06,120782000,,,17404000,0.01,0.01,,132167000,145006000,49623000,-484371000,36712000,2334589000,,,,32641979000,5901494000
2024-09-30,2024,Q3,10-Q,2024-11-07,131225000,,,60745000,0.06,0.05,,139714000,148921000,51791000,-1173581000,43306000,2354965000,,,,34380176000,6121481000
2024-12-31,2024,Q4,10-K,2025-02-24,135507000,,,332473000,0.32,0.31,,148986000,160922000,53545000,-200103000,42263000,2538293000,,,,36250951000,6525134000
2025-03-31,2025,Q1,10-Q,2025-05-06,140382000,,,71116000,0.06,0.06,,156206000,156397000,55283000,21502000,52604000,2085697000,,,,37749286000,6678514000
2025-06-30,2025,Q2,10-Q,2025-08-07,151890000,,,97263000,0.09,0.08,,152146000,165390000,56743000,-1466908000,63465000,2122502000,,,,41112171000,6860580000
2025-09-30,2025,Q3,10-Q,2025-11-06,156791000,,,139392000,0.12,0.11,,167144000,188405000,59245000,-1305874000,59978000,3246351000,,,,45293450000,8779963000
2025-12-31,2025,Q4,10-K,2026-02-17,170290000,,,173549000,0.15,0.14,,172836000,194244000,62880000,-991178000,66397000,4929452000,,,,50660478000,10489495000
