period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2015-12-31,2015,Q4,10-K,2016-02-24,1214379000,218564000,-260333000,-320397000,-2.46,-2.46,128202000,190243000,288654000,94000000,-29849000,411222000,1196908000,,,,8092460000,1088944000
2016-03-31,2016,Q1,10-Q,2016-05-10,1147048000,252468000,-248224000,-282267000,-2.13,-2.13,,182482000,318210000,99200000,-249605000,216859000,1441789000,,,,9191702000,970365000
2016-06-30,2016,Q2,10-Q,2016-08-05,1270017000,274776000,-238040000,-293188000,-2.09,-2.09,,191664000,321152000,111900000,150336000,294720000,3246301000,,,,11868952000,2520294000
2016-09-30,2016,Q3,10-Q,2016-11-02,2298436000,636735000,85622000,21878000,0.15,0.14,156935000,214302000,336811000,126800000,423649000,247611000,3084257000,,,,12592397000,2680488000
2016-12-31,2016,Q4,10-K,2017-03-01,2284631000,435278000,-266698000,-121337000,-0.74,-0.74,144212000,245960000,456016000,139400000,-448209000,521612000,3393216000,,5892016,1114652,22664076000,4752911000
2017-03-31,2017,Q1,10-Q,2017-05-10,2696270000,667946000,-257549000,-330277000,-2.04,-2.04,162129000,322040000,603455000,160100000,-69811000,552624000,4006593000,,6927937000,963737000,25053726000,4987719000
2017-06-30,2017,Q2,10-Q,2017-08-04,2789557000,666615000,-240916000,-336397000,-2.04,-2.04,165212000,369774000,537757000,176600000,-200172000,959068000,3035924000,,6755563000,760284000,26043705000,5105752000
2017-09-30,2017,Q3,10-Q,2017-11-03,2984675000,449140000,-535480000,-619376000,-3.7,-3.7,167294000,331622000,652998000,197500000,-300562000,1116434000,3530030000,,9049729000,375506000,28107074000,4711480000
2017-12-31,2017,Q4,10-K,2018-02-23,3288249000,438786000,-598141000,-675350000,-4.03,-4.03,165758000,354637000,682290000,235100000,509891000,786688000,3367914000,,8828985000,799849000,28655372000,4237242000
2018-03-31,2018,Q1,10-Q,2018-05-07,3408751000,456526000,-596974000,-709551000,-4.19,-4.19,169146000,367096000,686404000,245200000,-398376000,655662000,2665673000,,8219577000,1755634000,27271429000,4450695000
2018-06-30,2018,Q2,10-Q,2018-08-06,4002231000,618930000,-621392000,-717539000,-4.22,-4.22,169997000,386129000,750759000,251800000,-129664000,609813000,2236424000,,8626114000,1838909000,27910000000,3906421000
2018-09-30,2018,Q3,10-Q,2018-11-02,6824413000,1523665000,416757000,311516000,1.82,1.75,178196000,350848000,729876000,300000000,1391281000,510271000,2967504000,,8665163000,1833475000,29262713000,4508838000
2018-12-31,2018,Q4,10-K,2019-02-19,7225873000,1442900000,413536000,139483000,0.84,0.84,170525000,356297000,667452000,,1234561000,324978000,3685618000,,8410490000,2221985000,29739614000,4923243000
