period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2018-03-31,2018,Q1,10-Q,2019-11-05,2584000000,,-478000000,3748000000,2,1.84,475153000,340000000,429000000,88000000,-297000000,90000000,4716000000,,,,,-4726000000
2018-06-30,2018,Q2,10-Q,2019-11-05,2768000000,,-739000000,-878000000,-1.99,-2.01,441408000,365000000,638000000,98000000,-153000000,119000000,5647000000,,,,,-5508000000
2018-09-30,2018,Q3,10-Q,2019-11-05,2944000000,,-763000000,-986000000,-2.21,-2.21,445783000,434000000,460000000,131000000,-410000000,153000000,4756000000,,,,,-6542000000
2018-12-31,2018,Q4,10-K,2020-03-02,2974000000,,-1053000000,-887000000,-0.59,-0.52,478999000,366000000,555000000,109000000,-681000000,196000000,6406000000,,6869000000,27000000,23988000000,-7385000000
2019-03-31,2019,Q1,10-Q,2019-11-05,3099000000,,-1034000000,-1012000000,-2.23,-2.26,453619000,409000000,423000000,146000000,-722000000,129000000,5745000000,,6939000000,27000000,24390000000,-8432000000
2019-06-30,2019,Q2,10-Q,2019-11-05,3166000000,,-5485000000,-5236000000,-4.72,-4.72,1110704000,3064000000,1638000000,123000000,-922000000,148000000,11744000000,,4526000000,27000000,30980000000,15922000000
2019-09-30,2019,Q3,10-Q,2019-11-05,3813000000,,-1106000000,-1162000000,-0.68,-0.68,1700213000,755000000,591000000,102000000,-878000000,129000000,12650000000,,5711000000,27000000,32292000000,15062000000
2019-12-31,2019,Q4,10-K,2020-03-02,4069000000,,-971000000,-1096000000,-0.02,-0.02,1248353000,608000000,647000000,101000000,-1799000000,182000000,10873000000,,5707000000,27000000,31761000000,14190000000
2020-03-31,2020,Q1,10-Q,2020-05-08,3543000000,,-1263000000,-2936000000,-1.7,-1.7,1724367000,645000000,859000000,128000000,-463000000,198000000,8165000000,,5703000000,27000000,30090000000,11342000000
2020-06-30,2020,Q2,10-Q,2020-08-07,2241000000,,-1607000000,-1775000000,-1.02,-1.02,1738897000,584000000,565000000,129000000,-1071000000,164000000,6754000000,,6691000000,27000000,28240000000,9550000000
2020-09-30,2020,Q3,10-Q,2020-11-06,3129000000,,-1116000000,-1089000000,-0.62,-0.62,1755029000,493000000,711000000,138000000,-406000000,131000000,6154000000,,6667000000,527000000,28894000000,8942000000
2020-12-31,2020,Q4,10-K,2021-03-01,2226000000,,-877000000,-969000000,-0.53,-0.53,1752960000,483000000,531000000,180000000,-805000000,123000000,5647000000,,7560000000,27000000,33252000000,12266000000
2021-03-31,2021,Q1,10-Q,2021-05-06,2903000000,,-1524000000,-108000000,-0.06,-0.06,1858525000,515000000,464000000,212000000,-611000000,71000000,4836000000,,7801000000,27000000,34655000000,13598000000
2021-06-30,2021,Q2,10-Q,2021-08-05,3929000000,,-1188000000,1144000000,0.61,0.58,1955975000,488000000,616000000,226000000,-341000000,57000000,4443000000,,7798000000,27000000,36251000000,14175000000
2021-09-30,2021,Q3,10-Q,2021-11-09,4845000000,,-572000000,-2424000000,-1.28,-1.28,1898954000,493000000,625000000,218000000,614000000,90000000,6482000000,,9279000000,27000000,36884000000,13931000000
2021-12-31,2021,Q4,10-K,2022-02-24,5778000000,,-550000000,892000000,0.48,0.46,1895519000,558000000,611000000,246000000,-107000000,80000000,4295000000,,9276000000,27000000,38774000000,14458000000
2022-03-31,2022,Q1,10-Q,2022-05-05,6854000000,,-482000000,-5930000000,-3.03,-3.04,1957731000,587000000,632000000,254000000,15000000,62000000,4184000000,,9273000000,27000000,32812000000,8916000000
2022-06-30,2022,Q2,10-Q,2022-08-04,8073000000,,-713000000,-2601000000,-1.32,-1.33,1968882000,704000000,851000000,243000000,439000000,57000000,4397000000,,9271000000,27000000,31014000000,6661000000
2022-09-30,2022,Q3,10-Q,2022-11-02,8343000000,,-495000000,-1206000000,-0.61,-0.61,1979299000,760000000,908000000,227000000,432000000,74000000,4865000000,,9268000000,27000000,31112000000,6247000000
2022-12-31,2022,Q4,10-K,2023-02-21,8607000000,,-142000000,595000000,0.32,0.32,1974928000,747000000,745000000,223000000,-244000000,59000000,4208000000,,9265000000,27000000,32109000000,7340000000
2023-03-31,2023,Q1,10-Q,2023-05-03,8823000000,,-262000000,-157000000,-0.08,-0.08,2009557000,775000000,942000000,207000000,606000000,57000000,4045000000,,9257000000,25000000,32451000000,7508000000
2023-06-30,2023,Q2,10-Q,2023-08-02,9230000000,,326000000,394000000,0.19,0.18,2079265000,808000000,491000000,208000000,1190000000,50000000,4995000000,,9255000000,25000000,34068000000,8664000000
2023-09-30,2023,Q3,10-Q,2023-11-07,9292000000,,394000000,221000000,0.11,0.1,2108479000,797000000,646000000,205000000,966000000,61000000,4448000000,,9252000000,25000000,35949000000,9358000000
