period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2017-03-31,2017,Q1,10-Q,2018-05-04,1357000000,,155000000,78000000,0.18,0.18,427800350,,135000000,170000000,141000000,31000000,916000000,,,,14715000000,6680000000
2017-06-30,2017,Q2,10-Q,2018-08-06,1296000000,,53000000,-26000000,-0.06,-0.06,427587401,,147000000,172000000,192000000,32000000,986000000,,,,14784000000,6658000000
2017-09-30,2017,Q3,10-Q,2018-11-02,1833000000,,452000000,273000000,0.64,0.64,428312438,,147000000,178000000,512000000,23000000,1054000000,,,,15000000000,6935000000
2017-12-31,2017,Q4,10-K,2019-02-28,943000000,,-460000000,-579000000,-1.35,-1.35,427761460,,166000000,180000000,541000000,28000000,1487000000,,,0,14600000000,6342000000
2018-03-31,2018,Q1,10-Q,2018-05-04,1212000000,,-394000000,-306000000,-0.71,-0.71,428450384,,162000000,153000000,-22000000,39000000,1379000000,,,,14776000000,4000000
2018-06-30,2018,Q2,10-Q,2018-08-06,2677000000,,231000000,108000000,0.21,0.2,533786824,,352000000,389000000,-7000000,114000000,757000000,,,,26470000000,8413000000
2018-09-30,2018,Q3,10-Q,2018-11-02,3641000000,,650000000,330000000,0.62,0.61,540972802,,194000000,426000000,892000000,56000000,811000000,,,350000000,25888000000,8399000000
2018-12-31,2018,Q4,10-K,2019-02-28,2266000000,,4000000,-186000000,-0.35,-0.35,504954371,,215000000,427000000,608000000,169000000,636000000,,,339000000,26024000000,7863000000
2019-03-31,2019,Q1,10-Q,2019-05-03,2550000000,,490000000,225000000,0.45,0.44,509139988,,182000000,405000000,388000000,118000000,546000000,,,350000000,25568000000,7804000000
2019-06-30,2019,Q2,10-Q,2019-08-02,2229000000,,729000000,356000000,0.71,0.7,507500383,,210000000,384000000,494000000,129000000,964000000,,,430000000,26520000000,7904000000
2019-09-30,2019,Q3,10-Q,2019-11-05,4026000000,,440000000,113000000,0.23,0.23,493670295,,246000000,424000000,941000000,101000000,707000000,,,600000000,26443000000,7792000000
2019-12-31,2019,Q4,10-K,2020-02-28,2740000000,,334000000,234000000,0.49,0.49,499935490,,267000000,427000000,913000000,172000000,300000000,,,350000000,26616000000,7959000000
2020-03-31,2020,Q1,10-Q,2020-05-05,2466000000,,391000000,56000000,0.11,0.11,490638626,,252000000,419000000,552000000,261000000,717000000,,,700000000,26669000000,7936000000
2020-06-30,2020,Q2,10-Q,2020-08-05,2460000000,,377000000,166000000,0.34,0.34,490468735,,236000000,455000000,757000000,327000000,382000000,,,550000000,26307000000,8056000000
2020-09-30,2020,Q3,10-Q,2020-11-04,3238000000,,676000000,443000000,0.91,0.9,491025940,,268000000,410000000,1041000000,250000000,500000000,,,0,25499000000,8444000000
2020-12-31,2020,Q4,10-K,2021-02-26,2683000000,,76000000,-29000000,-0.06,-0.05,491090468,,280000000,453000000,987000000,421000000,406000000,,,0,25208000000,8371000000
2021-03-31,2021,Q1,10-Q,2021-05-04,8203000000,,-2583000000,-2043000000,-4.21,-4.21,484699267,,251000000,423000000,-1653000000,192000000,561000000,,,1300000000,25886000000,6100000000
2021-06-30,2021,Q2,10-Q,2021-08-05,2660000000,,62000000,36000000,0.07,0.07,487366226,,252000000,464000000,596000000,354000000,444000000,,,,27015000000,6076000000
2021-09-30,2021,Q3,10-Q,2021-11-05,3702000000,,119000000,7000000,0.01,0.01,484494546,,269000000,468000000,564000000,244000000,351000000,,,,29932000000,6036000000
2021-12-31,2021,Q4,10-K,2022-02-25,3136000000,,886000000,726000000,1.45,1.45,482214544,,269000000,398000000,287000000,243000000,1325000000,,,0,29683000000,8291000000
2022-03-31,2022,Q1,10-Q,2022-05-06,3461000000,,-288000000,-285000000,-0.72,-0.72,451603354,,288000000,430000000,591000000,373000000,1022000000,,,,32833000000,7300000000
2022-06-30,2022,Q2,10-Q,2022-08-05,3326000000,,-1683000000,-1365000000,-3.27,-3.27,429193031,,280000000,394000000,-1314000000,240000000,1871000000,,,1300000000,37468000000,5392000000
