period_end,fy,fp,form,filed,revenue,gross_profit,operating_income,net_income,eps_basic,eps_diluted,shares_diluted,rnd_expense,sga_expense,dep_amort,ocf,capex,cash_and_equiv,short_term_investments,long_term_debt,short_term_debt,total_assets,total_equity
2016-12-30,2017,Q1,10-Q,2017-02-07,4888000000,1533000000,545000000,235000000,0.82,0.8,294000000,585000000,358000000,,,,4940000000,,12944000000,129000000,28975000000,10732000000
2017-03-31,2017,Q2,10-Q,2017-05-08,4649000000,1523000000,525000000,248000000,0.86,0.83,299000000,613000000,346000000,560000000,998000000,123000000,5652000000,,12907000000,181000000,29448000000,11031000000
2017-06-30,2017,Q3,10-K,2019-08-27,4842000000,1681000000,652000000,280000000,0.96,0.93,296000000,604000000,345000000,546000000,939000000,125000000,6354000000,,12918000000,233000000,29860000000,11418000000
2017-09-29,2018,Q1,10-K,2019-08-27,5181000000,1913000000,905000000,681000000,2.31,2.23,306000000,592000000,364000000,533000000,1133000000,160000000,6886000000,,12873000000,258000000,30505000000,12059000000
2017-12-29,2018,Q2,10-Q,2019-02-05,5336000000,2013000000,955000000,-823000000,-2.78,-2.78,296000000,629000000,381000000,535000000,1182000000,256000000,6272000000,,11777000000,274000000,29840000000,11272000000
2018-03-30,2018,Q3,10-Q,2019-05-07,5013000000,1927000000,914000000,61000000,0.2,0.2,308000000,602000000,376000000,499000000,1027000000,227000000,4963000000,,11076000000,124000000,29004000000,11300000000
2018-06-29,2018,Q4,10-K,2020-08-28,5117000000,1852000000,843000000,756000000,2.53,2.46,307000000,577000000,352000000,489000000,863000000,192000000,5005000000,23000000,10993000000,179000000,29235000000,11531000000
2018-09-28,2019,Q1,10-K,2020-08-28,5028000000,1664000000,686000000,511000000,1.75,1.71,298000000,576000000,356000000,480000000,705000000,277000000,4646000000,,10930000000,213000000,28705000000,11375000000
2018-12-28,2019,Q2,10-Q,2020-02-11,4233000000,1044000000,176000000,-487000000,-1.68,-1.68,290000000,539000000,309000000,472000000,469000000,223000000,4013000000,23000000,10370000000,244000000,27939000000,10912000000
2019-03-29,2019,Q3,10-Q,2020-05-08,3674000000,579000000,-394000000,-581000000,-1.99,-1.99,292000000,544000000,353000000,444000000,204000000,222000000,3682000000,15000000,10309000000,276000000,26913000000,10214000000
2019-06-28,2019,Q4,10-K,2021-08-27,3634000000,465000000,-381000000,-197000000,-0.67,-0.67,292000000,523000000,299000000,416000000,169000000,154000000,3455000000,0,10246000000,276000000,26370000000,9967000000
2019-10-04,2020,Q1,10-Q,2020-11-06,4040000000,758000000,-129000000,-276000000,-0.93,-0.93,296000000,574000000,305000000,406000000,253000000,145000000,3248000000,,9961000000,251000000,26280000000,9566000000
2020-01-03,2020,Q2,10-Q,2021-02-09,4234000000,935000000,50000000,-139000000,-0.47,-0.47,298000000,578000000,298000000,399000000,257000000,160000000,3137000000,,9547000000,286000000,25860000000,9379000000
2020-04-03,2020,Q3,10-Q,2021-05-06,4175000000,1005000000,153000000,17000000,0.06,0.06,303000000,563000000,281000000,384000000,142000000,127000000,2943000000,,9343000000,286000000,25509000000,9243000000
2020-07-03,2020,Q4,10-K,2022-08-25,4287000000,1083000000,261000000,148000000,0.49,0.49,298000000,546000000,269000000,377000000,172000000,215000000,3048000000,,9289000000,286000000,25662000000,9551000000
2020-10-02,2021,Q1,10-Q,2021-11-04,3922000000,904000000,70000000,-60000000,-0.2,-0.2,303000000,555000000,256000000,374000000,363000000,337000000,2995000000,,9086000000,286000000,25402000000,9576000000
2021-01-01,2021,Q2,10-Q,2022-02-03,3943000000,960000000,158000000,62000000,0.2,0.2,307000000,535000000,265000000,336000000,425000000,239000000,2956000000,,8882000000,251000000,25552000000,9829000000
2021-04-02,2021,Q3,10-Q,2022-05-04,4137000000,1091000000,317000000,197000000,0.64,0.63,313000000,555000000,287000000,251000000,116000000,244000000,2734000000,,8678000000,251000000,25409000000,9949000000
2021-07-02,2021,Q4,10-K,2023-08-22,4920000000,1566000000,675000000,622000000,2.04,2.01,309000000,598000000,297000000,251000000,994000000,326000000,3370000000,,8474000000,251000000,26132000000,10800000000
2021-10-01,2022,Q1,10-Q,2022-11-02,5051000000,1665000000,778000000,610000000,1.97,1.93,316000000,578000000,291000000,250000000,521000000,245000000,3290000000,,8270000000,251000000,26391000000,11361000000
2021-12-31,2022,Q2,10-Q,2023-02-03,4833000000,1583000000,727000000,564000000,1.81,1.79,315000000,575000000,279000000,242000000,666000000,306000000,2531000000,,7057000000,251000000,26025000000,12018000000
2022-04-01,2022,Q3,10-Q,2023-05-10,4381000000,1181000000,324000000,25000000,0.08,0.08,316000000,572000000,281000000,216000000,398000000,291000000,2505000000,,7087000000,75000000,25699000000,11984000000
2022-07-01,2022,Q4,10-K,2024-08-20,4528000000,1445000000,562000000,347000000,1.12,1.1,316000000,598000000,266000000,221000000,295000000,280000000,2327000000,,7022000000,0,26259000000,12323000000
2022-09-30,2023,Q1,10-Q,2023-11-07,3736000000,981000000,158000000,47000000,0.09,0.08,319000000,552000000,247000000,216000000,6000000,320000000,2049000000,,7071000000,,25686000000,12222000000
2022-12-30,2023,Q2,10-Q,2024-02-12,3107000000,528000000,-321000000,-451000000,-1.42,-1.42,318000000,523000000,250000000,214000000,35000000,258000000,1871000000,,7033000000,38000000,25047000000,12245000000
2023-03-31,2023,Q3,10-Q,2024-04-30,2803000000,286000000,-472000000,-571000000,-1.82,-1.82,319000000,476000000,242000000,213000000,-381000000,124000000,2220000000,,5898000000,1175000000,25151000000,11741000000
2023-09-29,2024,Q1,10-K,2025-08-14,1194000000,244000000,-596000000,-685000000,-2.17,-2.17,323000000,431000000,207000000,147000000,-626000000,124000000,2032000000,,5822000000,1850000000,24001000000,10230000000
2023-12-29,2024,Q2,10-Q,2025-01-31,1367000000,313000000,-210000000,-287000000,-0.92,-0.92,325000000,444000000,198000000,143000000,-92000000,150000000,2481000000,,7351000000,1042000000,24385000000,10068000000
2024-03-29,2024,Q3,10-Q,2025-05-02,1752000000,519000000,94000000,135000000,0.35,0.35,335000000,243000000,176000000,140000000,58000000,97000000,1894000000,,7318000000,450000000,23801000000,10121000000
2024-06-28,2024,Q4,10-K,2026-08-14,2004000000,697000000,-91000000,39000000,0.08,0.08,326000000,267000000,184000000,138000000,366000000,116000000,1551000000,,5684000000,1750000000,24188000000,10818000000
2024-09-27,2025,Q1,10-Q,2025-10-31,2212000000,806000000,334000000,493000000,1.4,1.35,357000000,262000000,204000000,135000000,34000000,96000000,1705000000,,5650000000,1750000000,24771000000,11643000000
2024-12-27,2025,Q2,10-Q,2026-01-30,2409000000,907000000,560000000,594000000,1.68,1.63,357000000,225000000,132000000,120000000,403000000,116000000,2291000000,,7216000000,150000000,25456000000,12117000000
2025-03-28,2025,Q3,10-Q,2026-05-01,2294000000,912000000,760000000,520000000,1.46,1.42,358000000,245000000,108000000,110000000,508000000,129000000,3477000000,,4907000000,2426000000,16368000000,5177000000
2025-06-27,2025,Q4,10-K,2026-08-14,2605000000,1067000000,680000000,282000000,0.78,0.75,359000000,262000000,124000000,86000000,746000000,71000000,2114000000,,2485000000,2226000000,14002000000,5311000000
2025-10-03,2026,Q1,10-Q,2025-10-31,2818000000,1227000000,792000000,1182000000,3.34,3.07,376000000,294000000,138000000,88000000,672000000,73000000,2048000000,,2457000000,2226000000,14359000000,5888000000
2026-01-02,2026,Q2,10-Q,2026-01-30,3017000000,1380000000,908000000,1842000000,5.27,4.73,381000000,289000000,128000000,92000000,745000000,92000000,1975000000,,2429000000,2226000000,15611000000,7111000000
2026-04-03,2026,Q3,10-Q,2026-05-01,3337000000,1676000000,1190000000,3205000000,9.26,8.2,387000000,294000000,147000000,,1123000000,145000000,2050000000,,0,1581000000,15045000000,9680000000
2026-07-03,2026,Q4,10-K,2026-08-14,3747000000,2028000000,1563000000,3195000000,9.12,8.23,383000000,284000000,138000000,99000000,1389000000,108000000,1579000000,,0,1052000000,13861000000,8864000000
