date,open,high,low,close,volume,div,split
2016-08-05,175.00,177.50,174.00,177.00,25759000,,
2016-08-08,178.00,178.00,176.50,178.00,16200000,,
2016-08-09,178.50,179.50,177.00,178.50,16413000,,
2016-08-10,179.00,179.50,178.00,179.50,19279000,,
2016-08-11,177.50,178.00,175.50,176.50,28180000,,
2016-08-12,178.50,178.50,177.00,177.50,22947000,,
2016-08-15,178.50,179.00,177.50,179.00,12020000,,
2016-08-16,178.00,179.00,175.00,175.50,34260000,,
2016-08-17,177.00,177.50,176.00,177.00,21487000,,
2016-08-18,176.00,176.50,175.00,176.00,27253000,,
2016-08-19,177.00,177.50,174.00,174.50,23470000,,
2016-08-22,173.00,174.00,171.50,172.50,21337000,,
2016-08-23,174.00,175.00,173.50,175.00,20888000,,
2016-08-24,175.00,175.50,173.50,173.50,12092000,,
2016-08-25,175.00,177.00,174.50,176.50,23892000,,
2016-08-26,175.00,177.00,175.00,177.00,15076000,,
2016-08-29,175.00,177.00,174.00,176.00,16975000,,
2016-08-30,176.00,176.50,174.00,174.00,19471000,,
2016-08-31,176.50,177.00,174.50,176.50,38524000,,
2016-09-01,176.00,176.00,173.00,174.00,22692000,,
2016-09-02,176.50,176.50,174.00,174.00,16999000,,
2016-09-05,176.50,177.50,176.50,177.00,22381000,,
2016-09-06,177.00,179.00,176.50,178.00,26024000,,
2016-09-07,180.50,185.00,180.00,185.00,49761000,,
2016-09-08,182.50,184.50,182.50,183.00,30204000,,
2016-09-09,181.00,181.00,179.50,180.50,29793000,,
2016-09-12,177.50,177.50,174.00,175.50,43036000,,
2016-09-13,176.50,176.50,173.50,175.50,36834000,,
2016-09-14,174.00,176.00,173.50,174.00,52877000,,
2016-09-19,179.50,183.00,178.50,183.00,57055000,,
2016-09-20,182.00,183.50,181.50,183.50,23641000,,
2016-09-21,181.00,184.00,180.50,184.00,25008000,,
2016-09-22,185.00,185.50,183.50,185.00,20980000,,
2016-09-23,185.00,187.50,184.50,187.00,23213000,,
2016-09-26,183.50,185.00,183.00,183.50,24225000,,
2016-09-27,183.50,183.50,183.50,183.50,0,,
2016-09-28,183.50,183.50,183.50,183.50,0,,
2016-09-29,185.50,187.50,185.50,187.00,54272000,,
2016-09-30,185.50,186.50,182.50,184.00,42592000,,
2016-10-03,186.00,186.50,184.50,186.00,17742000,,
2016-10-04,185.00,187.00,185.00,187.00,16859000,,
2016-10-05,186.00,186.00,184.50,186.00,19148000,,
2016-10-06,185.00,187.50,185.00,187.50,15524000,,
2016-10-07,188.00,188.00,186.00,188.00,15380000,,
2016-10-11,191.00,191.00,186.00,187.50,30294000,,
2016-10-12,186.50,190.00,186.00,189.50,22604000,,
2016-10-13,190.50,191.00,187.00,188.50,37642000,,
2016-10-14,187.00,189.00,186.50,188.00,33248000,,
2016-10-17,186.50,187.50,185.00,186.50,37340000,,
2016-10-18,186.50,187.00,185.50,187.00,38150000,,
2016-10-19,187.50,189.50,187.50,189.50,33272000,,
2016-10-20,189.50,190.50,189.00,190.50,13226000,,
2016-10-21,191.00,192.00,188.50,188.50,21936000,,
2016-10-24,191.00,191.00,189.50,191.00,13459000,,
2016-10-25,192.00,193.00,191.00,193.00,18878000,,
2016-10-26,190.50,192.50,190.50,191.50,21043000,,
2016-10-27,191.50,191.50,188.50,188.50,26231000,,
2016-10-28,189.50,190.00,188.50,189.50,24348000,,
2016-10-31,189.00,190.50,186.50,188.50,25330000,,
2016-11-01,188.50,189.50,187.50,189.50,14290000,,
