date,open,high,low,close,volume,div,split
2016-08-04,28.37,28.65,28.15,28.23,44100,,
2016-08-05,28.35,29.04,28.35,28.65,94800,,
2016-08-08,28.77,28.98,28.68,28.96,67000,,
2016-08-09,28.89,29.09,28.54,28.58,80900,,
2016-08-10,28.49,28.61,28.00,28.18,90400,,
2016-08-11,28.29,28.99,28.16,28.78,62200,,
2016-08-12,28.73,28.82,28.26,28.43,66600,,
2016-08-15,28.40,29.21,28.40,29.16,72600,,
2016-08-16,29.02,29.14,28.44,28.68,69400,,
2016-08-17,28.62,28.84,28.48,28.59,82200,,
2016-08-18,28.68,29.10,28.68,29.09,68500,,
2016-08-19,28.98,29.33,28.90,29.31,83000,,
2016-08-22,29.39,29.47,29.07,29.18,48400,,
2016-08-23,29.30,29.49,29.30,29.33,70300,,
2016-08-24,29.18,29.64,29.18,29.47,95000,,
2016-08-25,29.50,29.68,29.23,29.57,148800,,
2016-08-26,29.52,29.85,29.27,29.50,74300,,
2016-08-29,29.47,29.85,28.94,29.84,83400,,
2016-08-30,29.97,30.08,29.40,29.79,191900,,
2016-08-31,26.00,26.23,23.85,24.74,1692900,,
2016-09-01,25.23,25.23,23.51,24.31,552700,,
2016-09-02,24.33,25.49,24.31,24.83,340500,,
2016-09-06,24.98,25.18,23.82,24.08,221700,,
2016-09-07,24.00,24.34,23.86,24.15,188000,,
2016-09-08,24.15,24.63,24.06,24.44,145800,,
2016-09-09,24.36,24.44,23.70,23.71,165300,,
2016-09-12,23.69,24.16,23.51,24.06,143800,,
2016-09-13,24.00,24.14,23.44,23.53,112800,,
2016-09-14,23.63,23.76,23.13,23.19,111200,,
2016-09-15,23.13,23.54,23.10,23.53,97300,,
2016-09-16,23.50,23.58,23.03,23.48,333400,,
2016-09-19,23.51,23.92,23.51,23.77,137000,,
2016-09-20,24.98,24.98,23.53,23.67,134100,,
2016-09-21,23.89,25.49,23.69,25.24,339900,,
2016-09-22,25.62,25.62,24.94,25.09,187900,,
2016-09-23,24.89,25.08,24.51,24.66,135000,,
2016-09-26,24.50,25.01,24.37,24.42,110600,,
2016-09-27,24.32,24.65,24.25,24.49,128700,,
2016-09-28,24.57,24.84,24.33,24.51,135900,,
2016-09-29,24.39,24.75,24.20,24.21,140400,,
2016-09-30,24.23,24.50,24.06,24.41,211300,,
2016-10-03,24.35,24.64,24.27,24.54,123000,,
2016-10-04,24.57,24.74,24.21,24.34,94400,,
2016-10-05,24.49,24.80,24.34,24.55,85200,,
2016-10-06,24.22,24.29,23.65,24.14,155500,,
2016-10-07,24.10,24.10,23.35,23.42,108500,,
2016-10-10,23.48,23.91,23.34,23.56,61200,,
2016-10-11,23.56,23.59,22.97,23.16,78900,,
2016-10-12,23.16,23.26,22.85,22.88,137600,,
2016-10-13,22.58,22.62,22.24,22.53,155000,,
2016-10-14,22.58,22.82,22.40,22.44,102500,,
2016-10-17,22.35,22.60,22.26,22.29,96900,,
2016-10-18,22.48,22.63,22.32,22.51,77600,,
