date,open,high,low,close,volume,div,split
2016-08-04,16.43,16.70,16.42,16.70,19978000,,
2016-08-05,16.80,17.02,16.72,17.01,25594000,,
2016-08-08,17.00,17.12,16.79,16.84,19084000,,
2016-08-09,16.89,17.22,16.87,17.12,32743000,,
2016-08-10,17.12,17.22,16.98,17.18,19523000,,
2016-08-11,17.21,17.32,17.09,17.21,15745000,,
2016-08-12,17.21,17.26,17.14,17.25,16530000,,
2016-08-15,17.34,17.58,17.25,17.55,25807000,,
2016-08-16,17.48,17.50,17.21,17.24,19069000,,
2016-08-17,17.23,17.33,17.18,17.30,16613000,,
2016-08-18,17.28,17.42,17.26,17.39,21120000,,
2016-08-19,17.42,17.51,17.34,17.49,15349000,,
2016-08-22,17.50,17.63,17.41,17.59,15393000,,
2016-08-23,17.67,17.75,17.61,17.73,19741000,,
2016-08-24,17.76,17.77,17.44,17.53,21802000,,
2016-08-25,17.55,17.71,17.47,17.60,18735000,,
2016-08-26,17.68,17.86,17.51,17.72,22586000,,
2016-08-29,17.73,17.87,17.69,17.74,16726000,,
2016-08-30,17.82,17.94,17.59,17.70,27838000,,
2016-08-31,17.71,17.83,17.54,17.64,32753000,,
2016-09-01,17.69,17.77,17.48,17.71,39128000,,
2016-09-02,17.70,17.73,16.88,17.31,80668000,,
2016-09-06,17.36,17.40,16.96,17.11,36132000,,
2016-09-07,17.14,17.20,16.77,16.89,31437000,,
2016-09-08,16.84,16.88,16.66,16.84,18680000,,
2016-09-09,16.63,16.70,16.07,16.08,45022000,,
2016-09-12,15.91,16.48,15.88,16.45,35673000,,
2016-09-13,16.45,16.74,16.43,16.52,36003000,,
2016-09-14,16.52,16.99,16.50,16.96,40324000,,
2016-09-15,16.93,17.30,16.82,17.27,36322000,0.051,
2016-09-16,17.24,17.30,16.98,17.12,83067000,,
2016-09-19,17.16,17.36,16.94,17.07,28306000,,
2016-09-20,17.22,17.22,16.82,16.82,18722000,,
2016-09-21,16.84,17.00,16.76,16.98,17977000,,
2016-09-22,17.10,17.12,16.81,16.88,20619000,,
2016-09-23,16.87,16.90,16.55,16.66,26875000,,
2016-09-26,16.51,16.72,16.28,16.67,32033000,,
2016-09-27,16.69,17.09,16.60,17.09,25353000,,
2016-09-28,17.18,17.27,16.98,17.07,20843000,,
2016-09-29,17.00,17.40,16.95,17.25,38570000,,
2016-09-30,17.30,17.46,17.24,17.25,34220000,,
2016-10-03,17.30,17.39,16.97,17.01,22807000,,
2016-10-04,17.06,17.09,16.81,16.91,19596000,,
2016-10-05,17.15,17.41,17.07,17.35,26149000,,
2016-10-06,17.33,17.46,17.13,17.42,21014000,,
2016-10-07,17.49,17.50,17.24,17.42,21842000,,
2016-10-10,17.47,17.59,17.38,17.48,16336000,,
2016-10-11,17.53,17.55,16.95,17.12,26181000,,
2016-10-12,17.07,17.11,16.84,17.05,21740000,,
2016-10-13,16.88,16.99,16.68,16.89,22373000,,
2016-10-14,17.00,17.26,16.93,17.01,19570000,,
2016-10-17,16.97,17.09,16.87,16.89,12741000,,
2016-10-18,17.07,17.29,17.05,17.22,14167000,,
2016-10-19,17.12,17.23,17.01,17.19,20440000,,
2016-10-20,17.17,17.46,17.10,17.34,18961000,,
2016-10-21,17.23,17.34,17.07,17.29,15842000,,
2016-10-24,17.42,17.70,17.36,17.66,19772000,,
