date,open,high,low,close,volume,div,split
2016-08-04,38.61,38.70,38.44,38.58,22806000,,
2016-08-05,38.69,39.15,38.62,39.11,36024000,,
2016-08-08,39.10,39.13,38.90,39.09,22158000,,
2016-08-09,39.05,39.45,39.03,39.21,26378000,,
2016-08-10,39.19,39.34,39.14,39.23,15728000,,
2016-08-11,39.25,39.49,39.15,39.24,19502000,,
2016-08-12,39.08,39.17,39.02,39.16,14810000,,
2016-08-15,39.19,39.37,39.01,39.12,18764000,,
2016-08-16,39.02,39.05,38.67,38.86,20560000,,
2016-08-17,38.87,39.04,38.68,39.00,18484000,,
2016-08-18,39.00,39.14,38.85,38.88,14388000,,
2016-08-19,38.75,38.85,38.66,38.77,17230000,,
2016-08-22,38.66,38.73,38.50,38.61,19028000,,
2016-08-23,38.77,38.82,38.59,38.60,18564000,,
2016-08-24,38.53,38.73,38.35,38.48,21440000,,
2016-08-25,38.35,38.59,38.16,38.47,18538000,,
2016-08-26,38.45,38.80,38.29,38.48,23334000,,
2016-08-29,38.44,38.75,38.33,38.61,16952000,,
2016-08-30,38.47,38.72,38.34,38.45,22600000,,
2016-08-31,38.35,38.45,38.27,38.35,24972000,,
2016-09-01,38.46,38.55,38.22,38.44,18502000,,
2016-09-02,38.65,38.70,38.42,38.57,21454000,,
2016-09-06,38.67,39.10,38.55,39.00,28856000,,
2016-09-07,39.00,39.14,38.81,39.02,17874000,,
2016-09-08,38.93,39.02,38.68,38.77,25406000,,
2016-09-09,38.51,38.66,37.98,37.98,37710000,,
2016-09-12,37.76,38.51,37.70,38.45,26220000,,
2016-09-13,38.22,38.31,37.79,37.98,27900000,,
2016-09-14,37.98,38.38,37.96,38.12,21748000,,
2016-09-15,38.14,38.69,38.00,38.59,26102000,,
2016-09-16,38.49,38.49,38.23,38.44,40986000,,
2016-09-19,38.62,38.70,38.22,38.28,23456000,,
2016-09-20,38.45,38.67,38.43,38.57,19572000,,
2016-09-21,38.63,38.86,38.42,38.81,23356000,,
2016-09-22,39.00,39.49,38.92,39.36,29724000,,
2016-09-23,39.33,39.45,39.21,39.34,28238000,,
2016-09-26,39.14,39.14,38.65,38.71,30664000,,
2016-09-27,38.77,39.30,38.72,39.15,23064000,,
2016-09-28,38.89,39.09,38.75,39.08,22196000,,
2016-09-29,39.07,39.29,38.71,38.75,26294000,,
2016-09-30,38.82,39.05,38.70,38.86,31706000,,
2016-10-03,38.71,38.80,38.48,38.63,25576000,,
2016-10-04,38.80,38.94,38.64,38.82,24028000,,
2016-10-05,38.97,39.10,38.78,38.82,29224000,,
2016-10-06,38.95,39.02,38.78,38.84,21414000,,
2016-10-07,38.98,38.98,38.54,38.75,18664000,,
2016-10-10,38.89,39.47,38.79,39.30,23498000,,
2016-10-11,39.33,39.61,39.03,39.15,27450000,,
2016-10-12,39.19,39.41,39.10,39.31,18748000,,
2016-10-13,39.06,39.06,38.65,38.91,27306000,,
2016-10-14,39.08,39.20,38.80,38.93,17050000,,
2016-10-17,38.99,39.29,38.88,39.00,21860000,,
2016-10-18,39.39,40.08,39.28,39.76,41138000,,
2016-10-19,39.91,40.23,39.90,40.08,35336000,,
2016-10-20,40.16,40.20,39.80,39.85,35150000,,
2016-10-21,39.75,39.98,39.70,39.97,25324000,,
2016-10-24,40.24,40.76,40.24,40.66,33950000,,
2016-10-25,40.83,40.83,40.26,40.38,31528000,,
2016-10-26,40.32,40.35,39.82,39.95,32954000,,
2016-10-27,40.05,40.17,39.58,39.77,54984000,,
2016-10-28,40.42,40.77,39.68,39.77,85398000,,
2016-10-31,39.77,39.84,39.20,39.23,48546000,,
2016-11-01,39.14,39.47,38.78,39.18,48128000,,
2016-11-02,38.91,39.08,38.17,38.44,37448000,,
2016-11-03,38.36,38.50,37.95,38.11,38864000,,
2016-11-04,37.53,38.52,37.53,38.10,42696000,,
2016-11-07,38.73,39.26,38.63,39.13,31702000,,
2016-11-08,39.17,39.78,39.01,39.53,27338000,,
2016-11-09,39.00,39.56,38.58,39.27,52142000,,
2016-11-10,39.56,39.56,37.61,38.13,94904000,,
2016-11-11,37.83,38.04,37.52,37.70,48636000,,
2016-11-14,37.78,37.89,36.38,36.80,73088000,,
2016-11-15,37.35,38.22,37.35,37.92,47680000,,
2016-11-16,37.76,38.32,37.53,38.22,29452000,,
2016-11-17,38.35,38.63,38.21,38.56,26080000,,
2016-11-18,38.57,38.75,38.00,38.03,30942000,,
2016-11-21,38.13,38.48,38.03,38.46,26612000,,
2016-11-22,38.63,38.85,38.35,38.41,31862000,,
2016-11-23,38.39,38.41,37.76,38.05,29568000,,
2016-11-25,38.21,38.25,38.03,38.08,11748000,,
2016-11-28,38.00,38.98,37.99,38.41,43764000,,
2016-11-29,38.58,38.92,38.41,38.54,32332000,,
2016-11-30,38.50,38.65,37.74,37.90,47858000,,
2016-12-01,37.87,37.99,36.85,37.40,60358000,,
2016-12-02,37.23,37.70,37.16,37.52,29050000,,
2016-12-05,37.89,38.20,37.65,38.13,27884000,,
2016-12-06,38.24,38.44,37.87,37.96,33814000,,
2016-12-07,38.05,38.57,37.79,38.56,35220000,,
2016-12-08,38.62,38.91,38.36,38.82,29762000,,
2016-12-09,39.00,39.47,38.95,39.46,36438000,,
2016-12-12,39.25,39.56,39.22,39.46,42082000,,
2016-12-13,39.70,40.22,39.67,39.80,42904000,,
2016-12-14,39.87,40.20,39.70,39.85,34084000,,
2016-12-15,39.87,40.15,39.65,39.89,32530000,,
2016-12-16,40.02,40.04,39.51,39.54,48876000,,
2016-12-19,39.51,39.88,39.31,39.71,24642000,,
2016-12-20,39.84,39.93,39.66,39.82,19020000,,
2016-12-21,39.79,39.83,39.35,39.73,24226000,,
2016-12-22,39.62,39.67,39.43,39.56,19444000,,
2016-12-23,39.55,39.64,39.36,39.50,12468000,,
2016-12-27,39.53,39.89,39.38,39.58,15782000,,
2016-12-28,39.69,39.71,39.16,39.25,23076000,,
2016-12-29,39.17,39.30,38.95,39.14,14886000,,
2016-12-30,39.14,39.14,38.52,38.59,35400000,,
2017-01-03,38.94,39.48,38.79,39.31,33146000,,
2017-01-04,39.42,39.57,39.16,39.34,21460000,,
2017-01-05,39.30,39.72,39.25,39.70,26704000,,
