date,open,high,low,close,volume,div,split
2020-12-01,11.89,11.89,11.89,11.89,500,,
2020-12-02,12.48,12.48,11.82,11.82,1000,,
2020-12-03,11.82,11.90,11.80,11.90,14100,,
2020-12-04,12.99,13.98,11.50,12.40,15500,,
2020-12-07,13.15,14.00,12.20,12.55,14500,,
2020-12-08,12.99,13.44,12.25,12.38,14900,,
2020-12-09,12.34,13.00,12.30,12.70,39600,,
2020-12-10,12.50,13.10,12.12,12.65,27200,,
2020-12-11,12.78,13.20,12.50,12.75,37100,,
2020-12-14,12.95,13.50,12.85,13.20,51500,,
2020-12-15,13.38,13.45,12.69,12.69,35100,,
2020-12-16,13.18,13.18,12.55,12.61,47800,,
2020-12-17,13.09,13.44,12.80,13.19,28200,,
2020-12-18,13.75,13.75,12.90,13.04,48400,,
2020-12-21,13.50,13.50,13.25,13.49,25400,,
2020-12-22,13.52,13.92,13.15,13.62,48700,,
2020-12-23,14.00,14.00,13.28,13.29,84600,,
2020-12-24,13.29,14.62,13.23,13.32,33900,,
2020-12-28,13.50,13.50,12.90,12.90,91300,,
2020-12-29,12.96,13.25,12.85,12.94,149100,,
2020-12-30,13.39,13.39,13.00,13.20,22100,,
2020-12-31,13.44,13.90,12.61,12.86,33200,,
2021-01-04,13.99,13.99,12.63,12.95,36700,,
2021-01-05,12.78,13.22,12.61,12.85,20600,,
2021-01-06,12.84,12.99,12.70,12.85,159400,,
2021-01-07,13.00,13.94,12.91,13.75,261500,,
2021-01-08,14.17,14.99,13.40,13.81,168000,,
2021-01-11,13.90,14.50,13.80,14.01,198100,,
2021-01-12,14.11,14.50,14.11,14.25,77600,,
2021-01-13,14.44,14.57,14.02,14.03,276100,,
2021-01-14,15.02,15.61,14.00,14.39,230000,,
2021-01-15,14.72,15.20,14.47,14.85,215300,,
2021-01-19,15.14,15.83,14.65,14.73,97500,,
2021-01-20,14.96,15.34,14.57,14.88,38000,,
2021-01-21,14.92,17.25,14.54,16.50,583500,,
2021-01-22,17.26,18.11,15.55,16.75,504000,,
2021-01-25,15.70,16.26,14.80,15.22,510600,,
2021-01-26,15.35,15.71,14.31,14.47,143800,,
2021-01-27,14.38,14.38,12.62,12.77,409000,,
2021-01-28,13.13,14.89,13.01,14.00,197200,,
2021-01-29,13.91,14.23,13.50,13.90,93700,,
2021-02-01,14.17,14.75,13.93,14.12,134700,,
2021-02-02,14.38,14.73,14.13,14.40,159600,,
2021-02-03,14.55,14.99,14.26,14.40,178400,,
2021-02-04,14.39,14.49,13.75,13.85,233000,,
2021-02-05,14.45,14.81,14.17,14.35,225600,,
2021-02-08,14.52,15.10,14.29,14.59,266600,,
2021-02-09,14.09,14.59,14.09,14.30,136400,,
2021-02-10,14.41,14.88,14.06,14.30,197000,,
2021-02-11,14.54,14.54,13.90,13.99,137400,,
2021-02-12,13.95,14.67,13.81,13.87,198000,,
2021-02-16,14.00,14.43,13.75,13.88,121800,,
2021-02-17,13.98,14.29,13.54,13.90,100300,,
2021-02-18,13.90,14.13,13.63,14.00,48800,,
2021-02-19,13.80,14.24,13.80,13.90,57400,,
2021-02-22,13.90,14.25,13.59,13.64,242500,,
2021-02-23,13.49,14.49,12.80,13.63,173000,,
2021-02-24,13.61,13.98,13.10,13.26,159400,,
2021-02-25,13.37,13.37,12.82,12.84,230800,,
2021-02-26,13.00,13.25,12.51,12.95,168600,,
2021-03-01,13.08,13.27,12.70,12.89,146600,,
2021-03-02,13.12,13.24,12.29,12.70,295000,,
2021-03-03,12.76,12.85,11.35,11.38,361400,,
2021-03-04,11.18,11.78,11.03,11.30,296700,,
2021-03-05,11.44,12.38,10.79,11.52,282700,,
2021-03-08,11.55,11.69,10.91,10.98,84300,,
2021-03-09,11.19,12.39,11.19,11.88,217800,,
2021-03-10,11.99,12.81,11.65,12.00,1445700,,
2021-03-11,12.24,15.50,11.92,14.65,6065400,,
2021-03-12,14.65,14.82,13.78,13.95,2107200,,
2021-03-15,14.08,14.59,13.65,13.73,1163600,,
2021-03-16,13.93,13.93,12.51,12.85,1052800,,
2021-03-17,12.50,13.38,12.50,12.85,457000,,
2021-03-18,12.83,13.37,12.76,12.95,427400,,
2021-03-19,13.06,13.14,12.84,12.99,359100,,
2021-03-22,13.00,13.90,12.94,13.50,522700,,
2021-03-23,13.42,13.42,12.42,12.45,456600,,
2021-03-24,12.65,12.93,11.50,11.58,538900,,
2021-03-25,11.50,12.25,11.00,12.05,716200,,
2021-03-26,12.00,12.00,11.40,11.67,340200,,
2021-03-29,11.90,11.98,11.26,11.64,263000,,
2021-03-30,11.50,11.59,11.20,11.35,231400,,
2021-03-31,11.52,11.89,11.50,11.70,138000,,
2021-04-01,12.00,12.19,11.70,11.95,156800,,
2021-04-05,12.06,12.41,11.95,12.17,244900,,
2021-04-06,12.24,13.05,12.24,12.70,385000,,
2021-04-07,13.99,14.14,12.71,13.13,5383000,,
2021-04-08,13.60,14.22,13.40,14.10,1135600,,
2021-04-09,14.09,14.39,13.42,13.75,1696600,,
2021-04-12,14.44,14.45,13.80,13.95,1059800,,
2021-04-13,14.53,15.98,12.80,15.33,29224100,,
2021-04-14,15.21,15.33,13.75,14.40,6143200,,
2021-04-15,14.47,14.65,13.01,13.51,4570500,,
2021-04-16,13.27,13.60,12.50,12.52,6627400,,
2021-04-19,12.97,13.29,12.66,13.16,2944200,,
2021-04-20,13.36,13.68,12.65,12.72,3315000,,
2021-04-21,12.79,13.00,12.70,12.72,2099700,,
2021-04-22,12.87,13.04,12.65,12.70,1509300,,
2021-04-23,12.80,13.24,12.53,13.06,1675300,,
2021-04-26,13.04,13.80,13.04,13.63,1525100,,
2021-04-27,13.75,13.95,13.54,13.71,1439500,,
2021-04-28,13.70,13.82,13.26,13.37,1007800,,
2021-04-29,13.55,13.58,12.80,12.99,1628800,,
2021-04-30,12.80,13.34,12.80,13.31,1619800,,
2021-05-03,13.42,13.42,12.76,13.01,2321200,,
2021-05-04,12.80,13.47,12.37,13.00,2163300,,
2021-05-05,13.10,13.12,12.41,12.42,884200,,
2021-05-06,12.46,12.55,11.31,11.84,3195900,,
2021-05-07,11.90,12.10,11.52,11.67,1657300,,
2021-05-10,11.70,11.99,11.50,11.71,704200,,
2021-05-11,11.28,12.59,11.17,12.42,1757200,,
2021-05-12,12.23,12.28,11.45,11.50,1628900,,
2021-05-13,11.48,11.61,11.00,11.06,1208200,,
2021-05-14,11.30,11.62,11.21,11.50,1296700,,
2021-05-17,11.65,11.65,11.26,11.32,939000,,
2021-05-18,11.40,11.62,11.25,11.41,618800,,
2021-05-19,11.10,11.28,11.00,11.26,1100200,,
2021-05-20,11.35,11.53,11.21,11.46,474600,,
2021-05-21,11.56,11.59,11.14,11.35,549100,,
2021-05-24,11.53,11.53,11.32,11.37,272000,,
2021-05-25,11.50,11.57,11.39,11.45,657600,,
2021-05-26,11.59,11.80,11.45,11.64,863300,,
2021-05-27,11.71,12.10,11.68,11.88,977800,,
2021-05-28,11.95,12.07,11.73,11.79,458600,,
2021-06-01,11.99,12.15,11.71,11.73,371400,,
2021-06-02,11.92,12.03,11.62,11.73,461800,,
2021-06-03,11.70,11.90,11.33,11.40,738200,,
2021-06-04,11.60,11.71,11.35,11.38,517400,,
2021-06-07,11.65,11.95,11.48,11.89,445500,,
2021-06-08,12.00,12.05,11.75,11.85,536600,,
2021-06-09,11.80,11.84,11.50,11.52,899900,,
2021-06-10,11.60,11.77,11.37,11.66,448400,,
2021-06-11,11.67,11.89,11.54,11.74,646800,,
2021-06-14,11.84,11.84,11.50,11.55,388800,,
2021-06-15,11.55,11.63,11.28,11.55,401500,,
2021-06-16,11.47,11.81,11.41,11.80,438800,,
2021-06-17,11.70,11.75,11.63,11.75,208800,,
2021-06-18,11.67,11.77,11.57,11.76,290700,,
2021-06-21,11.75,11.83,11.65,11.80,418800,,
2021-06-22,11.82,11.82,11.60,11.67,349400,,
2021-06-23,11.67,11.77,11.60,11.71,271700,,
2021-06-24,11.85,11.86,11.75,11.75,370400,,
2021-06-25,11.80,11.83,11.71,11.75,221200,,
2021-06-28,11.75,11.85,11.72,11.84,294100,,
2021-06-29,11.80,11.80,11.72,11.75,257600,,
2021-06-30,11.75,11.75,11.66,11.70,359100,,
2021-07-01,11.70,11.77,11.60,11.64,223000,,
