date,open,high,low,close,volume,div,split
2016-08-04,34.29,34.62,34.22,34.58,16362600,,
2016-08-05,34.80,35.13,34.70,34.98,20046200,,
2016-08-08,34.90,35.17,34.86,35.04,19497300,,
2016-08-09,35.04,35.16,34.84,34.92,12578900,,
2016-08-10,35.00,35.00,34.50,34.53,19579000,,
2016-08-11,34.66,34.74,34.49,34.68,16364100,,
2016-08-12,34.52,34.76,34.44,34.57,15708300,,
2016-08-15,34.70,35.16,34.63,34.91,18931100,,
2016-08-16,34.77,35.21,34.77,35.21,16320900,,
2016-08-17,35.17,35.21,34.77,35.02,18221600,,
2016-08-18,34.96,35.09,34.75,34.97,16085200,,
2016-08-19,34.84,35.27,34.74,35.24,16417600,,
2016-08-22,35.20,35.45,35.12,35.36,14941400,,
2016-08-23,35.50,35.69,35.30,35.40,18316000,,
2016-08-24,35.32,35.41,35.02,35.15,16343500,,
2016-08-25,35.05,35.22,34.90,35.09,12428000,,
2016-08-26,35.11,35.58,35.05,35.26,14469900,,
2016-08-29,35.48,35.67,35.15,35.55,15264300,,
2016-08-30,35.59,35.74,35.52,35.70,15183200,,
2016-08-31,35.62,35.90,35.58,35.89,20562700,,
2016-09-01,35.99,36.04,35.58,36.02,18925800,,
2016-09-02,36.21,36.33,35.95,36.08,16726700,,
2016-09-06,36.38,36.60,36.17,36.57,22337800,,
2016-09-07,36.65,36.65,36.38,36.46,18495600,,
2016-09-08,36.35,36.59,36.12,36.44,20356500,,
2016-09-09,36.10,36.39,35.44,35.44,29457900,,
2016-09-12,35.19,36.12,35.06,36.08,22796600,,
2016-09-13,35.75,35.88,35.32,35.61,23591300,,
2016-09-14,35.51,35.82,35.40,35.62,14074500,,
2016-09-15,35.74,36.65,35.54,36.56,23736000,,
2016-09-16,37.72,38.05,37.25,37.67,74577900,,
2016-09-19,37.69,38.02,37.09,37.16,30531700,,
2016-09-20,37.42,37.43,36.94,37.14,24796900,,
2016-09-21,37.21,37.46,36.86,37.45,21233700,,
2016-09-22,37.60,37.83,37.44,37.55,17013400,,
2016-09-23,37.45,37.65,37.12,37.19,18062500,,
2016-09-26,36.92,36.94,36.60,36.65,25518800,,
2016-09-27,36.90,37.22,36.63,37.18,22391600,,
2016-09-28,37.31,37.50,37.15,37.44,19020800,,
2016-09-29,37.49,37.53,37.00,37.32,17675000,,
2016-09-30,37.47,37.92,37.44,37.75,24279300,,
2016-10-03,37.69,37.95,37.53,37.66,14113600,,
2016-10-04,37.77,37.94,37.33,37.54,14393100,,
2016-10-05,37.75,38.31,37.64,37.99,22420800,,
2016-10-06,37.84,38.16,37.58,38.07,15171400,,
2016-10-07,38.08,38.22,37.78,38.10,16942500,,
2016-10-10,38.25,38.36,37.90,38.02,14954300,,
2016-10-11,37.91,38.00,36.82,37.27,27650500,,
2016-10-12,37.20,37.25,36.81,37.13,14053900,,
2016-10-13,36.85,37.13,36.46,36.97,16936000,,
2016-10-14,37.19,37.70,37.16,37.45,19123900,,
2016-10-17,37.55,37.72,37.24,37.29,15788100,,
2016-10-18,37.97,38.05,37.53,37.75,42907800,,
2016-10-19,36.07,36.09,35.23,35.51,75229000,,
2016-10-20,35.41,35.67,35.10,35.43,25669500,,
2016-10-21,35.21,35.40,34.81,35.15,20813200,,
2016-10-24,35.43,35.49,35.11,35.26,21524700,,
2016-10-25,35.14,35.25,35.01,35.10,17860300,,
2016-10-26,35.04,35.21,34.74,34.92,19977600,,
2016-10-27,35.10,35.23,34.75,34.81,14634700,,
2016-10-28,34.87,35.17,34.71,34.74,22296400,,
2016-10-31,34.92,35.08,34.84,34.87,19188600,,
2016-11-01,34.90,35.16,34.27,34.52,25368200,,
2016-11-02,34.60,34.90,34.47,34.60,21416400,,
2016-11-03,34.45,34.52,33.87,33.93,19400000,0.26,
2016-11-04,33.53,33.93,33.42,33.61,21914700,,
2016-11-07,34.24,34.75,34.15,34.69,19296600,,
2016-11-08,34.60,34.95,34.49,34.74,14833100,,
2016-11-09,34.13,34.85,33.67,34.75,25999400,,
2016-11-10,34.95,34.95,34.03,34.50,28249900,,
2016-11-11,34.57,34.87,34.34,34.61,22665000,,
2016-11-14,34.56,34.73,34.20,34.48,22558900,,
2016-11-15,34.64,35.29,34.61,34.91,20676100,,
2016-11-16,34.90,34.92,34.54,34.84,18565500,,
2016-11-17,34.81,35.02,34.63,35.02,15748500,,
2016-11-18,34.90,35.00,34.64,34.95,16806900,,
2016-11-21,35.10,35.20,34.84,34.98,14259500,,
2016-11-22,35.18,35.50,35.11,35.48,22327400,,
2016-11-23,35.48,35.52,35.10,35.20,15843100,,
2016-11-25,35.11,35.45,35.11,35.44,6372800,,
2016-11-28,35.43,35.66,35.21,35.51,13549000,,
2016-11-29,35.64,35.64,35.27,35.31,19581000,,
2016-11-30,35.20,35.30,34.70,34.70,27016100,,
2016-12-01,34.86,34.93,33.56,33.76,29618700,,
2016-12-02,33.72,34.26,33.60,34.16,21492500,,
2016-12-05,34.31,34.42,33.97,34.39,14462000,,
2016-12-06,34.39,34.75,34.30,34.72,15297700,,
2016-12-07,34.67,35.57,34.45,35.50,21710300,,
2016-12-08,35.48,36.03,35.22,35.70,19966500,,
2016-12-09,35.75,35.90,35.59,35.76,16326900,,
2016-12-12,35.78,36.09,35.67,35.97,21985800,,
2016-12-13,36.01,36.89,35.93,36.80,35773600,,
2016-12-14,36.70,36.89,36.46,36.55,30819400,,
2016-12-15,36.74,37.16,36.53,36.79,23721500,,
2016-12-16,36.72,36.87,36.09,36.31,38212800,,
2016-12-19,36.34,36.95,36.27,36.89,18744300,,
2016-12-20,36.95,37.24,36.89,37.21,18551800,,
2016-12-21,37.25,37.35,36.91,36.98,14323600,,
2016-12-22,37.23,37.24,36.81,36.93,10793900,,
2016-12-23,36.93,36.98,36.77,36.97,6287300,,
2016-12-27,36.91,37.33,36.91,37.07,9033700,,
2016-12-28,37.10,37.20,36.58,36.63,12868600,,
2016-12-29,36.51,36.72,36.43,36.66,8447300,,
2016-12-30,36.79,36.80,36.20,36.27,17468000,,
2017-01-03,36.61,36.93,36.27,36.60,20196500,,
2017-01-04,36.71,36.77,36.34,36.41,15915700,,
2017-01-05,36.45,36.72,36.31,36.35,13986000,,
2017-01-06,36.59,36.68,36.19,36.48,15114000,,
2017-01-09,36.48,36.89,36.48,36.61,19461400,,
2017-01-10,36.55,36.93,36.53,36.54,15918800,,
2017-01-11,36.51,37.00,36.51,36.95,22398400,,
2017-01-12,36.83,36.83,36.32,36.71,20391900,,
2017-01-13,36.71,36.86,36.62,36.79,15072200,,
2017-01-17,36.67,36.83,36.59,36.80,20195200,,
2017-01-18,36.89,37.01,36.61,36.76,15382500,,
2017-01-19,36.51,36.91,36.51,36.57,13654500,,
2017-01-20,36.76,37.03,36.58,36.94,23950900,,
2017-01-23,37.07,37.21,36.55,36.77,27752600,,
2017-01-24,36.84,37.74,36.81,37.62,35140900,,
2017-01-25,37.87,38.00,37.52,37.80,32276400,,
2017-01-26,37.82,37.92,37.42,37.56,34144800,,
2017-01-27,38.00,38.45,37.81,37.98,44368600,,
2017-01-30,37.74,37.84,37.33,37.42,23954700,,
2017-01-31,37.22,37.37,36.64,36.82,27059100,,
2017-02-01,36.82,36.95,36.02,36.52,28380600,,
