date,open,high,low,close,volume,div,split
2021-01-04,11.12,11.25,10.50,10.80,150500,,
2021-01-05,10.85,11.83,10.75,11.11,165300,,
2021-01-06,11.50,11.50,11.00,11.05,175600,,
2021-01-07,11.50,11.50,11.05,11.11,94200,,
2021-01-08,11.65,12.35,11.00,11.01,137500,,
2021-01-11,11.80,11.80,10.80,11.17,162600,,
2021-01-12,11.80,11.80,11.07,11.18,210700,,
2021-01-13,11.34,11.37,10.97,11.20,386100,,
2021-01-14,11.31,11.70,11.22,11.44,291000,,
2021-01-15,11.57,11.79,11.11,11.22,269600,,
2021-01-19,11.40,11.48,11.09,11.32,573900,,
2021-01-20,11.33,11.45,11.25,11.32,434000,,
2021-01-21,11.39,11.72,11.24,11.50,401600,,
2021-01-22,11.55,12.20,11.50,12.00,503900,,
2021-01-25,12.50,12.58,11.80,12.09,621100,,
2021-01-26,12.38,12.45,11.83,11.91,695000,,
2021-01-27,11.52,11.68,11.26,11.45,919500,,
2021-01-28,11.50,11.68,11.35,11.37,183400,,
2021-01-29,11.42,11.45,11.10,11.35,230900,,
2021-02-01,11.45,11.68,11.40,11.55,244800,,
2021-02-02,11.77,12.12,11.72,11.90,159600,,
2021-02-03,11.98,12.21,11.96,12.00,164600,,
2021-02-04,12.15,12.21,11.93,11.99,142000,,
2021-02-05,12.20,12.20,11.74,11.76,162400,,
2021-02-08,11.98,11.98,11.58,11.78,527500,,
2021-02-09,11.77,11.99,11.56,11.99,240500,,
2021-02-10,11.86,11.91,11.65,11.88,151300,,
2021-02-11,11.88,11.94,11.56,11.77,83200,,
2021-02-12,11.65,11.80,11.61,11.80,117200,,
2021-02-16,11.80,11.89,11.61,11.70,265500,,
2021-02-17,11.85,11.85,11.67,11.81,177400,,
2021-02-18,12.27,12.46,12.11,12.24,460300,,
2021-02-19,12.37,13.19,12.37,12.71,424300,,
2021-02-22,12.66,13.29,12.56,12.75,506900,,
2021-02-23,12.25,12.32,11.40,12.14,379700,,
2021-02-24,14.05,15.39,13.61,14.44,7375300,,
2021-02-25,14.00,14.56,13.03,13.12,2067400,,
2021-02-26,13.34,14.80,12.60,14.47,1714800,,
2021-03-01,14.61,14.84,13.70,14.60,959500,,
2021-03-02,14.50,14.75,12.86,12.86,830100,,
2021-03-03,13.00,13.15,11.73,11.87,1067100,,
2021-03-04,11.95,12.15,10.86,11.97,1296400,,
2021-03-05,12.05,12.80,11.52,12.70,959800,,
2021-03-08,12.15,12.29,10.76,10.90,5674000,,
2021-03-09,11.32,11.50,10.91,11.31,2175400,,
2021-03-10,11.70,11.88,10.80,11.08,2130500,,
2021-03-11,11.20,11.36,11.00,11.20,1644300,,
2021-03-12,11.07,11.60,11.05,11.51,1135900,,
2021-03-15,11.92,11.93,11.20,11.53,1467500,,
2021-03-16,11.38,11.58,10.96,11.02,1387300,,
2021-03-17,10.94,11.22,10.90,11.00,1278700,,
2021-03-18,10.95,11.15,10.78,10.81,873200,,
2021-03-19,10.77,11.05,10.75,11.05,475200,,
2021-03-22,11.25,11.25,10.86,10.94,564300,,
2021-03-23,10.89,10.96,10.50,10.63,732200,,
2021-03-24,10.65,10.78,10.50,10.52,972300,,
2021-03-25,10.50,10.62,10.18,10.56,1178200,,
2021-03-26,10.51,10.73,10.33,10.52,647300,,
2021-03-29,10.57,10.79,10.46,10.73,317300,,
2021-03-30,10.64,10.69,10.31,10.50,447100,,
2021-03-31,10.52,10.77,10.41,10.77,398700,,
2021-04-01,10.87,10.94,10.45,10.57,481200,,
2021-04-05,10.77,10.79,10.60,10.69,362000,,
2021-04-06,10.56,10.78,10.55,10.78,370700,,
2021-04-07,10.78,10.96,10.62,10.69,435700,,
2021-04-08,10.79,11.04,10.73,11.00,648400,,
2021-04-09,10.97,11.09,10.92,11.03,299700,,
2021-04-12,11.00,11.02,10.78,10.84,450000,,
2021-04-13,10.75,10.90,10.70,10.75,465500,,
2021-04-14,10.70,10.79,10.48,10.59,435900,,
2021-04-15,10.49,10.63,10.45,10.54,299300,,
2021-04-16,10.50,10.58,10.25,10.37,545500,,
2021-04-19,10.42,10.49,10.23,10.25,694700,,
2021-04-20,10.25,10.37,10.12,10.30,526300,,
2021-04-21,10.20,10.48,10.17,10.48,249200,,
2021-04-22,10.38,10.61,10.13,10.39,479200,,
2021-04-23,10.32,10.50,10.30,10.49,156100,,
2021-04-26,10.50,10.55,10.48,10.54,230900,,
2021-04-27,10.50,10.60,10.29,10.50,214600,,
2021-04-28,10.42,10.63,10.42,10.60,181100,,
2021-04-29,10.50,10.66,10.50,10.66,322700,,
2021-04-30,10.65,10.80,10.63,10.78,275900,,
2021-05-03,10.85,10.85,10.66,10.81,266500,,
2021-05-04,10.78,10.78,10.50,10.63,145300,,
2021-05-05,10.63,10.68,10.35,10.40,154700,,
2021-05-06,10.34,10.37,10.25,10.26,200000,,
2021-05-07,10.28,10.34,9.99,10.21,407500,,
2021-05-10,10.20,10.29,10.11,10.14,224500,,
2021-05-11,10.00,10.09,9.92,10.02,885300,,
2021-05-12,9.95,10.10,9.94,10.02,753700,,
2021-05-13,10.00,10.15,10.00,10.08,247700,,
2021-05-14,10.11,10.14,10.01,10.05,160000,,
2021-05-17,10.00,10.02,9.96,10.00,674400,,
2021-05-18,10.03,10.03,9.94,9.95,352700,,
2021-05-19,9.95,9.95,9.88,9.91,437700,,
2021-05-20,9.93,9.99,9.90,9.94,1701000,,
2021-05-21,9.99,10.02,9.96,10.00,907700,,
2021-05-24,10.02,10.02,9.97,10.00,163000,,
2021-05-25,10.00,10.03,9.97,9.97,345100,,
2021-05-26,9.99,10.03,9.95,10.00,328400,,
2021-05-27,10.00,10.04,9.92,9.93,63300,,
2021-05-28,9.96,10.03,9.96,9.98,265600,,
2021-06-01,10.00,10.02,9.96,9.98,344600,,
2021-06-02,9.98,10.02,9.98,10.00,185100,,
2021-06-03,10.03,10.11,9.98,10.05,177000,,
2021-06-04,10.10,10.11,10.07,10.10,184400,,
2021-06-07,10.21,10.29,10.12,10.24,464900,,
2021-06-08,10.34,10.49,10.23,10.44,939900,,
2021-06-09,10.63,10.89,10.49,10.60,1145400,,
2021-06-10,10.60,10.84,10.51,10.55,626100,,
2021-06-11,10.76,10.88,10.54,10.57,338100,,
2021-06-14,10.67,10.77,10.50,10.52,193500,,
2021-06-15,10.55,10.60,10.43,10.45,98100,,
2021-06-16,10.41,10.45,10.26,10.43,164500,,
2021-06-17,10.44,10.46,10.27,10.31,182900,,
2021-06-18,10.24,10.32,10.24,10.29,112700,,
2021-06-21,10.34,10.35,10.14,10.16,195700,,
2021-06-22,10.16,10.16,10.00,10.10,554000,,
2021-06-23,10.11,10.13,10.08,10.11,124200,,
2021-06-24,10.16,10.31,10.15,10.30,700500,,
2021-06-25,10.26,10.44,10.26,10.39,348100,,
2021-06-28,10.54,10.80,10.45,10.49,551200,,
2021-06-29,10.49,10.58,10.31,10.55,285900,,
2021-06-30,10.80,10.80,10.35,10.69,440200,,
2021-07-01,10.64,10.71,10.61,10.70,247300,,
2021-07-02,10.70,10.73,10.46,10.48,147100,,
2021-07-06,10.53,10.65,10.33,10.53,356100,,
2021-07-07,10.60,10.65,10.39,10.44,274500,,
2021-07-08,10.44,10.52,10.35,10.42,341200,,
2021-07-09,10.38,10.51,10.36,10.50,325500,,
2021-07-12,10.53,10.59,10.42,10.46,173900,,
2021-07-13,10.46,10.46,10.28,10.31,118400,,
2021-07-14,10.40,10.40,10.04,10.13,339900,,
2021-07-15,10.16,10.35,10.10,10.11,276600,,
2021-07-16,10.11,10.25,10.09,10.12,214800,,
2021-07-19,10.20,10.20,9.94,9.95,701800,,
2021-07-20,9.99,10.04,9.93,9.95,728400,,
2021-07-21,9.95,9.97,9.90,9.92,626900,,
2021-07-22,9.93,9.97,9.90,9.96,709500,,
