date,open,high,low,close,volume,div,split
2016-08-04,4.54,4.67,4.48,4.55,486300,,
2016-08-05,4.95,5.54,4.95,5.38,2662300,,
2016-08-08,5.35,5.79,5.35,5.65,1607600,,
2016-08-09,5.60,5.65,5.36,5.59,782700,,
2016-08-10,5.62,5.68,5.52,5.67,724500,,
2016-08-11,5.68,5.95,5.61,5.89,829200,,
2016-08-12,5.92,6.18,5.84,6.14,1302000,,
2016-08-15,6.34,6.80,6.31,6.78,1831300,,
2016-08-16,6.80,6.85,6.42,6.56,1130900,,
2016-08-17,6.58,6.68,6.45,6.67,488900,,
2016-08-18,6.69,6.73,6.60,6.68,498300,,
2016-08-19,6.66,6.87,6.61,6.87,766800,,
2016-08-22,6.84,7.22,6.82,7.10,1148600,,
2016-08-23,7.08,7.19,7.05,7.16,842400,,
2016-08-24,7.21,7.50,7.20,7.39,874500,,
2016-08-25,7.40,7.58,7.39,7.55,1451000,,
2016-08-26,7.53,7.54,7.34,7.44,1065500,,
2016-08-29,7.05,7.25,6.36,6.99,1895900,,
2016-08-30,7.02,7.29,6.99,7.24,787500,,
2016-08-31,7.12,7.21,6.96,6.98,633100,,
2016-09-01,6.98,7.06,6.84,6.97,529300,,
2016-09-02,7.00,7.07,6.91,7.04,493400,,
2016-09-06,7.00,7.04,6.91,6.94,462900,,
2016-09-07,6.90,6.98,6.84,6.86,375600,,
2016-09-08,6.81,6.97,6.81,6.91,320400,,
2016-09-09,6.85,6.86,6.51,6.53,447600,,
2016-09-12,6.54,6.68,6.47,6.61,409600,,
2016-09-13,6.90,6.95,6.58,6.70,640500,,
2016-09-14,6.71,6.78,6.58,6.60,351500,,
2016-09-15,6.57,6.67,6.52,6.63,240700,,
2016-09-16,6.59,6.73,6.50,6.51,355600,,
2016-09-19,6.52,6.62,6.50,6.55,318100,,
2016-09-20,6.62,6.63,6.42,6.48,229600,,
2016-09-21,6.48,6.67,6.42,6.65,348500,,
2016-09-22,6.72,6.85,6.69,6.84,326100,,
2016-09-23,6.80,6.93,6.71,6.77,190900,,
2016-09-26,6.68,6.72,6.48,6.49,510600,,
2016-09-27,6.51,6.71,6.49,6.65,350000,,
2016-09-28,6.70,6.84,6.60,6.83,258900,,
2016-09-29,6.84,6.95,6.75,6.79,325900,,
2016-09-30,6.75,6.95,6.72,6.89,515000,,
2016-10-03,6.90,6.96,6.73,6.75,232300,,
2016-10-04,6.73,6.83,6.63,6.66,214300,,
2016-10-05,6.67,7.14,6.65,6.91,559600,,
2016-10-06,6.88,6.93,6.62,6.72,313700,,
2016-10-07,6.71,6.71,6.51,6.59,356100,,
2016-10-10,6.67,6.78,6.55,6.64,294500,,
2016-10-11,6.66,6.66,6.36,6.45,411500,,
2016-10-12,6.45,6.46,6.25,6.38,375000,,
2016-10-13,6.35,6.43,6.26,6.32,310700,,
2016-10-14,6.32,6.42,6.28,6.28,211400,,
2016-10-17,6.28,6.63,6.27,6.45,303600,,
2016-10-18,6.50,6.57,6.35,6.38,336900,,
2016-10-19,6.38,6.50,6.34,6.34,175500,,
2016-10-20,6.35,6.44,6.31,6.34,184400,,
2016-10-21,6.25,6.32,6.10,6.20,225500,,
2016-10-24,6.28,6.43,6.09,6.14,202300,,
2016-10-25,6.11,6.19,5.91,5.95,383100,,
2016-10-26,5.99,6.12,5.79,5.87,745600,,
2016-10-27,5.60,5.80,5.23,5.71,723400,,
2016-10-28,5.70,5.76,5.64,5.68,428700,,
2016-10-31,5.63,5.72,5.54,5.62,347600,,
2016-11-01,5.62,5.65,5.51,5.54,365700,,
2016-11-02,5.54,5.62,5.40,5.43,513300,,
2016-11-03,5.90,6.09,5.80,6.00,1036500,,
2016-11-04,5.98,6.00,5.68,5.77,769000,,
2016-11-07,5.79,5.90,5.67,5.72,426400,,
2016-11-08,5.67,5.70,5.56,5.60,307800,,
2016-11-09,5.70,6.28,5.63,6.23,745000,,
2016-11-10,6.42,6.47,6.26,6.41,635800,,
2016-11-11,6.45,6.86,6.45,6.84,649800,,
2016-11-14,7.02,7.39,6.91,7.13,1036200,,
2016-11-15,7.25,7.25,6.98,7.02,497800,,
2016-11-16,7.23,7.23,6.85,6.94,349300,,
2016-11-17,6.90,7.20,6.85,6.85,602600,,
2016-11-18,6.34,6.43,6.21,6.26,4727100,,
2016-11-21,6.58,6.63,6.25,6.55,1533200,,
2016-11-22,6.60,7.02,6.55,7.00,1680600,,
2016-11-23,7.00,7.25,6.99,7.18,2652700,,
2016-11-25,7.18,7.22,7.00,7.04,897900,,
2016-11-28,7.13,7.21,7.05,7.09,1189200,,
2016-11-29,7.19,7.23,7.09,7.16,833400,,
2016-11-30,7.24,7.38,7.04,7.32,1811900,,
2016-12-01,7.58,7.58,7.32,7.46,1679800,,
2016-12-02,7.50,7.95,7.38,7.94,1886100,,
2016-12-05,8.11,8.22,7.66,7.73,1526800,,
2016-12-06,7.85,7.89,7.59,7.69,1022100,,
2016-12-07,7.74,7.74,7.34,7.40,1658900,,
2016-12-08,7.44,7.60,7.37,7.40,962500,,
2016-12-09,7.45,7.54,7.22,7.25,672400,,
2016-12-12,7.29,7.34,7.15,7.22,680500,,
2016-12-13,7.24,7.48,7.21,7.25,903700,,
2016-12-14,7.18,7.34,7.03,7.05,739300,,
2016-12-15,7.02,7.32,7.02,7.18,782100,,
2016-12-16,7.17,7.35,7.07,7.13,2307100,,
2016-12-19,7.23,7.25,7.02,7.17,608400,,
2016-12-20,7.24,7.45,7.21,7.35,499900,,
2016-12-21,7.34,7.41,7.20,7.30,494100,,
2016-12-22,7.36,7.74,7.36,7.58,1114200,,
2016-12-23,7.56,7.58,7.27,7.51,902500,,
2016-12-27,7.83,7.83,7.42,7.62,415300,,
2016-12-28,7.61,7.73,7.44,7.51,477000,,
2016-12-29,7.49,7.59,7.35,7.58,574200,,
2016-12-30,7.58,7.64,7.31,7.40,644200,,
2017-01-03,7.38,7.41,7.18,7.36,750100,,
2017-01-04,7.39,7.52,7.36,7.51,795800,,
2017-01-05,7.49,7.55,7.24,7.31,502800,,
2017-01-06,7.30,7.30,7.09,7.26,537300,,
2017-01-09,7.31,7.34,7.02,7.06,476100,,
2017-01-10,7.05,7.09,6.83,7.04,640400,,
2017-01-11,7.02,7.54,6.91,7.50,977700,,
2017-01-12,7.54,7.67,7.17,7.49,834200,,
2017-01-13,7.54,7.82,7.54,7.80,1198600,,
2017-01-17,7.99,8.08,7.81,7.88,1323300,,
2017-01-18,7.93,8.00,7.81,7.87,441100,,
2017-01-19,7.96,8.04,7.71,7.80,686500,,
2017-01-20,7.80,7.86,7.71,7.83,491500,,
2017-01-23,7.82,7.85,7.64,7.84,542900,,
2017-01-24,7.85,8.04,7.75,8.03,481200,,
2017-01-25,8.15,8.27,8.01,8.27,958600,,
2017-01-26,8.27,8.49,8.23,8.34,862300,,
2017-01-27,8.34,8.44,8.20,8.28,628400,,
2017-01-30,8.30,8.40,7.90,8.15,687000,,
2017-01-31,8.08,8.25,7.93,8.24,630400,,
2017-02-01,8.24,8.27,8.09,8.21,617100,,
2017-02-02,8.26,8.33,8.18,8.25,474500,,
2017-02-03,8.25,8.60,8.21,8.57,811200,,
2017-02-06,8.75,9.00,8.73,8.85,1718500,,
