date,open,high,low,close,volume,div,split
2016-08-04,56.80,57.52,56.67,57.39,26587700,,
2016-08-05,57.65,58.21,57.45,57.96,29335200,,
2016-08-08,58.06,58.09,57.78,58.06,19473500,,
2016-08-09,58.17,58.50,58.02,58.20,16920700,,
2016-08-10,58.16,58.32,57.82,58.02,15756900,,
2016-08-11,58.03,58.45,58.03,58.30,18162300,,
2016-08-12,58.03,58.19,57.62,57.94,21655200,,
2016-08-15,58.01,58.50,57.96,58.12,19283900,,
2016-08-16,57.61,57.62,57.27,57.44,20523500,0.36,
2016-08-17,57.54,57.68,57.23,57.56,18856400,,
2016-08-18,57.42,57.70,57.27,57.60,14214300,,
2016-08-19,57.43,57.73,57.20,57.62,17271000,,
2016-08-22,57.60,57.75,57.26,57.67,15221900,,
2016-08-23,57.90,58.18,57.85,57.89,18732400,,
2016-08-24,57.80,58.04,57.72,57.95,18151500,,
2016-08-25,57.88,58.29,57.78,58.17,18552600,,
2016-08-26,58.28,58.70,57.69,58.03,20971200,,
2016-08-29,58.18,58.60,58.10,58.10,16417200,,
2016-08-30,57.98,58.19,57.61,57.89,16930200,,
2016-08-31,57.65,57.80,57.30,57.46,20860300,,
2016-09-01,57.01,57.82,57.01,57.59,26075400,,
2016-09-02,57.67,58.19,57.42,57.67,18900500,,
2016-09-06,57.78,57.80,57.21,57.61,16278400,,
2016-09-07,57.47,57.84,57.41,57.66,17493400,,
2016-09-08,57.63,57.79,57.18,57.43,20146100,,
2016-09-09,56.79,57.52,56.21,56.21,35113900,,
2016-09-12,56.00,57.21,55.61,57.05,29303000,,
2016-09-13,56.50,56.65,56.05,56.53,30130200,,
2016-09-14,56.39,56.63,56.03,56.26,24062500,,
2016-09-15,56.15,57.35,55.98,57.19,26847000,,
2016-09-16,57.63,57.63,56.75,57.25,44607000,,
2016-09-19,57.27,57.75,56.85,56.93,20937100,,
2016-09-20,57.35,57.35,56.75,56.81,17384000,,
2016-09-21,57.51,57.85,57.08,57.76,33707300,,
2016-09-22,57.92,58.00,57.63,57.82,19822200,,
2016-09-23,57.87,57.91,57.38,57.43,19955300,,
2016-09-26,57.08,57.14,56.83,56.90,21688700,,
2016-09-27,56.93,58.06,56.68,57.95,28065100,,
2016-09-28,57.88,58.06,57.67,58.03,20536400,,
2016-09-29,57.81,58.17,57.21,57.40,25463500,,
2016-09-30,57.57,57.77,57.34,57.60,29910800,,
2016-10-03,57.41,57.55,57.06,57.42,19189500,,
2016-10-04,57.27,57.60,56.97,57.24,20085900,,
2016-10-05,57.29,57.96,57.26,57.64,16726400,,
2016-10-06,57.74,57.86,57.28,57.74,16212600,,
2016-10-07,57.85,57.98,57.42,57.80,20089000,,
2016-10-10,57.91,58.39,57.87,58.04,18196500,,
2016-10-11,57.89,58.02,56.89,57.19,26497400,,
2016-10-12,57.11,57.27,56.40,57.11,22177500,,
2016-10-13,56.70,57.30,56.32,56.92,25313700,,
2016-10-14,57.12,57.74,57.12,57.42,27402500,,
2016-10-17,57.36,57.46,56.87,57.22,23830000,,
2016-10-18,57.53,57.95,57.41,57.66,19149500,,
2016-10-19,57.47,57.84,57.40,57.53,22878400,,
2016-10-20,57.50,57.52,56.66,57.25,49455600,,
2016-10-21,60.28,60.45,59.49,59.66,80032200,,
2016-10-24,59.94,61.00,59.93,61.00,54067000,,
2016-10-25,60.85,61.37,60.80,60.99,35137200,,
2016-10-26,60.81,61.20,60.47,60.63,29911600,,
2016-10-27,60.61,60.83,60.09,60.10,28479900,,
2016-10-28,60.01,60.52,59.58,59.87,33574700,,
2016-10-31,60.16,60.42,59.92,59.92,26434700,,
2016-11-01,59.97,60.02,59.25,59.80,24533000,,
2016-11-02,59.82,59.93,59.30,59.43,22147000,,
2016-11-03,59.53,59.64,59.11,59.21,21600400,,
2016-11-04,58.65,59.28,58.52,58.71,28697000,,
2016-11-07,59.78,60.52,59.78,60.42,31664800,,
2016-11-08,60.55,60.78,60.15,60.47,22935400,,
2016-11-09,60.00,60.59,59.20,60.17,49632500,,
2016-11-10,60.48,60.49,57.63,58.70,57822400,,
2016-11-11,58.23,59.12,58.01,59.02,38767800,,
2016-11-14,59.02,59.08,57.28,58.12,41328400,,
2016-11-15,58.33,59.49,58.32,58.87,35904100,0.39,
2016-11-16,58.94,59.66,58.81,59.65,27332500,,
2016-11-17,60.41,60.95,59.97,60.64,32132700,,
2016-11-18,60.78,61.14,60.30,60.35,27686300,,
2016-11-21,60.50,60.97,60.42,60.86,19652600,,
2016-11-22,60.98,61.26,60.81,61.12,23206700,,
2016-11-23,61.01,61.10,60.25,60.40,21848900,,
2016-11-25,60.30,60.53,60.13,60.53,8409600,,
2016-11-28,60.34,61.02,60.21,60.61,20732600,,
2016-11-29,60.65,61.41,60.52,61.09,22366700,,
2016-11-30,60.86,61.18,60.22,60.26,34655400,,
2016-12-01,60.11,60.15,58.94,59.20,34542100,,
2016-12-02,59.08,59.47,58.80,59.25,25515700,,
2016-12-05,59.70,60.59,59.56,60.22,23552700,,
2016-12-06,60.43,60.46,59.80,59.95,19907000,,
2016-12-07,60.01,61.38,59.80,61.37,30809000,,
2016-12-08,61.30,61.58,60.84,61.01,21220800,,
2016-12-09,61.18,61.99,61.13,61.97,27349400,,
2016-12-12,61.82,62.30,61.72,62.17,20198100,,
2016-12-13,62.50,63.42,62.24,62.98,35718900,,
2016-12-14,63.00,63.45,62.53,62.68,30352700,,
2016-12-15,62.70,63.15,62.30,62.58,27669900,,
2016-12-16,62.95,62.95,62.12,62.30,42453100,,
2016-12-19,62.56,63.77,62.42,63.62,34338200,,
2016-12-20,63.69,63.80,63.03,63.54,26028400,,
2016-12-21,63.43,63.70,63.12,63.54,17096300,,
2016-12-22,63.84,64.10,63.41,63.55,22176600,,
2016-12-23,63.45,63.54,62.80,63.24,12403800,,
2016-12-27,63.21,64.07,63.21,63.28,11763200,,
2016-12-28,63.40,63.40,62.83,62.99,14653300,,
2016-12-29,62.86,63.20,62.73,62.90,10250600,,
2016-12-30,62.96,62.99,62.03,62.14,25579900,,
2017-01-03,62.79,62.84,62.13,62.58,20694100,,
2017-01-04,62.48,62.75,62.12,62.30,21340000,,
2017-01-05,62.19,62.66,62.03,62.30,24876000,,
2017-01-06,62.30,63.15,62.04,62.84,19922900,,
2017-01-09,62.76,63.08,62.54,62.64,20382700,,
2017-01-10,62.73,63.07,62.28,62.62,18593000,,
2017-01-11,62.61,63.23,62.43,63.19,21517300,,
2017-01-12,63.06,63.40,61.95,62.61,20968200,,
2017-01-13,62.62,62.87,62.35,62.70,19422300,,
2017-01-17,62.68,62.70,62.03,62.53,20664000,,
2017-01-18,62.67,62.70,62.12,62.50,19670100,,
2017-01-19,62.24,62.98,62.20,62.30,18451700,,
2017-01-20,62.67,62.82,62.37,62.74,30213500,,
2017-01-23,62.70,63.12,62.57,62.96,23097600,,
2017-01-24,63.20,63.74,62.94,63.52,24672900,,
2017-01-25,63.95,64.10,63.45,63.68,23672700,,
2017-01-26,64.12,64.54,63.55,64.27,43554600,,
2017-01-27,65.39,65.91,64.89,65.78,44818000,,
2017-01-30,65.69,65.79,64.80,65.13,31651400,,
2017-01-31,64.86,65.15,64.26,64.65,25270500,,
2017-02-01,64.36,64.62,63.47,63.58,39671500,,
2017-02-02,63.25,63.41,62.75,63.17,45827000,,
2017-02-03,63.50,63.70,63.07,63.68,30301800,,
2017-02-06,63.50,63.65,63.14,63.64,19796400,,
2017-02-07,63.74,63.78,63.23,63.43,20277200,,
2017-02-08,63.57,63.81,63.22,63.34,18096400,,
2017-02-09,63.52,64.44,63.32,64.06,22644400,,
2017-02-10,64.25,64.30,63.98,64.00,18170700,,
2017-02-13,64.24,64.86,64.13,64.72,22920100,,
2017-02-14,64.41,64.72,64.02,64.57,23108400,0.39,
2017-02-15,64.50,64.57,64.16,64.53,17005200,,
2017-02-16,64.74,65.24,64.44,64.52,20546300,,
2017-02-17,64.47,64.69,64.30,64.62,21248800,,
2017-02-21,64.61,64.95,64.45,64.49,20655900,,
2017-02-22,64.33,64.39,64.05,64.36,19292700,,
2017-02-23,64.42,64.73,64.19,64.62,20273100,,
2017-02-24,64.53,64.80,64.14,64.62,21796800,,
2017-02-27,64.54,64.54,64.05,64.23,15871500,,
2017-02-28,64.08,64.20,63.76,63.98,23239800,,
2017-03-01,64.13,64.99,64.02,64.94,26937500,,
2017-03-02,64.69,64.75,63.88,64.01,24539600,,
2017-03-03,63.99,64.28,63.62,64.25,18135900,,
2017-03-06,63.97,64.56,63.81,64.27,18750300,,
2017-03-07,64.19,64.78,64.19,64.40,18521000,,
2017-03-08,64.26,65.08,64.25,64.99,21510900,,
2017-03-09,65.19,65.20,64.48,64.73,19846800,,
2017-03-10,65.11,65.26,64.75,64.93,19538200,,
2017-03-13,65.01,65.19,64.57,64.71,20100000,,
2017-03-14,64.53,64.55,64.15,64.41,14280200,,
2017-03-15,64.55,64.92,64.25,64.75,24833800,,
2017-03-16,64.75,64.76,64.30,64.64,20674300,,
2017-03-17,64.91,65.24,64.68,64.87,49219700,,
2017-03-20,64.91,65.18,64.72,64.93,14598100,,
2017-03-21,65.19,65.50,64.13,64.21,26640500,,
