date,open,high,low,close,volume,div,split
2016-08-05,14.22,14.78,14.20,14.52,29098400,,
2016-08-08,14.53,14.72,14.38,14.42,16163500,,
2016-08-09,14.56,14.70,14.40,14.48,12573700,,
2016-08-10,14.48,14.50,14.03,14.20,15003200,,
2016-08-11,14.25,14.49,14.21,14.43,14451300,,
2016-08-12,14.46,14.99,14.43,14.93,24909900,,
2016-08-15,15.09,15.70,15.08,15.53,29105200,,
2016-08-16,15.58,15.59,15.23,15.49,21872700,,
2016-08-17,15.53,15.76,15.46,15.52,22552100,,
2016-08-18,15.55,15.80,15.51,15.77,16590700,,
2016-08-19,16.16,16.45,16.03,16.25,35059400,,
2016-08-22,16.15,16.43,15.91,16.19,22145800,,
2016-08-23,16.27,16.54,16.14,16.18,23741400,,
2016-08-24,16.20,16.24,15.38,15.51,26686900,,
2016-08-25,15.90,16.55,15.88,16.20,34837800,,
2016-08-26,16.34,16.81,16.29,16.51,24243700,,
2016-08-29,16.92,17.25,16.61,16.91,34467800,,
2016-08-30,17.00,17.01,16.51,16.74,23620900,,
2016-08-31,16.70,16.74,16.14,16.49,21963700,,
2016-09-01,16.61,16.80,16.30,16.64,15719500,,
2016-09-02,16.96,16.97,16.57,16.70,16099500,,
2016-09-06,16.80,17.08,16.75,17.01,22998600,,
2016-09-07,17.21,17.35,17.02,17.16,23023500,,
2016-09-08,17.18,17.86,16.88,17.45,39212100,,
2016-09-09,17.33,17.74,16.69,16.81,31389600,,
2016-09-12,16.61,17.20,16.37,17.15,28239200,,
2016-09-13,16.92,17.15,16.46,16.75,24345800,,
2016-09-14,16.88,17.08,16.65,16.93,18591300,,
2016-09-15,16.90,17.46,16.85,17.45,24303700,,
2016-09-16,18.08,18.08,17.34,17.48,37447400,,
2016-09-19,17.63,17.77,16.85,16.95,23999900,,
2016-09-20,17.05,17.27,16.72,16.92,17775800,,
2016-09-21,17.25,17.70,17.23,17.66,31384900,,
2016-09-22,17.89,18.05,17.41,17.59,25278000,,
2016-09-23,17.45,17.74,17.43,17.48,17947600,,
2016-09-26,17.35,17.60,17.18,17.36,19567200,,
2016-09-27,17.53,18.08,17.35,18.00,28621000,,
2016-09-28,18.16,18.16,17.15,17.44,42715600,,
2016-09-29,17.45,17.77,17.35,17.54,31870200,,
2016-09-30,17.75,18.00,17.58,17.78,21363100,,
2016-10-03,17.99,18.02,17.60,17.73,26856100,,
2016-10-04,17.98,18.04,17.66,17.80,54502800,,
2016-10-05,17.55,18.33,17.28,17.70,67739500,,
2016-10-06,17.64,17.89,17.54,17.73,21606800,,
2016-10-07,17.72,17.80,17.30,17.61,23849000,,
2016-10-10,17.72,17.84,17.49,17.50,18857600,,
2016-10-11,17.40,17.47,16.53,16.86,38070200,,
2016-10-12,16.88,17.04,16.67,16.78,17901800,,
2016-10-13,16.56,17.00,16.17,16.85,28593700,,
2016-10-14,17.03,17.41,16.99,17.13,23539800,,
2016-10-17,17.02,17.17,16.93,16.99,12657800,,
2016-10-18,17.21,17.66,17.20,17.41,20185700,,
2016-10-19,17.00,17.25,16.85,17.22,18629500,,
2016-10-20,17.05,17.50,17.05,17.20,17129700,,
2016-10-21,17.00,17.07,16.80,16.94,18710300,,
2016-10-24,17.07,17.16,16.97,17.06,13838700,,
2016-10-25,17.10,17.61,17.10,17.54,27444000,,
2016-10-26,17.30,17.93,17.20,17.64,23610500,,
2016-10-27,17.82,17.90,17.40,17.53,21198300,,
2016-10-28,17.60,17.67,17.10,17.20,20832400,,
2016-10-31,17.54,17.76,17.16,17.16,23267600,,
2016-11-01,17.20,17.41,16.58,16.98,27146100,,
2016-11-02,16.95,17.02,16.50,16.68,24949700,,
2016-11-03,16.66,16.81,16.56,16.62,17255100,,
2016-11-04,16.46,17.02,16.45,16.68,18026600,,
2016-11-07,17.02,17.43,17.02,17.38,21673200,,
2016-11-08,17.30,17.55,17.06,17.41,18062700,,
2016-11-09,16.95,17.35,16.75,17.20,33873300,,
2016-11-10,17.35,17.76,16.75,16.99,30282200,,
2016-11-11,17.08,17.68,16.90,17.67,31043300,,
2016-11-14,17.77,17.98,17.53,17.71,26313300,,
2016-11-15,17.66,18.17,17.66,18.10,25153900,,
2016-11-16,17.94,18.33,17.93,18.24,21629000,,
2016-11-17,18.35,19.34,18.25,19.18,45958100,,
2016-11-18,18.90,19.33,18.85,19.21,29121600,,
2016-11-21,19.39,19.67,19.35,19.49,22744000,,
2016-11-22,19.64,19.80,19.45,19.74,22219100,,
