date,open,high,low,close,volume,div,split
2021-12-09,11.25,12.24,10.01,10.33,90160800,,
2021-12-10,11.45,11.85,9.80,11.85,50077300,,
2021-12-13,11.10,11.29,10.31,10.81,19658400,,
2021-12-14,10.55,10.58,9.27,9.92,22728100,,
2021-12-15,9.63,10.29,9.42,10.01,12663900,,
2021-12-16,10.45,10.49,9.56,10.00,13981300,,
2021-12-17,9.93,10.17,9.14,9.80,21560800,,
2021-12-20,9.20,9.35,8.75,8.94,15772500,,
2021-12-21,9.02,9.24,8.84,9.23,8402600,,
2021-12-22,9.12,9.18,8.99,9.12,7095000,,
2021-12-23,9.13,10.00,9.11,9.83,5794500,,
2021-12-27,9.79,9.89,9.46,9.74,2500700,,
2021-12-28,9.68,9.70,9.36,9.40,2217200,,
2021-12-29,9.37,9.46,9.25,9.32,2965800,,
2021-12-30,9.37,9.63,9.37,9.40,2375200,,
2021-12-31,9.37,9.47,9.28,9.38,1619800,,
2022-01-03,9.60,10.00,9.55,9.98,6896100,,
2022-01-04,10.15,10.22,9.48,9.74,8551800,,
2022-01-05,9.68,9.71,8.92,9.04,13773400,,
2022-01-06,9.01,9.53,8.46,9.52,11014200,,
2022-01-07,9.50,9.68,9.14,9.36,4784700,,
2022-01-10,9.02,9.10,8.67,9.00,7856900,,
2022-01-11,8.97,9.45,8.80,9.34,7733400,,
2022-01-12,9.33,9.38,8.73,9.00,13579900,,
2022-01-13,9.00,9.04,8.67,8.67,7173700,,
2022-01-14,8.66,8.70,8.11,8.12,7739400,,
2022-01-18,8.00,8.00,7.42,7.69,9854400,,
2022-01-19,7.69,7.92,7.54,7.83,10589400,,
2022-01-20,7.81,8.55,7.81,7.95,12447600,,
2022-01-21,7.83,7.92,7.32,7.54,7828900,,
2022-01-24,7.14,7.37,6.75,7.26,11496600,,
2022-01-25,7.12,7.42,6.96,7.42,8139500,,
2022-01-26,7.52,7.96,6.95,7.07,9131900,,
2022-01-27,7.19,7.29,6.89,6.89,10494900,,
2022-01-28,6.78,6.88,6.40,6.75,5673600,,
2022-01-31,6.75,7.43,6.70,7.42,7854000,,
2022-02-01,7.49,7.63,7.29,7.56,4995600,,
2022-02-02,7.55,7.60,6.96,6.99,6674300,,
2022-02-03,6.84,6.94,6.68,6.79,4783000,,
2022-02-04,6.67,7.42,6.65,7.36,6177900,,
2022-02-07,7.22,7.90,7.16,7.77,9050100,,
2022-02-08,7.56,8.92,7.55,8.90,17254300,,
2022-02-09,9.07,10.28,8.84,10.20,34903500,,
2022-02-10,9.33,9.94,9.26,9.28,19203900,,
2022-02-11,9.43,9.49,8.46,8.54,13350000,,
2022-02-14,8.57,9.07,8.45,8.68,6393400,,
2022-02-15,9.26,9.29,8.86,9.15,7194500,,
2022-02-16,9.27,9.31,8.72,9.05,9465800,,
2022-02-17,9.31,10.27,9.16,10.09,23494500,,
2022-02-18,10.28,11.83,9.74,9.85,39674900,,
2022-02-22,10.00,10.02,8.68,8.80,26025000,,
2022-02-23,9.65,9.67,7.50,7.52,38506900,,
2022-02-24,7.20,8.22,7.16,7.94,24248700,,
2022-02-25,8.17,8.17,7.50,7.78,15139200,,
2022-02-28,7.64,7.86,7.29,7.65,8593200,,
2022-03-01,7.69,8.18,7.58,7.92,9969600,,
2022-03-02,7.93,8.00,7.49,7.77,7628300,,
2022-03-03,7.90,7.90,7.28,7.37,7701300,,
2022-03-04,7.30,7.55,7.05,7.16,7424000,,
2022-03-07,7.10,7.26,6.80,6.83,11360800,,
2022-03-08,6.87,8.33,6.74,7.58,16964700,,
2022-03-09,7.83,8.23,7.71,7.96,8604000,,
2022-03-10,7.66,7.70,6.97,7.05,17134700,,
2022-03-11,7.20,7.21,6.51,6.54,14452500,,
2022-03-14,6.50,6.56,5.82,5.93,20763300,,
2022-03-15,6.02,6.07,5.55,5.98,17674500,,
2022-03-16,6.38,6.93,6.20,6.88,26501800,,
2022-03-17,6.87,7.47,6.62,7.44,18330500,,
2022-03-18,7.27,8.13,7.23,7.86,15668600,,
2022-03-21,7.96,8.08,7.31,7.56,11214400,,
2022-03-22,7.64,8.25,7.64,8.02,13245500,,
2022-03-23,7.97,8.19,7.69,7.91,8046400,,
2022-03-24,7.94,8.19,7.66,8.15,7835700,,
2022-03-25,8.16,8.47,7.83,7.95,7345300,,
2022-03-28,7.92,8.21,7.82,8.06,5816300,,
2022-03-29,8.17,8.46,8.04,8.36,7155000,,
2022-03-30,8.22,8.41,8.00,8.06,4861100,,
2022-03-31,8.17,8.17,7.72,7.72,4983200,,
2022-04-01,7.84,8.18,7.82,8.06,6677000,,
2022-04-04,8.12,8.34,7.95,8.07,5140600,,
2022-04-05,8.11,8.11,7.67,7.85,5082000,,
2022-04-06,7.59,7.63,7.25,7.51,5875000,,
2022-04-07,7.49,7.69,7.28,7.31,6153100,,
2022-04-08,7.27,7.47,6.98,7.28,7766700,,
2022-04-11,7.20,7.55,7.14,7.40,7476200,,
2022-04-12,7.53,7.69,6.94,7.05,6764400,,
2022-04-13,7.09,7.23,6.96,7.16,4700900,,
2022-04-14,7.19,7.22,6.87,7.03,5704600,,
2022-04-18,6.99,7.05,6.77,6.89,6867200,,
2022-04-19,6.90,7.25,6.79,7.19,6622100,,
2022-04-20,7.15,7.48,7.13,7.16,8933900,,
2022-04-21,7.20,7.38,6.63,6.89,10553700,,
2022-04-22,6.85,7.04,6.68,6.68,12123100,,
2022-04-25,6.65,6.95,6.46,6.92,6812300,,
2022-04-26,6.81,6.81,6.22,6.31,8152300,,
2022-04-27,6.36,6.53,6.28,6.33,6803200,,
2022-04-28,6.33,6.40,5.90,6.16,14417100,,
2022-04-29,6.19,6.34,5.91,6.01,7716600,,
2022-05-02,6.02,6.28,5.90,5.96,15326100,,
2022-05-03,5.96,5.97,5.32,5.47,23116900,,
2022-05-04,5.42,5.78,5.25,5.77,16402700,,
2022-05-05,5.58,5.60,5.25,5.42,15033300,,
2022-05-06,5.37,5.39,5.02,5.23,17488200,,
2022-05-09,5.00,5.05,4.35,4.38,20429600,,
2022-05-10,4.62,4.63,4.26,4.37,14222000,,
2022-05-11,4.25,4.28,3.69,3.69,27928600,,
2022-05-12,3.64,4.29,3.32,4.00,47518500,,
2022-05-13,4.11,4.98,4.10,4.82,25636400,,
2022-05-16,4.80,4.83,4.04,4.35,29930500,,
2022-05-17,4.81,5.01,3.96,4.08,100275200,,
2022-05-18,3.85,4.01,3.67,3.82,120935300,,
2022-05-19,3.64,4.34,3.64,4.33,106065300,,
2022-05-20,4.44,4.47,3.54,3.81,73251600,,
2022-05-23,3.83,3.84,3.44,3.74,44915300,,
2022-05-24,3.58,3.62,3.31,3.33,52033900,,
2022-05-25,3.40,3.59,3.26,3.59,51611400,,
