date,open,high,low,close,volume,div,split
2020-12-04,5.95,6.50,5.70,6.15,1001400,,
2020-12-07,6.53,6.53,5.95,6.07,126300,,
2020-12-08,6.18,6.18,5.95,6.00,80800,,
2020-12-09,6.00,6.09,5.86,6.00,74300,,
2020-12-10,6.01,6.06,5.90,6.00,82400,,
2020-12-11,6.07,6.12,5.97,5.99,141900,,
2020-12-14,6.09,6.15,5.90,6.00,258700,,
2020-12-15,6.00,6.24,5.92,6.00,361900,,
2020-12-16,5.99,6.25,5.95,6.20,287300,,
2020-12-17,6.26,8.64,6.05,7.25,701800,,
2020-12-18,7.50,7.69,6.26,6.79,318000,,
2020-12-21,6.47,7.00,6.03,6.45,149900,,
2020-12-22,6.46,8.00,6.45,6.92,172200,,
2020-12-23,7.47,9.75,6.85,7.55,1975300,,
2020-12-24,7.34,7.87,7.15,7.65,113300,,
2020-12-28,7.89,8.75,7.25,8.59,396100,,
2020-12-29,8.57,9.49,7.99,8.05,810200,,
2020-12-30,8.12,10.74,8.00,9.50,481700,,
2020-12-31,9.54,9.99,9.03,9.33,185400,,
2021-01-04,9.49,9.85,8.54,8.81,224000,,
2021-01-05,8.79,9.66,8.63,9.29,289300,,
2021-01-06,9.50,9.52,8.66,8.79,252900,,
2021-01-07,8.85,9.85,8.85,8.98,210900,,
2021-01-08,8.85,9.38,8.85,9.25,112500,,
2021-01-11,9.28,9.40,8.93,9.26,169600,,
2021-01-12,9.24,10.00,8.86,9.82,411400,,
2021-01-13,10.00,14.90,9.26,12.28,2881200,,
2021-01-14,13.25,13.42,11.69,12.10,525700,,
2021-01-15,12.49,14.25,12.02,12.68,983300,,
2021-01-19,12.89,14.50,12.12,14.09,574500,,
2021-01-20,14.18,14.25,12.75,13.50,392200,,
2021-01-21,13.23,13.61,12.05,13.13,248700,,
2021-01-22,12.95,13.49,11.89,12.06,422300,,
2021-01-25,12.70,13.25,12.00,12.72,394100,,
2021-01-26,12.54,14.25,12.41,13.02,1067500,,
2021-01-27,12.31,13.42,12.30,12.32,323800,,
2021-01-28,12.36,12.68,11.85,12.13,384000,,
