date,open,high,low,close,volume,div,split
2016-08-04,40.61,40.95,40.61,40.90,9142100,,
2016-08-05,41.07,41.22,40.96,41.13,9615300,,
2016-08-08,41.18,41.40,41.12,41.16,11427800,,
2016-08-09,41.09,41.27,41.05,41.10,9533700,,
2016-08-10,41.13,41.25,40.86,41.09,11077400,,
2016-08-11,41.13,41.41,41.13,41.28,9473700,,
2016-08-12,41.13,41.20,41.00,41.09,6301200,,
2016-08-15,41.00,41.64,41.00,41.39,12774900,,
2016-08-16,41.30,41.45,41.24,41.32,8109100,,
2016-08-17,41.38,41.38,41.07,41.21,9876400,,
2016-08-18,40.95,41.33,40.95,41.14,8544600,,
2016-08-19,41.04,41.34,41.01,41.32,9109900,,
2016-08-22,41.11,41.39,41.11,41.22,9834700,,
2016-08-23,41.37,41.64,41.36,41.50,10631800,,
2016-08-24,41.35,41.47,40.98,41.07,9830300,,
2016-08-25,41.12,41.20,41.00,41.10,7567200,,
2016-08-26,41.11,41.58,41.07,41.26,9228200,,
2016-08-29,41.48,41.53,41.26,41.31,9168500,,
2016-08-30,41.39,41.40,41.15,41.31,6840300,,
2016-08-31,41.27,41.32,41.09,41.22,9694700,,
2016-09-01,40.98,41.26,40.78,41.16,10652500,,
2016-09-02,41.26,41.42,41.03,41.25,9020200,,
2016-09-06,41.37,41.37,41.07,41.25,8308300,,
2016-09-07,41.14,41.31,40.95,41.25,10415300,,
2016-09-08,40.93,41.00,40.60,40.72,16732100,,
2016-09-09,40.33,40.74,40.03,40.03,14477500,,
2016-09-12,39.96,40.75,39.68,40.68,14927200,,
2016-09-13,40.37,40.53,39.97,40.18,13395200,,
2016-09-14,40.02,40.56,40.02,40.25,11626900,,
2016-09-15,40.18,41.03,40.09,40.86,18403700,,
2016-09-16,39.61,39.95,38.71,38.92,50703500,,
2016-09-19,39.13,39.55,39.05,39.23,19801900,,
2016-09-20,39.55,39.60,39.06,39.07,12121300,,
2016-09-21,39.19,39.58,39.19,39.51,10994000,,
2016-09-22,39.68,39.80,39.48,39.51,9679300,,
2016-09-23,39.39,39.42,39.03,39.23,14017300,,
2016-09-26,39.00,39.10,38.76,39.03,9840900,,
