date,open,high,low,close,volume,div,split
2016-08-04,115.30,115.78,115.03,115.67,12835300,,
2016-08-05,116.26,117.04,116.13,116.78,23196600,,
2016-08-08,116.84,116.87,116.28,116.65,12358200,,
2016-08-09,116.74,117.29,116.67,116.92,13276500,,
2016-08-10,116.99,117.02,116.31,116.62,14688400,,
2016-08-11,117.02,117.37,116.78,117.12,12969800,,
2016-08-12,116.92,117.21,116.79,117.20,19379000,,
2016-08-15,117.35,117.97,117.31,117.70,11777800,,
2016-08-16,117.48,117.49,117.03,117.05,14161400,,
2016-08-17,117.08,117.30,116.43,117.26,15980300,,
2016-08-18,117.15,117.46,116.95,117.29,10036300,,
2016-08-19,117.08,117.52,116.76,117.26,18743000,,
2016-08-22,117.09,117.55,116.87,117.35,14500600,,
2016-08-23,117.81,118.01,117.51,117.56,11997900,,
2016-08-24,117.48,117.64,116.41,116.80,17728700,,
2016-08-25,116.50,116.97,116.36,116.61,24266300,,
2016-08-26,116.65,117.54,116.08,116.78,23896000,,
2016-08-29,116.81,117.25,116.79,116.94,11184900,,
2016-08-30,116.75,117.09,116.16,116.56,19843300,,
2016-08-31,116.38,116.56,115.95,116.44,16169800,,
2016-09-01,116.48,116.88,115.91,116.74,20944700,,
2016-09-02,117.32,117.56,116.68,117.12,18088200,,
2016-09-06,117.32,117.85,117.06,117.85,18525200,,
2016-09-07,117.96,118.12,117.47,117.92,17546900,,
2016-09-08,117.57,117.60,116.92,117.23,20125300,,
2016-09-09,116.25,116.51,114.26,114.28,50813300,,
2016-09-12,113.64,116.49,113.63,116.33,39646000,,
2016-09-13,115.75,116.09,114.73,115.29,45863900,,
2016-09-14,115.41,116.47,115.38,115.84,28221800,,
2016-09-15,115.87,117.82,115.86,117.64,38521400,,
2016-09-16,117.22,117.41,116.71,117.29,27596500,0.294,
2016-09-19,117.59,117.95,116.55,116.78,16222900,,
2016-09-20,117.20,117.48,116.80,117.00,18078600,,
2016-09-21,117.50,118.32,116.81,118.15,31546800,,
2016-09-22,118.84,119.22,118.72,119.09,22614400,,
2016-09-23,119.00,119.00,118.16,118.33,22213400,,
2016-09-26,117.66,117.80,117.17,117.34,16403900,,
2016-09-27,117.26,118.56,117.15,118.50,20238400,,
2016-09-28,118.65,118.77,118.09,118.70,14794300,,
2016-09-29,118.50,118.72,117.33,117.84,27207500,,
2016-09-30,118.15,119.07,118.03,118.72,25543200,,
2016-10-03,118.57,118.70,118.09,118.55,19216400,,
2016-10-04,118.90,119.16,117.92,118.37,21239700,,
2016-10-05,118.72,119.17,118.67,118.79,14481300,,
2016-10-06,118.64,118.98,118.15,118.73,11987100,,
2016-10-07,118.84,119.01,117.89,118.47,19984200,,
2016-10-10,119.08,119.48,119.03,119.22,19687300,,
2016-10-11,119.12,119.14,117.00,117.52,27774400,,
2016-10-12,117.63,117.82,117.06,117.42,14267800,,
2016-10-13,116.62,117.32,115.94,117.00,22821000,,
2016-10-14,117.58,118.05,117.07,117.14,21313300,,
2016-10-17,117.04,117.30,116.67,116.82,14182700,,
2016-10-18,118.21,118.41,117.80,117.86,19276700,,
2016-10-19,117.77,118.02,117.64,117.85,13702900,,
2016-10-20,117.73,117.97,117.03,117.71,18132200,,
2016-10-21,117.80,118.22,117.41,118.15,15707800,,
2016-10-24,118.91,119.65,118.89,119.57,19143000,,
2016-10-25,119.64,119.66,119.01,119.19,20341800,,
2016-10-26,118.42,119.03,118.03,118.38,20463700,,
2016-10-27,118.89,118.99,117.67,117.84,19099800,,
2016-10-28,117.50,118.11,116.74,117.10,35369300,,
2016-10-31,117.53,117.53,116.93,116.99,18749400,,
2016-11-01,117.19,117.21,115.10,116.11,23498700,,
2016-11-02,116.03,116.30,114.89,115.18,26960100,,
2016-11-03,114.99,115.37,113.92,114.05,36205200,,
2016-11-04,113.77,114.54,113.45,113.65,26997500,,
2016-11-07,115.49,116.47,115.30,116.35,26591200,,
2016-11-08,116.23,117.64,115.96,117.11,20777900,,
2016-11-09,115.74,117.84,115.60,117.65,70234400,,
2016-11-10,118.22,118.38,114.20,115.75,72825400,,
2016-11-11,115.25,116.05,114.84,115.80,41115200,,
2016-11-14,115.83,115.94,114.03,114.63,35906000,,
2016-11-15,115.50,116.62,115.33,116.22,31796600,,
2016-11-16,115.67,116.99,115.67,116.91,16538100,,
2016-11-17,116.85,117.78,116.61,117.76,20598600,,
2016-11-18,117.90,118.10,117.21,117.32,16428700,,
2016-11-21,117.61,118.65,117.57,118.54,20268500,,
2016-11-22,119.01,119.19,118.61,118.90,18850600,,
2016-11-23,118.51,118.64,117.90,118.42,22926000,,
2016-11-25,118.56,118.85,118.42,118.80,7162800,,
2016-11-28,118.65,119.08,118.41,118.53,13479000,,
2016-11-29,118.64,119.51,118.30,118.94,18553000,,
2016-11-30,119.09,119.13,117.46,117.50,30405300,,
2016-12-01,117.46,117.47,115.29,115.47,39796600,,
2016-12-02,115.54,116.16,115.22,115.70,32876800,,
2016-12-05,116.30,117.06,115.77,116.60,21419700,,
2016-12-06,116.93,117.08,116.39,116.88,27293300,,
2016-12-07,116.64,118.51,116.29,118.36,26622400,,
2016-12-08,118.41,118.87,118.18,118.57,18578400,,
2016-12-09,119.01,119.54,119.00,119.50,21863100,,
2016-12-12,118.97,119.21,118.47,118.96,23259300,,
2016-12-13,119.32,121.11,119.32,120.46,54477900,,
2016-12-14,120.61,121.00,119.86,120.21,28746000,,
2016-12-15,120.37,121.11,120.08,120.40,22762300,,
2016-12-16,120.34,120.58,119.36,119.60,26283900,0.355,
2016-12-19,119.72,120.83,119.55,120.09,21138700,,
2016-12-20,120.47,120.77,120.33,120.55,11461800,,
2016-12-21,120.60,120.68,120.19,120.46,7079300,,
2016-12-22,120.47,120.50,119.65,120.12,16645000,,
2016-12-23,119.92,120.25,119.81,120.20,9007500,,
2016-12-27,120.46,121.52,120.41,120.82,16110600,,
2016-12-28,121.08,121.19,119.80,119.88,17975200,,
