date,open,high,low,close,volume,div,split
2016-08-04,26.39,26.50,26.34,26.46,11000,,
2016-08-05,26.49,26.63,26.49,26.63,9600,,
2016-08-08,26.70,26.70,26.63,26.65,40000,,
2016-08-09,26.78,26.98,26.78,26.93,23600,,
2016-08-10,27.00,27.00,26.77,26.77,14500,,
2016-08-11,26.77,27.01,26.77,27.00,27500,,
2016-08-12,27.13,27.13,26.97,27.01,15000,,
2016-08-15,27.08,27.29,27.08,27.26,10900,,
2016-08-16,27.30,27.30,27.09,27.11,18700,,
2016-08-17,27.12,27.12,26.90,26.99,9600,,
2016-08-18,27.04,27.16,27.00,27.12,13700,,
2016-08-19,27.12,27.26,26.96,27.26,10700,,
2016-08-22,27.08,27.25,27.00,27.18,26000,,
2016-08-23,27.30,27.33,27.18,27.25,33300,,
2016-08-24,27.28,27.28,27.06,27.11,16600,,
2016-08-25,27.17,27.17,27.06,27.13,3800,,
2016-08-26,27.05,27.37,26.95,27.10,27200,,
2016-08-29,27.23,27.27,27.06,27.24,18100,,
2016-08-30,27.24,27.28,27.09,27.25,18900,,
2016-08-31,27.20,27.20,26.81,26.90,18200,,
2016-09-01,26.86,27.09,26.86,27.05,8700,,
2016-09-02,27.21,27.21,27.03,27.16,14200,,
2016-09-06,27.59,27.66,27.54,27.63,25800,,
2016-09-07,27.86,27.86,27.70,27.74,32700,,
2016-09-08,27.93,27.93,27.74,27.84,51400,,
2016-09-09,27.74,27.74,27.22,27.23,24000,,
2016-09-12,27.03,27.41,27.00,27.35,15200,,
2016-09-13,27.34,27.34,26.92,27.00,16000,,
2016-09-14,27.13,27.13,26.91,26.96,5200,,
2016-09-15,26.94,27.22,26.94,27.20,14300,,
2016-09-16,27.06,27.08,26.92,27.01,8200,,
2016-09-19,27.07,27.50,27.07,27.31,15400,,
2016-09-20,27.54,27.54,27.33,27.39,12400,,
2016-09-21,27.46,27.86,27.46,27.85,16800,,
2016-09-22,28.00,28.25,28.00,28.19,50800,,
2016-09-23,28.18,28.18,28.00,28.07,15600,,
2016-09-26,27.91,27.92,27.75,27.81,17700,,
2016-09-27,27.75,28.05,27.66,28.00,18600,,
2016-09-28,28.15,28.39,28.03,28.35,19500,,
2016-09-29,28.52,28.52,28.18,28.25,24400,,
2016-09-30,28.26,28.45,28.12,28.39,18500,,
2016-10-03,28.99,28.99,28.21,28.29,35100,,
2016-10-04,28.40,28.40,28.02,28.15,17300,,
2016-10-05,28.28,28.41,28.21,28.33,11100,,
2016-10-06,28.11,28.32,28.10,28.21,29300,,
2016-10-07,28.17,28.20,28.02,28.16,26600,,
2016-10-10,28.49,28.49,28.18,28.22,33700,,
2016-10-11,28.23,28.23,27.69,27.76,36800,,
2016-10-12,27.89,27.89,27.65,27.72,15300,,
2016-10-13,27.45,27.57,27.20,27.48,48500,,
2016-10-14,27.42,27.63,27.42,27.46,21400,,
2016-10-17,27.50,27.55,27.42,27.47,74500,,
2016-10-18,27.69,27.70,27.54,27.63,21500,,
2016-10-19,27.41,27.74,27.41,27.61,27400,,
2016-10-20,27.75,27.81,27.53,27.69,43400,,
2016-10-21,27.68,27.79,27.53,27.75,29400,,
2016-10-24,27.85,27.98,27.76,27.78,41300,,
2016-10-25,27.79,27.79,27.55,27.60,27600,,
2016-10-26,27.62,27.82,27.60,27.73,32000,,
2016-10-27,27.88,27.88,27.58,27.60,37800,,
2016-10-28,27.86,27.86,27.50,27.54,56100,,
2016-10-31,27.55,27.63,27.49,27.60,16800,,
2016-11-01,27.60,27.70,27.20,27.32,28700,,
2016-11-02,27.17,27.21,26.96,27.05,30400,,
2016-11-03,26.91,27.22,26.91,26.94,12100,,
2016-11-04,26.98,27.10,26.92,26.93,31100,,
2016-11-07,27.35,27.49,27.30,27.45,45300,,
2016-11-08,27.48,27.56,27.26,27.42,35800,,
2016-11-09,27.05,27.64,27.05,27.58,48200,,
2016-11-10,27.80,28.10,27.58,27.81,59900,,
2016-11-11,27.81,28.09,27.71,28.09,38200,,
2016-11-14,28.14,28.18,27.91,28.10,38300,,
2016-11-15,28.19,28.30,28.00,28.25,37000,,
2016-11-16,28.13,28.24,28.04,28.07,37800,,
2016-11-17,28.25,28.30,28.21,28.30,27700,,
2016-11-18,28.42,28.42,28.20,28.30,39700,,
2016-11-21,28.36,28.39,28.21,28.36,38500,,
2016-11-22,28.36,28.43,28.25,28.42,47300,,
2016-11-23,28.43,28.51,28.27,28.51,40500,,
2016-11-25,28.52,28.52,28.41,28.41,31400,,
2016-11-28,28.53,28.55,28.41,28.44,73600,,
2016-11-29,28.33,28.53,28.30,28.42,41600,,
2016-11-30,28.33,28.43,28.28,28.37,29600,,
2016-12-01,28.49,28.49,28.11,28.19,30300,,
2016-12-02,28.05,28.17,28.05,28.15,25200,,
2016-12-05,28.15,28.49,28.15,28.38,55100,,
2016-12-06,28.55,28.65,28.38,28.62,36000,,
2016-12-07,28.73,28.89,28.52,28.88,83900,,
2016-12-08,28.85,29.18,28.85,29.16,35900,,
2016-12-09,29.27,29.27,29.09,29.14,75300,,
2016-12-12,29.17,29.17,28.90,28.95,48100,,
2016-12-13,28.86,29.26,28.86,29.13,84200,,
2016-12-14,28.97,29.19,28.71,28.79,93200,,
2016-12-15,28.94,28.99,28.76,28.93,60700,,
2016-12-16,29.09,29.09,28.63,28.63,57800,,
2016-12-19,28.73,28.85,28.66,28.74,36000,,
2016-12-20,28.79,28.90,28.73,28.74,104100,0.055,
2016-12-21,28.76,28.88,28.65,28.70,114000,,
2016-12-22,28.69,28.74,28.55,28.65,38300,,
2016-12-23,28.76,28.76,28.57,28.63,36600,,
2016-12-27,28.77,28.91,28.71,28.79,35200,,
2016-12-28,28.99,28.99,28.61,28.63,17600,,
2016-12-29,28.63,28.75,28.56,28.65,63500,,
2016-12-30,28.65,28.84,28.65,28.65,31800,,
2017-01-03,28.94,28.99,28.72,28.99,140500,,
2017-01-04,29.06,29.31,29.06,29.28,222800,,
2017-01-05,29.37,29.46,29.23,29.26,52900,,
2017-01-06,29.35,29.42,29.27,29.35,49300,,
2017-01-09,29.34,29.47,29.34,29.43,67600,,
2017-01-10,29.32,29.44,29.32,29.36,55700,,
2017-01-11,29.55,29.55,29.37,29.55,135000,,
2017-01-12,29.75,29.75,29.34,29.53,120000,,
2017-01-13,29.63,29.75,29.50,29.71,176800,,
2017-01-17,29.83,29.83,29.37,29.42,161300,,
2017-01-18,29.50,29.56,29.40,29.52,138400,,
2017-01-19,29.65,29.75,29.50,29.59,127600,,
2017-01-20,29.86,29.88,29.73,29.88,164600,,
2017-01-23,29.91,29.91,29.59,29.73,95400,,
2017-01-24,29.91,30.14,29.78,30.09,130400,,
2017-01-25,30.45,30.73,30.40,30.73,193800,,
2017-01-26,30.80,30.80,30.50,30.53,259300,,
2017-01-27,30.61,30.61,30.36,30.50,66100,,
2017-01-30,30.56,30.56,30.11,30.33,70400,,
2017-01-31,30.37,30.50,30.19,30.48,93400,,
2017-02-01,30.75,30.80,30.52,30.79,122900,,
2017-02-02,30.78,30.78,30.60,30.74,112600,,
2017-02-03,30.91,30.97,30.80,30.97,144100,,
2017-02-06,30.88,30.88,30.68,30.76,190600,,
2017-02-07,30.88,30.88,30.66,30.72,274500,,
2017-02-08,30.81,30.83,30.62,30.80,114000,,
2017-02-09,30.85,30.97,30.75,30.95,151000,,
2017-02-10,31.03,31.11,31.00,31.09,151100,,
2017-02-13,31.33,31.33,31.19,31.27,174800,,
2017-02-14,31.35,31.42,31.20,31.41,647200,,
2017-02-15,31.35,31.50,31.32,31.50,128400,,
2017-02-16,31.77,31.77,31.35,31.46,171000,,
2017-02-17,31.49,31.61,31.41,31.60,122400,,
2017-02-21,31.83,31.89,31.72,31.89,379300,,
2017-02-22,31.88,31.89,31.79,31.84,232700,,
2017-02-23,32.03,32.03,31.61,31.75,192200,,
2017-02-24,31.56,31.56,31.35,31.54,218600,,
2017-02-27,31.62,31.66,31.44,31.60,140300,,
2017-02-28,31.72,31.72,31.33,31.37,158000,,
2017-03-01,31.71,31.97,31.69,31.95,189400,,
2017-03-02,31.90,31.91,31.60,31.67,96100,,
2017-03-03,31.66,31.73,31.54,31.70,155300,,
2017-03-06,31.72,31.72,31.45,31.54,643000,,
2017-03-07,31.57,31.58,31.45,31.48,328300,,
2017-03-08,31.61,31.68,31.50,31.54,348000,,
2017-03-09,31.50,31.55,31.32,31.42,201100,,
2017-03-10,31.83,31.85,31.51,31.70,228700,,
2017-03-13,31.77,31.86,31.69,31.86,268300,,
2017-03-14,31.78,31.78,31.51,31.61,574500,,
2017-03-15,31.65,32.04,31.58,32.01,249600,,
2017-03-16,32.14,32.18,31.98,32.03,321200,,
2017-03-17,32.18,32.25,32.07,32.23,213300,,
2017-03-20,32.23,32.49,32.16,32.23,357800,,
2017-03-21,32.41,32.45,31.72,31.77,351900,,
2017-03-22,31.71,31.79,31.56,31.73,338400,,
2017-03-23,31.73,31.94,31.70,31.86,158900,,
2017-03-24,31.89,32.08,31.83,31.90,227600,,
2017-03-27,31.73,31.94,31.55,31.93,113500,,
2017-03-28,31.98,32.19,31.87,32.13,248800,,
2017-03-29,32.15,32.19,32.01,32.18,312900,,
2017-03-30,32.15,32.29,32.06,32.27,164200,,
2017-03-31,32.14,32.24,32.05,32.20,171000,,
2017-04-03,32.28,32.29,31.96,32.10,156900,,
2017-04-04,31.91,32.09,31.86,31.91,143100,,
2017-04-05,32.03,32.17,31.76,31.76,228600,,
2017-04-06,31.80,31.92,31.69,31.90,226800,,
2017-04-07,31.94,31.98,31.85,31.91,118500,,
2017-04-10,31.96,32.05,31.81,31.92,202300,,
2017-04-11,31.73,31.87,31.60,31.86,135300,,
2017-04-12,31.82,31.83,31.52,31.57,113300,,
2017-04-13,31.51,31.53,31.22,31.25,228100,,
2017-04-17,31.36,31.51,31.30,31.46,95800,,
2017-04-18,31.42,31.55,31.31,31.51,101500,,
2017-04-19,31.69,31.82,31.61,31.70,130000,,
2017-04-20,31.89,32.09,31.88,32.06,230000,,
