date,open,high,low,close,volume,div,split
2025-02-13,35.06,44.00,34.99,36.00,369100,,
2025-02-14,37.00,38.25,35.51,36.65,242700,,
2025-02-18,40.53,47.15,39.00,47.15,444500,,
2025-02-19,46.51,48.50,45.50,46.00,220700,,
2025-02-20,48.98,49.49,46.71,48.26,446200,,
2025-02-21,48.99,50.69,48.00,50.37,1252100,,
2025-02-24,52.00,53.00,46.21,48.60,33848500,,
2025-02-25,48.30,55.01,47.81,48.16,8198900,,
2025-02-26,46.15,49.91,45.30,46.58,8389000,,
2025-02-27,46.04,47.87,41.58,45.16,9676100,,
2025-02-28,45.23,48.70,43.75,46.85,7713800,,
2025-03-03,48.49,50.88,47.60,50.31,4813000,,
2025-03-04,46.69,50.10,45.10,48.69,6074700,,
2025-03-05,47.60,49.40,46.50,48.47,5071800,,
2025-03-06,47.41,49.06,45.24,46.50,4157300,,
2025-03-07,49.20,51.13,47.16,51.00,7825500,,
2025-03-10,50.49,53.67,49.55,53.00,5223800,,
2025-03-11,51.84,53.19,49.82,52.16,3153400,,
2025-03-12,53.00,53.10,50.38,50.44,2177500,,
2025-03-13,50.00,50.87,47.86,48.44,3547400,,
2025-03-14,49.43,54.94,49.43,54.82,4847600,,
2025-03-17,54.80,58.36,54.74,55.65,2930700,,
2025-03-18,55.14,57.89,54.57,56.42,2587300,,
2025-03-19,56.30,57.60,55.67,56.33,2520700,,
2025-03-20,56.51,57.17,54.92,56.21,2701900,,
2025-03-21,55.10,55.45,51.91,53.96,6372200,,
2025-03-24,54.61,55.69,51.84,52.99,3562800,,
2025-03-25,52.13,53.18,51.76,52.20,3079000,,
2025-03-26,53.53,53.70,51.98,52.62,1242400,,
2025-03-27,51.95,54.24,51.71,52.88,1618100,,
2025-03-28,52.21,52.89,48.45,48.97,3987300,,
2025-03-31,47.41,48.40,47.02,47.61,2113400,,
2025-04-01,47.55,49.36,46.58,48.11,2115600,,
2025-04-02,46.92,48.71,46.51,47.67,1725300,,
2025-04-03,44.80,44.80,37.55,38.26,7372000,,
2025-04-04,35.72,35.87,28.36,30.11,11428600,,
2025-04-07,29.22,32.98,27.89,31.48,6238600,,
2025-04-08,33.00,35.84,31.66,32.35,5979600,,
2025-04-09,31.92,39.65,31.26,36.58,5601600,,
2025-04-10,34.60,35.03,30.51,31.07,4153400,,
2025-04-11,30.56,32.05,28.27,31.97,4856000,,
2025-04-14,33.75,36.17,32.48,33.55,4102300,,
2025-04-15,33.30,34.56,32.89,33.23,1936800,,
2025-04-16,32.30,33.12,30.75,32.03,2321000,,
2025-04-17,31.75,32.66,30.39,31.29,2057200,,
2025-04-21,31.07,31.07,28.94,29.81,2579400,,
2025-04-22,30.26,31.12,29.32,29.62,2883700,,
2025-04-23,31.98,32.78,30.20,30.36,2750200,,
