date,open,high,low,close,volume,div,split
2021-06-11,25.20,25.27,25.17,25.27,8500,,
2021-06-14,25.64,25.64,25.22,25.63,36200,,
2021-06-15,25.64,25.74,25.37,25.44,31800,,
2021-06-16,25.56,25.56,25.05,25.24,34900,,
2021-06-17,25.24,25.64,25.15,25.48,70800,,
2021-06-18,25.29,25.29,24.75,24.85,83700,,
2021-06-21,24.93,25.04,24.70,25.03,67100,,
2021-06-22,25.15,25.18,24.89,25.10,39500,,
2021-06-23,25.15,25.34,25.15,25.19,38400,,
2021-06-24,25.48,25.70,25.48,25.67,63100,,
2021-06-25,25.76,25.79,25.53,25.53,65800,,
2021-06-28,25.79,26.27,25.76,26.22,80400,,
2021-06-29,26.23,26.41,26.07,26.37,49500,,
2021-06-30,26.43,26.43,26.23,26.42,43000,,
2021-07-01,26.41,26.41,25.95,26.00,64000,,
2021-07-02,26.26,26.26,25.95,26.13,37100,,
2021-07-06,26.30,26.33,25.79,26.11,51100,,
2021-07-07,26.21,26.21,25.63,25.74,52700,,
2021-07-08,25.30,25.53,25.09,25.40,53400,,
2021-07-09,25.76,25.88,25.33,25.84,28600,,
2021-07-12,26.00,26.14,25.88,26.12,38900,,
2021-07-13,26.12,26.16,25.95,25.98,42700,,
2021-07-14,26.28,26.46,25.88,25.88,54200,,
2021-07-15,25.91,25.91,25.22,25.41,70200,,
2021-07-16,25.45,25.59,24.80,24.84,50100,,
2021-07-19,24.50,25.07,24.38,25.07,138400,,
2021-07-20,24.99,25.30,24.69,25.15,61100,,
2021-07-21,25.24,25.93,24.70,24.70,175900,,
2021-07-22,25.72,25.85,25.45,25.45,75300,,
2021-07-23,25.87,25.87,25.60,25.87,104500,,
2021-07-26,25.78,25.90,25.70,25.82,39800,,
2021-07-27,25.71,25.71,24.86,25.40,258100,,
2021-07-28,25.40,25.88,25.40,25.79,32500,,
2021-07-29,25.88,26.34,25.88,26.27,60300,,
2021-07-30,26.12,26.50,26.12,26.45,26300,,
2021-08-02,26.65,26.97,26.62,26.63,49100,,
2021-08-03,26.74,26.79,26.40,26.77,40400,,
2021-08-04,26.98,27.22,26.89,27.09,26600,,
2021-08-05,27.25,27.25,26.91,27.06,39000,,
2021-08-06,26.94,27.05,26.87,26.96,121400,,
2021-08-09,26.95,26.99,26.74,26.86,35900,,
2021-08-10,26.88,26.88,26.36,26.54,21300,,
2021-08-11,26.69,26.69,26.14,26.43,39800,,
2021-08-12,26.52,26.52,25.96,26.17,36400,,
2021-08-13,26.18,26.34,26.14,26.31,23500,,
2021-08-16,26.22,26.30,26.04,26.22,20600,,
2021-08-17,26.08,26.08,25.50,25.74,33900,,
2021-08-18,25.70,25.79,25.33,25.36,27000,,
