date,open,high,low,close,volume,div,split
2016-08-04,34.29,34.54,34.23,34.52,1218600,,
2016-08-05,34.73,35.00,34.68,34.96,1239000,,
2016-08-08,35.08,35.17,34.86,34.92,695700,,
2016-08-09,35.12,35.32,35.06,35.21,1128000,,
2016-08-10,35.24,35.28,34.82,34.97,2446800,,
2016-08-11,35.12,35.15,34.92,35.10,1129500,,
2016-08-12,35.17,35.34,35.13,35.26,575100,,
2016-08-15,35.34,35.83,35.34,35.74,683100,,
2016-08-16,35.69,35.69,35.45,35.49,1883100,,
2016-08-17,35.51,35.51,35.30,35.49,1782300,,
2016-08-18,35.50,35.75,35.47,35.74,693000,,
2016-08-19,35.78,36.14,35.78,36.05,1472400,,
2016-08-22,35.99,36.15,35.91,36.07,770700,,
2016-08-23,36.23,36.40,36.23,36.24,825600,,
2016-08-24,36.29,36.32,35.85,35.94,917700,,
2016-08-25,35.83,36.26,35.83,36.09,940200,,
2016-08-26,36.15,36.52,36.01,36.25,932100,,
2016-08-29,36.40,36.53,36.35,36.39,810900,,
2016-08-30,36.40,36.60,36.19,36.32,3181200,,
2016-08-31,36.31,36.35,36.10,36.30,1447200,,
2016-09-01,36.40,36.61,36.12,36.59,1393800,,
2016-09-02,36.75,36.78,36.38,36.55,1664400,,
2016-09-06,36.61,36.66,36.28,36.47,1085400,,
2016-09-07,36.52,36.53,36.12,36.19,3814200,,
2016-09-08,36.07,36.22,35.91,36.13,1353300,,
2016-09-09,35.84,35.84,34.74,34.84,2546400,,
2016-09-12,34.56,35.53,34.44,35.49,2162700,,
2016-09-13,35.32,35.62,35.00,35.18,1202100,,
2016-09-14,35.09,35.58,35.04,35.49,1094100,,
2016-09-15,35.47,36.38,35.43,36.31,1795500,,
2016-09-16,36.58,36.69,36.04,36.32,1916100,,
2016-09-19,36.55,36.90,36.24,36.36,1180500,,
2016-09-20,36.57,36.60,36.11,36.20,1076100,,
2016-09-21,36.38,36.76,36.22,36.70,1295700,,
2016-09-22,36.94,37.05,36.71,36.82,1056600,,
2016-09-23,36.77,36.78,36.40,36.44,818100,,
2016-09-26,36.03,36.15,35.78,35.93,1149300,0.152333,
2016-09-27,35.85,36.56,35.83,36.55,1034700,,
2016-09-28,36.69,36.81,36.40,36.63,840600,,
2016-09-29,36.64,37.31,36.24,37.08,2580900,,
2016-09-30,37.30,37.91,37.30,37.66,1372500,,
2016-10-03,37.75,37.92,37.34,37.41,3632100,,
2016-10-04,37.57,37.68,37.17,37.31,1019400,,
2016-10-05,37.43,37.85,37.34,37.59,3852600,,
2016-10-06,37.56,37.84,37.33,37.81,2603700,,
2016-10-07,37.87,37.87,37.41,37.75,1383900,,
2016-10-10,37.93,38.07,37.55,37.56,1210500,,
2016-10-11,37.51,37.51,36.45,36.77,1871400,,
2016-10-12,36.75,36.76,36.32,36.65,1567500,,
2016-10-13,36.32,36.32,35.63,36.22,2082000,,
2016-10-14,36.55,36.92,36.46,36.49,1365000,,
2016-10-17,36.45,36.65,36.28,36.30,701100,,
2016-10-18,36.75,36.87,36.65,36.72,891600,,
2016-10-19,36.40,36.61,36.22,36.57,1192200,,
2016-10-20,36.50,36.96,36.28,36.82,2059800,,
2016-10-21,36.53,36.77,36.38,36.73,1095900,,
2016-10-24,36.92,37.43,36.92,37.40,711000,,
2016-10-25,37.42,37.54,37.30,37.37,823500,,
2016-10-26,37.08,37.54,37.05,37.32,1119900,,
2016-10-27,37.68,37.77,37.09,37.14,1385700,,
2016-10-28,37.29,37.52,36.88,36.92,1798500,,
2016-10-31,37.05,37.30,37.05,37.12,913200,,
2016-11-01,37.13,37.42,36.39,36.79,1674000,,
2016-11-02,36.81,37.02,36.43,36.55,2461200,,
2016-11-03,36.56,36.80,36.35,36.48,1512600,,
2016-11-04,36.27,36.57,36.00,36.25,1259100,,
2016-11-07,36.93,37.30,36.78,37.27,4797900,,
2016-11-08,37.26,37.59,37.05,37.35,1226100,,
2016-11-09,36.51,37.29,36.33,37.17,3111000,,
2016-11-10,37.39,37.63,36.03,36.37,6669000,,
2016-11-11,36.78,37.82,36.78,37.76,2595300,,
2016-11-14,37.95,37.95,37.47,37.57,1340100,,
2016-11-15,37.72,38.37,37.63,38.27,1415100,,
2016-11-16,38.20,38.74,38.19,38.71,1212300,,
2016-11-17,38.86,39.32,38.62,39.13,1084500,,
2016-11-18,39.01,39.46,39.01,39.41,1064400,,
2016-11-21,39.53,39.73,39.39,39.67,1140300,,
2016-11-22,39.88,40.13,39.85,40.10,1418700,,
2016-11-23,40.11,40.23,39.90,40.15,1044000,,
2016-11-25,40.22,40.24,40.04,40.22,411900,,
2016-11-28,40.12,40.28,40.03,40.10,661500,,
2016-11-29,40.07,40.26,39.83,40.02,1172700,,
2016-11-30,40.00,40.11,39.78,39.79,591900,,
2016-12-01,39.76,39.76,37.62,37.85,3488400,,
2016-12-02,37.80,38.38,37.67,38.32,2997000,,
