date,open,high,low,close,volume,div,split
2016-08-04,28.22,28.43,28.12,28.40,3165000,,
2016-08-05,28.65,28.85,28.63,28.79,5573000,,
2016-08-08,28.76,29.14,28.71,29.09,8731700,,
2016-08-09,29.18,29.43,29.14,29.40,6660600,,
2016-08-10,29.42,29.45,29.18,29.22,8229100,,
2016-08-11,29.14,29.37,28.80,29.14,9134000,,
2016-08-12,29.17,29.27,29.06,29.24,3481800,,
2016-08-15,29.38,29.45,29.31,29.39,3187000,,
2016-08-16,29.16,29.20,28.98,29.08,5914400,,
2016-08-17,29.00,29.00,28.74,28.98,6996800,,
2016-08-18,28.91,29.20,28.84,29.16,4254200,,
2016-08-19,28.63,28.69,28.51,28.64,6241800,,
2016-08-22,28.30,28.48,28.22,28.40,6415400,,
2016-08-23,28.60,28.69,28.46,28.50,5501800,,
2016-08-24,28.57,28.60,28.34,28.39,5391500,,
2016-08-25,28.63,28.84,28.52,28.60,6388200,,
2016-08-26,28.60,28.90,28.43,28.64,5267500,,
2016-08-29,28.58,28.77,28.56,28.70,3143900,,
2016-08-30,28.59,28.69,28.53,28.62,5001800,,
2016-08-31,28.76,28.98,28.67,28.74,4674700,,
2016-09-01,28.69,29.03,28.63,28.96,6066600,,
2016-09-02,29.10,29.21,29.03,29.14,6050200,,
2016-09-06,29.51,29.72,29.30,29.49,6433000,,
2016-09-07,30.35,30.55,29.78,29.82,14429800,,
2016-09-08,29.90,29.92,29.64,29.79,6361600,,
2016-09-09,29.30,29.33,28.55,28.59,8325600,,
2016-09-12,28.55,29.04,28.20,28.99,5844500,,
2016-09-13,28.71,28.78,28.31,28.49,6857800,,
2016-09-14,28.52,28.76,28.36,28.62,5088700,,
2016-09-15,28.61,29.27,28.61,29.18,6305100,,
2016-09-16,29.13,29.22,28.77,28.91,7329300,,
2016-09-19,29.91,30.12,29.87,29.93,7696400,,
2016-09-20,30.16,30.24,29.89,29.90,5763300,,
2016-09-21,30.09,30.56,30.05,30.50,8097200,,
2016-09-22,30.76,30.95,30.51,30.66,5329000,,
2016-09-23,30.65,30.67,30.02,30.12,7959800,,
2016-09-26,30.02,30.07,29.71,29.84,4363300,,
2016-09-27,29.80,30.43,29.65,30.40,5707200,,
2016-09-28,30.47,30.50,30.13,30.33,4125100,,
2016-09-29,30.31,30.65,30.17,30.40,5985800,,
2016-09-30,30.29,30.68,30.23,30.59,5725700,,
2016-10-03,30.64,30.81,30.57,30.72,4198500,,
2016-10-04,30.82,30.92,30.36,30.39,5104800,,
2016-10-05,30.67,30.71,30.50,30.53,6205000,,
2016-10-06,30.70,30.81,30.38,30.77,4099900,,
2016-10-07,30.88,31.21,30.65,31.18,5753400,,
2016-10-10,31.19,31.48,31.16,31.28,7810500,,
2016-10-11,30.99,30.99,30.51,30.73,10157600,,
2016-10-12,30.90,31.41,30.70,31.35,9587000,,
2016-10-13,30.93,30.93,29.52,30.53,17323000,,
2016-10-14,31.06,31.27,30.57,30.66,9822900,,
2016-10-17,30.52,30.76,30.38,30.57,7598400,,
2016-10-18,30.91,30.98,30.69,30.86,5487500,,
2016-10-19,30.95,31.04,30.66,30.98,6733000,,
2016-10-20,30.93,31.15,30.80,31.06,7329800,,
2016-10-21,30.92,31.14,30.76,31.08,3817100,,
2016-10-24,31.14,31.41,31.08,31.41,3768900,,
2016-10-25,31.40,31.62,31.38,31.55,3214700,,
2016-10-26,31.19,31.43,31.07,31.21,4121500,,
2016-10-27,31.23,31.26,30.75,30.77,6243200,,
2016-10-28,30.94,31.10,30.76,30.77,5210800,,
2016-10-31,30.93,31.13,30.84,31.10,3212300,,
2016-11-01,31.12,31.20,30.48,30.71,5815800,,
2016-11-02,30.67,30.73,30.24,30.39,5274700,,
2016-11-03,30.35,30.50,30.18,30.28,4890800,,
2016-11-04,30.21,30.45,30.02,30.24,4431900,,
2016-11-07,30.72,31.38,30.68,31.35,3981800,,
