date,open,high,low,close,volume,div,split
2016-10-05,16.00,16.50,15.50,15.50,569700,,
2016-10-06,15.50,15.90,15.50,15.75,264900,,
2016-10-07,15.90,15.90,15.70,15.90,110900,,
2016-10-10,15.95,25.24,15.90,16.00,6300,,
2016-10-11,16.10,16.50,16.00,16.35,158400,,
2016-10-12,16.35,17.00,16.00,16.35,160500,,
2016-10-13,16.50,16.50,16.00,16.10,265800,,
2016-10-14,16.05,16.10,16.05,16.10,45500,,
2016-10-17,16.15,16.15,16.10,16.10,20600,,
2016-10-18,16.14,16.14,15.96,16.00,464300,,
2016-10-19,15.75,16.00,15.75,15.99,140400,,
2016-10-20,15.90,16.00,15.75,15.90,653900,,
2016-10-21,15.65,15.80,15.50,15.70,27500,,
2016-10-24,15.75,15.75,15.50,15.68,130300,,
2016-10-25,15.51,15.58,15.25,15.58,6200,,
2016-10-26,15.50,15.50,15.35,15.45,52300,,
2016-10-27,15.35,15.35,15.16,15.20,271100,,
2016-10-28,15.20,15.45,15.00,15.20,2185200,,
2016-10-31,15.25,15.25,15.00,15.20,25900,,
2016-11-01,15.00,15.00,14.90,15.00,11800,,
2016-11-02,14.80,14.80,13.50,13.60,9900,,
2016-11-03,13.75,13.80,13.60,13.60,122300,,
2016-11-04,13.60,14.00,13.60,14.00,603600,,
2016-11-07,14.10,14.25,14.10,14.10,2300,,
2016-11-08,14.00,14.25,13.90,14.20,335100,,
2016-11-09,13.90,14.15,13.90,14.05,106300,,
2016-11-10,14.10,14.23,14.10,14.23,2629000,,
2016-11-11,14.40,14.90,14.40,14.71,13400,,
2016-11-14,14.70,14.95,14.40,14.40,121500,,
2016-11-15,14.40,14.45,14.32,14.32,798600,,
2016-11-16,14.35,14.35,14.10,14.10,65600,,
2016-11-17,14.10,14.10,14.00,14.05,60400,,
2016-11-18,14.10,14.15,13.90,14.10,728700,,
2016-11-21,14.00,14.04,14.00,14.00,28000,,
2016-11-22,14.05,14.05,14.05,14.05,100000,,
2016-11-23,14.00,14.00,14.00,14.00,50000,,
2016-11-25,14.00,14.00,14.00,14.00,0,,
2016-11-28,14.05,14.15,14.05,14.15,500,,
2016-11-29,14.15,14.15,13.75,13.75,124600,,
2016-11-30,13.85,13.95,13.80,13.95,291500,,
2016-12-01,14.01,14.01,13.96,13.96,127300,,
2016-12-02,13.90,13.90,13.65,13.85,18400,,
2016-12-05,14.15,14.50,14.00,14.45,530600,,
2016-12-06,15.30,15.65,15.00,15.60,925600,,
2016-12-07,15.58,15.60,15.45,15.50,523700,,
2016-12-08,15.55,16.00,15.50,15.90,625800,,
2016-12-09,16.00,16.55,15.90,16.40,588400,,
2016-12-12,16.50,16.50,16.25,16.25,982700,,
2016-12-13,16.30,16.30,16.15,16.23,2901100,,
2016-12-14,16.20,16.30,16.00,16.28,2399400,,
2016-12-15,14.00,14.28,14.00,14.19,1151700,2.32,
2016-12-16,14.19,14.20,14.06,14.06,70800,,
2016-12-19,14.10,14.23,13.96,14.23,1242500,,
2016-12-20,14.22,14.40,14.20,14.35,1128700,,
2016-12-21,14.38,14.44,14.30,14.35,607400,,
2016-12-22,14.35,14.45,14.24,14.29,525600,,
2016-12-23,14.25,14.40,14.22,14.38,35100,,
2016-12-27,14.45,15.03,14.45,15.00,149200,,
2016-12-28,15.01,15.25,14.95,15.00,121400,,
2016-12-29,15.00,15.60,15.00,15.50,414800,,
2016-12-30,15.50,15.80,15.46,15.50,72200,,
2017-01-03,15.50,15.50,15.15,15.36,3188000,,
2017-01-04,15.36,16.10,15.36,16.10,869100,,
2017-01-05,16.14,16.40,16.00,16.19,743200,,
2017-01-06,16.19,16.28,16.12,16.20,1096100,,
2017-01-09,16.20,16.30,15.90,15.90,655300,,
2017-01-10,15.91,15.95,15.84,15.85,169400,,
2017-01-11,15.85,16.25,15.58,15.67,660000,,
2017-01-12,15.74,16.00,15.69,16.00,278700,,
2017-01-13,16.04,16.65,16.04,16.45,191300,,
2017-01-17,16.58,16.89,16.40,16.85,903100,,
2017-01-18,16.85,17.10,16.77,17.05,1593400,,
2017-01-19,17.00,17.00,16.73,16.88,925000,,
2017-01-20,16.89,17.02,16.89,16.94,1252300,,
2017-01-23,16.95,17.05,16.77,16.95,1843200,,
2017-01-24,16.95,16.98,16.70,16.80,659400,,
2017-01-25,16.77,16.89,16.50,16.75,510500,,
2017-01-26,16.80,16.95,16.80,16.85,618200,,
2017-01-27,16.90,16.90,16.67,16.73,479500,,
2017-01-30,16.84,16.84,16.30,16.30,87900,,
2017-01-31,16.40,16.50,16.05,16.21,266400,,
2017-02-01,16.40,16.41,16.29,16.35,751100,,
2017-02-02,16.39,16.39,16.23,16.29,49900,,
2017-02-03,16.30,16.70,16.20,16.70,526500,,
2017-02-06,17.15,17.81,17.07,17.15,521100,,
2017-02-07,17.30,17.30,17.09,17.12,787700,,
2017-02-08,17.10,17.40,17.07,17.25,727800,,
2017-02-09,17.25,17.30,17.17,17.25,120100,,
2017-02-10,17.30,17.95,17.00,17.95,1072200,,
2017-02-13,17.85,17.90,17.50,17.75,506200,,
2017-02-14,17.75,17.77,17.67,17.70,543500,,
2017-02-15,17.72,17.75,17.65,17.65,283500,,
2017-02-16,17.70,17.70,17.40,17.40,267100,,
2017-02-17,17.40,17.40,17.15,17.35,180000,,
2017-02-21,17.35,17.35,17.10,17.13,1330900,,
2017-02-22,17.15,17.25,16.60,16.79,626800,,
2017-02-23,16.73,16.74,16.10,16.30,906900,,
2017-02-24,16.29,16.62,16.18,16.62,555100,,
2017-02-27,16.59,16.60,16.05,16.17,1063000,,
2017-02-28,16.24,16.24,16.12,16.16,82700,,
2017-03-01,16.16,16.60,16.16,16.30,151000,,
2017-03-02,16.35,16.56,16.20,16.20,201600,,
2017-03-03,16.18,16.30,16.18,16.26,550900,,
2017-03-06,16.30,16.30,16.00,16.17,1063000,,
2017-03-07,16.17,16.24,16.06,16.10,90800,,
2017-03-08,16.10,16.10,15.80,15.85,481700,,
2017-03-09,15.81,15.81,15.34,15.41,542700,,
2017-03-10,15.35,15.80,15.35,15.69,830900,,
2017-03-13,15.75,16.40,15.75,16.22,300600,,
2017-03-14,16.20,16.22,16.05,16.17,331300,,
2017-03-15,16.21,16.25,16.05,16.14,490300,,
2017-03-16,16.15,16.25,16.15,16.15,248000,,
2017-03-17,16.17,16.20,16.00,16.08,1420300,,
2017-03-20,16.09,16.22,16.08,16.20,167100,,
2017-03-21,16.24,16.24,15.95,16.00,891800,,
2017-03-22,16.00,16.00,15.80,15.85,506800,,
2017-03-23,15.97,16.00,15.73,15.73,514100,,
2017-03-24,15.75,16.00,15.73,15.80,548800,,
2017-03-27,15.78,15.87,15.77,15.85,859600,,
2017-03-28,15.84,15.96,15.84,15.90,2530900,,
2017-03-29,15.91,16.26,15.91,16.25,2384200,,
2017-03-30,16.55,16.60,15.99,16.28,3010900,,
2017-03-31,16.28,16.48,16.00,16.30,1458000,,
2017-04-03,16.49,16.50,16.00,16.35,720000,,
2017-04-04,16.31,16.49,16.31,16.49,924200,,
2017-04-05,16.46,16.53,16.42,16.48,120500,,
2017-04-06,16.50,16.50,16.38,16.41,66000,,
2017-04-07,16.40,16.46,16.07,16.25,135000,,
2017-04-10,16.29,16.30,16.23,16.25,154400,,
2017-04-11,16.24,16.25,16.07,16.15,78100,,
2017-04-12,16.12,16.12,15.98,16.00,221300,,
2017-04-13,16.00,16.21,16.00,16.17,367800,,
2017-04-17,16.18,16.22,15.90,15.98,1134100,,
2017-04-18,15.98,16.03,15.88,16.00,582200,,
2017-04-19,16.00,16.01,15.70,15.80,752600,,
2017-04-20,15.80,15.86,15.55,15.55,402100,,
2017-04-21,15.55,15.55,14.97,15.20,1135000,,
2017-04-24,15.19,15.60,15.16,15.48,344200,,
2017-04-25,15.53,15.55,15.35,15.45,614400,,
2017-04-26,15.43,15.65,15.40,15.63,640600,,
2017-04-27,15.63,15.65,15.20,15.22,536500,,
2017-04-28,15.32,15.33,14.95,14.95,629000,,
2017-05-01,15.00,15.05,14.93,14.98,530300,,
2017-05-02,15.00,15.02,14.50,14.59,735100,,
2017-05-03,14.59,14.94,14.59,14.69,770400,,
2017-05-04,14.71,14.80,14.61,14.62,692200,,
2017-05-05,14.71,15.24,14.71,15.03,1424300,,
2017-05-08,15.03,15.05,14.97,15.00,2124100,,
2017-05-09,15.00,15.02,14.97,15.01,2346700,,
2017-05-10,15.15,15.30,14.98,15.15,2299800,,
2017-05-11,15.10,15.35,15.00,15.32,3080400,,
2017-05-12,15.35,15.83,15.33,15.58,972700,,
2017-05-15,15.54,15.77,15.50,15.73,692600,,
2017-05-16,15.77,16.00,15.39,15.42,1235800,,
2017-05-17,15.47,15.67,15.03,15.09,1080900,,
2017-05-18,15.15,15.15,14.69,14.80,1413600,,
2017-05-19,15.25,15.30,14.50,15.04,5709800,,
2017-05-22,15.00,15.14,14.88,14.96,1442200,,
2017-05-23,14.95,15.01,14.85,15.00,1370200,,
2017-05-24,14.96,15.09,14.81,15.00,1953300,,
2017-05-25,14.97,15.03,14.80,14.85,2504400,,
2017-05-26,14.89,15.05,14.78,14.99,2107000,,
2017-05-30,14.95,14.99,14.76,14.92,1328500,,
2017-05-31,14.86,14.95,14.70,14.77,1114300,,
2017-06-01,14.75,14.96,14.75,14.91,1227000,,
2017-06-02,14.95,15.02,14.81,14.99,2294200,,
2017-06-05,15.19,15.52,15.10,15.26,4910400,,
2017-06-06,15.17,15.57,15.07,15.52,3637900,,
2017-06-07,15.50,15.79,15.35,15.68,4022700,,
2017-06-08,15.60,15.85,15.56,15.72,1957000,,
2017-06-09,15.79,15.98,15.67,15.80,1820300,,
2017-06-12,15.70,16.10,15.60,16.00,2991700,,
2017-06-13,15.99,16.48,15.99,16.35,3229900,,
2017-06-14,16.30,16.80,16.30,16.79,5430800,,
2017-06-15,16.68,16.84,16.51,16.60,2330000,,
2017-06-16,16.60,16.88,16.40,16.70,22643500,,
2017-06-19,16.64,16.79,16.63,16.70,2528300,,
2017-06-20,16.66,16.78,16.61,16.72,4076800,,
2017-06-21,16.72,16.74,16.61,16.70,2813800,,
2017-06-22,16.75,16.75,16.48,16.65,4504500,,
2017-06-23,16.74,16.91,16.60,16.75,20845100,,
2017-06-26,16.75,16.86,16.62,16.70,2591600,,
2017-06-27,16.70,16.85,16.66,16.70,2854200,,
2017-06-28,16.75,16.90,16.63,16.86,2770800,,
2017-06-29,16.85,16.88,16.69,16.70,3179800,,
2017-06-30,16.69,16.82,16.61,16.79,1450000,,
2017-07-03,16.86,17.04,16.79,17.01,880700,,
2017-07-05,17.00,17.00,16.65,16.74,1571800,,
2017-07-06,16.82,16.84,16.39,16.47,1432000,,
2017-07-07,16.64,16.66,16.33,16.44,1720600,,
2017-07-10,16.41,16.51,16.31,16.42,1290000,,
2017-07-11,16.37,16.49,16.16,16.44,1709400,,
2017-07-12,16.46,16.58,16.15,16.27,2418600,,
2017-07-13,16.31,16.31,15.79,15.88,1888500,,
2017-07-14,15.89,16.07,15.82,16.02,1298400,,
2017-07-17,16.00,16.09,15.86,15.96,1130000,,
2017-07-18,16.02,16.15,15.95,16.03,1715700,,
2017-07-19,15.96,16.15,15.89,15.96,836000,,
2017-07-20,16.05,16.26,15.91,16.20,1209100,,
2017-07-21,16.28,16.42,16.25,16.39,1038700,,
2017-07-24,16.32,16.75,16.20,16.60,1410700,,
2017-07-25,16.60,16.77,16.28,16.61,1975200,,
2017-07-26,16.61,16.68,16.39,16.51,1002400,,
2017-07-27,16.43,16.55,16.37,16.52,598300,,
2017-07-28,16.48,16.54,16.37,16.43,523800,,
2017-07-31,16.40,16.49,16.36,16.43,484600,,
2017-08-01,16.38,16.61,16.33,16.61,920900,,
2017-08-02,16.49,16.60,16.28,16.52,1092000,,
2017-08-03,16.60,16.65,16.09,16.18,1056600,,
2017-08-04,16.18,16.69,15.92,16.66,1611000,,
