date,open,high,low,close,volume,div,split
2016-08-04,110.85,111.18,110.69,110.97,1113600,,
2016-08-05,111.42,111.92,111.32,111.89,1379600,,
2016-08-08,111.99,112.12,111.69,111.82,1238800,,
2016-08-09,111.94,112.18,111.75,111.92,1032500,,
2016-08-10,111.94,112.05,111.42,111.59,1259100,,
2016-08-11,111.98,112.26,111.73,112.15,1378000,,
2016-08-12,111.97,112.17,111.76,112.04,1542900,,
2016-08-15,112.29,112.64,112.07,112.45,1442800,,
2016-08-16,112.23,112.24,111.81,111.81,1228600,,
2016-08-17,111.84,112.03,111.27,111.95,2791500,,
2016-08-18,111.92,112.30,111.71,112.30,972100,,
2016-08-19,112.00,112.23,111.73,112.14,1000600,,
2016-08-22,112.04,112.25,111.77,112.17,1102000,,
2016-08-23,112.48,112.78,112.44,112.47,3252300,,
2016-08-24,112.43,112.46,111.59,111.84,2267800,,
2016-08-25,111.70,112.07,111.55,111.77,1205200,,
2016-08-26,111.87,112.55,111.05,111.54,1851100,,
2016-08-29,111.72,112.33,111.70,112.15,1071200,,
2016-08-30,112.16,112.30,111.66,111.97,1534600,,
2016-08-31,111.88,111.90,111.20,111.65,1393700,,
2016-09-01,111.77,111.89,110.97,111.71,1670900,,
2016-09-02,112.19,112.51,111.92,112.28,1563200,,
2016-09-06,112.46,112.62,112.02,112.60,4111700,,
2016-09-07,112.54,112.75,112.29,112.75,1590000,,
2016-09-08,112.57,112.67,112.26,112.46,1152400,,
2016-09-09,111.72,111.73,109.65,109.66,3337400,,
2016-09-12,109.19,111.40,109.05,111.19,3043500,,
2016-09-13,109.95,110.01,108.57,108.92,5122100,0.539,
2016-09-14,109.05,109.71,108.61,108.93,2041600,,
2016-09-15,108.86,110.25,108.74,110.05,2960400,,
2016-09-16,109.75,109.77,109.22,109.61,2779400,,
2016-09-19,110.19,110.50,109.52,109.77,3430200,,
2016-09-20,110.29,110.33,109.69,109.72,1603400,,
2016-09-21,110.11,111.08,109.71,110.98,1971800,,
2016-09-22,111.63,111.92,111.53,111.79,1525300,,
2016-09-23,111.59,111.68,111.11,111.15,1531900,,
2016-09-26,110.64,110.87,110.21,110.27,2136700,,
2016-09-27,110.23,110.95,109.99,110.90,1292400,,
2016-09-28,111.06,111.60,110.46,111.55,1439800,,
2016-09-29,111.48,111.62,110.17,110.46,2037100,,
2016-09-30,110.97,111.71,110.75,111.33,1722500,,
2016-10-03,111.09,111.23,110.63,110.99,2207600,,
2016-10-04,111.12,111.22,110.10,110.49,2701100,,
2016-10-05,110.78,111.22,110.59,110.92,2119000,,
2016-10-06,110.75,111.09,110.39,110.96,1067600,,
2016-10-07,111.15,111.23,110.06,110.54,1770400,,
2016-10-10,110.54,111.44,110.54,111.14,1135000,,
2016-10-11,110.94,110.95,109.24,109.66,1996900,,
2016-10-12,109.78,110.13,109.46,109.79,1849100,,
2016-10-13,109.01,109.72,108.48,109.40,1986200,,
2016-10-14,110.00,110.32,109.36,109.37,2673900,,
2016-10-17,109.38,109.54,108.94,109.06,2507700,,
2016-10-18,109.92,110.03,109.50,109.70,1635200,,
2016-10-19,109.94,110.25,109.62,110.05,1408200,,
2016-10-20,109.90,110.17,109.42,109.84,2017000,,
2016-10-21,109.41,109.90,109.20,109.80,1234400,,
2016-10-24,110.39,110.60,110.13,110.35,2004700,,
2016-10-25,110.25,110.33,109.79,109.88,2079100,,
2016-10-26,109.47,109.97,109.26,109.55,1827200,,
2016-10-27,110.00,110.00,109.08,109.18,1597800,,
2016-10-28,109.11,109.56,108.47,108.82,2868100,,
2016-10-31,109.05,109.21,108.81,108.89,1913600,,
2016-11-01,109.10,109.19,107.39,108.08,3169800,,
2016-11-02,107.87,108.08,107.11,107.33,2957400,,
2016-11-03,107.42,107.63,106.71,106.86,2096400,,
2016-11-04,106.89,107.51,106.69,106.79,2805400,,
2016-11-07,108.41,109.17,108.21,109.15,2527700,,
2016-11-08,109.01,109.99,108.73,109.62,2074200,,
2016-11-09,108.77,111.33,108.50,110.98,6482000,,
2016-11-10,111.59,112.13,110.48,111.37,5083500,,
2016-11-11,111.00,111.51,110.69,111.41,4005200,,
2016-11-14,111.78,112.05,111.29,111.70,5234000,,
2016-11-15,112.04,112.60,111.76,112.57,6037200,,
2016-11-16,112.37,112.53,112.14,112.41,7113900,,
2016-11-17,112.53,113.04,112.35,112.98,1874800,,
2016-11-18,113.05,113.12,112.67,112.77,2298200,,
2016-11-21,113.12,113.63,112.87,113.62,2493900,,
2016-11-22,113.88,114.04,113.44,113.95,2673200,,
2016-11-23,113.72,114.12,113.49,114.11,1818700,,
2016-11-25,114.35,114.55,114.21,114.55,889800,,
2016-11-28,114.32,114.41,113.80,113.89,1849800,,
2016-11-29,113.90,114.35,113.68,114.05,1544200,,
2016-11-30,114.47,114.55,113.78,113.78,4406200,,
2016-12-01,114.03,114.03,113.07,113.31,2601100,,
2016-12-02,113.34,113.67,113.15,113.31,1755900,,
2016-12-05,113.90,114.37,113.77,114.10,3842900,,
2016-12-06,114.34,114.71,114.02,114.68,2357100,,
2016-12-07,114.63,116.19,114.51,116.10,4000000,,
2016-12-08,116.18,116.85,115.97,116.52,2679400,,
2016-12-09,116.77,117.15,116.62,117.15,2310200,,
2016-12-12,117.12,117.35,116.59,116.85,4224500,,
2016-12-13,117.30,117.79,117.13,117.53,4393900,,
2016-12-14,117.48,117.73,116.23,116.47,3885400,,
2016-12-15,116.56,117.53,116.50,116.95,3343100,,
2016-12-16,117.27,117.38,116.59,116.77,1991600,,
2016-12-19,116.96,117.32,116.80,117.10,2405700,,
2016-12-20,116.88,116.93,116.60,116.87,2942400,0.727,
2016-12-21,116.87,116.92,116.54,116.54,2248600,,
2016-12-22,116.42,116.51,115.98,116.24,3105800,,
2016-12-23,116.23,116.42,116.13,116.42,2325800,,
2016-12-27,116.57,116.99,116.50,116.71,3386800,,
2016-12-28,116.88,116.93,115.66,115.74,2591000,,
2016-12-29,115.74,116.03,115.47,115.75,1622700,,
2016-12-30,116.00,116.00,114.96,115.32,2909900,,
2017-01-03,116.15,116.55,115.49,116.20,2731600,,
2017-01-04,116.47,117.19,116.42,117.09,3228700,,
2017-01-05,116.95,117.09,116.40,116.86,2604000,,
2017-01-06,117.02,117.52,116.64,117.23,2317600,,
2017-01-09,117.10,117.14,116.74,116.78,2461400,,
2017-01-10,116.76,117.36,116.62,116.87,2055300,,
2017-01-11,116.91,117.24,116.49,117.24,2751800,,
2017-01-12,117.04,117.04,116.01,116.93,2342300,,
2017-01-13,116.99,117.40,116.98,117.22,2031800,,
2017-01-17,116.86,117.06,116.47,116.70,2583600,,
2017-01-18,116.80,117.00,116.48,116.97,1901700,,
2017-01-19,117.03,117.14,116.24,116.51,1899300,,
2017-01-20,116.84,117.23,116.59,116.91,2636100,,
2017-01-23,116.75,116.97,116.17,116.60,1938900,,
2017-01-24,116.82,117.74,116.74,117.51,2165400,,
2017-01-25,118.02,118.56,117.94,118.52,2427800,,
2017-01-26,118.56,118.62,118.23,118.35,2178500,,
2017-01-27,118.45,118.48,118.02,118.16,1479500,,
2017-01-30,117.73,117.80,116.68,117.36,3006100,,
2017-01-31,117.00,117.46,116.73,117.46,3309700,,
2017-02-01,117.86,118.04,117.07,117.45,2614500,,
2017-02-02,117.21,117.72,117.02,117.53,1745200,,
2017-02-03,117.99,118.52,117.92,118.42,1837600,,
2017-02-06,118.26,118.41,117.94,118.14,1598800,,
2017-02-07,118.43,118.53,117.96,118.13,3365700,,
2017-02-08,118.13,118.32,117.69,118.26,1836000,,
2017-02-09,118.26,119.21,118.26,119.04,1635300,,
2017-02-10,119.29,119.70,119.21,119.54,1837800,,
2017-02-13,119.92,120.33,119.87,120.14,1985500,,
2017-02-14,120.10,120.63,119.85,120.58,2051200,,
2017-02-15,120.57,121.35,120.45,121.24,1998200,,
2017-02-16,121.25,121.37,120.64,121.13,2034600,,
2017-02-17,120.66,121.31,120.66,121.31,1948400,,
2017-02-21,121.55,122.13,121.39,122.03,2422800,,
2017-02-22,121.82,122.03,121.68,121.87,1974000,,
2017-02-23,122.21,122.23,121.32,121.78,2024900,,
2017-02-24,121.38,121.99,121.24,121.98,2962900,,
2017-02-27,121.92,122.36,121.74,122.25,2625100,,
2017-02-28,122.18,122.18,121.61,121.80,2231800,,
2017-03-01,122.81,123.73,122.65,123.44,2874400,,
2017-03-02,123.42,123.42,122.61,122.65,2421400,,
2017-03-03,122.63,122.80,122.33,122.75,1651200,,
2017-03-06,122.48,122.48,121.90,122.27,1716200,,
2017-03-07,122.21,122.29,121.75,121.88,1612500,,
2017-03-08,121.99,122.18,121.47,121.54,2374200,,
2017-03-09,121.60,121.89,121.02,121.60,3852800,,
2017-03-10,122.19,122.25,121.46,122.04,2987300,,
2017-03-13,122.06,122.16,121.86,122.13,2003900,,
2017-03-14,121.87,121.87,121.24,121.69,2269500,,
2017-03-15,121.98,123.04,121.89,122.79,1892200,,
2017-03-16,122.96,123.00,122.43,122.64,2050100,,
2017-03-17,122.84,122.88,122.45,122.57,1974000,,
2017-03-20,122.51,122.62,122.07,122.28,3239900,,
2017-03-21,122.69,122.72,120.44,120.57,3355100,,
2017-03-22,120.48,120.91,120.10,120.73,2896300,,
2017-03-23,120.66,121.39,120.47,120.69,2257100,,
2017-03-24,120.42,120.74,119.66,120.16,2305400,0.542,
2017-03-27,119.18,120.19,118.89,120.02,2927700,,
2017-03-28,119.96,121.14,119.78,120.86,2699200,,
2017-03-29,120.88,121.23,120.58,121.08,3196500,,
2017-03-30,121.14,121.62,120.99,121.53,2076900,,
2017-03-31,121.42,121.72,121.26,121.32,1815900,,
2017-04-03,121.45,121.50,120.33,121.02,3103100,,
2017-04-04,120.89,121.11,120.64,121.08,2462600,,
2017-04-05,121.49,122.02,120.44,120.59,3905800,,
2017-04-06,120.69,121.26,120.38,120.97,2056100,,
2017-04-07,120.84,121.29,120.59,120.88,1997000,,
2017-04-10,121.04,121.51,120.70,121.03,1669500,,
2017-04-11,120.87,121.00,120.06,120.99,2895500,,
2017-04-12,120.88,120.99,120.23,120.37,1967200,,
2017-04-13,120.15,120.56,119.55,119.55,2852200,,
2017-04-17,119.88,120.61,119.68,120.59,3198700,,
2017-04-18,120.20,120.57,119.85,120.33,1865800,,
2017-04-19,120.72,120.92,120.08,120.23,1806900,,
2017-04-20,120.59,121.43,120.37,121.22,1783400,,
2017-04-21,121.21,121.21,120.61,120.83,2006500,,
2017-04-24,122.17,122.28,121.88,122.11,2178800,,
2017-04-25,122.56,123.09,122.52,122.87,2145200,,
2017-04-26,122.90,123.45,122.85,122.90,3080100,,
2017-04-27,123.12,123.21,122.69,123.02,1868200,,
2017-04-28,123.16,123.21,122.55,122.61,1795800,,
2017-05-01,122.93,123.19,122.62,122.93,1983100,,
2017-05-02,123.09,123.25,122.70,122.93,1756900,,
2017-05-03,122.59,122.78,122.28,122.63,3691000,,
2017-05-04,122.83,122.83,122.16,122.72,1564300,,
2017-05-05,122.95,123.33,122.68,123.33,2057700,,
2017-05-08,123.36,123.45,122.90,123.14,2150900,,
2017-05-09,123.36,123.43,122.85,123.10,1846200,,
2017-05-10,123.09,123.38,122.93,123.37,1468500,,
2017-05-11,123.02,123.13,122.33,123.01,1499600,,
2017-05-12,122.91,122.91,122.60,122.77,1235300,,
2017-05-15,123.07,123.59,123.04,123.43,3097000,,
2017-05-16,123.63,123.65,123.07,123.36,2128400,,
2017-05-17,122.31,122.56,121.07,121.14,3703500,,
2017-05-18,120.94,122.02,120.85,121.50,2883400,,
2017-05-19,121.91,122.77,121.82,122.37,2144200,,
2017-05-22,122.67,123.10,122.64,123.02,1810100,,
2017-05-23,123.25,123.39,122.95,123.23,1796600,,
2017-05-24,123.44,123.66,123.23,123.59,1552200,,
2017-05-25,123.90,124.27,123.79,124.11,1492300,,
2017-05-26,124.00,124.15,123.93,124.09,1320800,,
2017-05-30,123.87,124.06,123.71,123.89,1348300,,
2017-05-31,124.01,124.09,123.31,123.85,2043800,,
2017-06-01,124.17,125.00,123.96,125.00,1926700,,
2017-06-02,125.09,125.58,124.87,125.41,2839300,,
2017-06-05,125.42,125.50,125.22,125.25,1494200,,
2017-06-06,124.96,125.29,124.78,124.93,2985200,,
2017-06-07,125.12,125.24,124.68,125.07,1253300,,
2017-06-08,125.12,125.53,124.88,125.29,1826700,,
2017-06-09,125.48,126.02,124.45,125.19,2585600,,
2017-06-12,125.06,125.20,124.63,125.17,1973500,,
2017-06-13,125.52,125.84,125.32,125.79,1567400,,
2017-06-14,126.00,126.02,125.10,125.61,2584300,,
2017-06-15,124.77,125.35,124.63,125.33,2483500,,
2017-06-16,125.42,125.53,124.74,125.25,2018000,,
2017-06-19,125.67,126.35,125.67,126.27,1816100,,
2017-06-20,126.16,126.17,125.40,125.41,1359500,,
2017-06-21,125.11,125.20,124.51,124.69,3364600,0.575,
2017-06-22,124.78,125.08,124.59,124.74,1639300,,
2017-06-23,124.81,125.19,124.58,125.05,1829300,,
2017-06-26,125.45,125.69,124.95,125.14,2605600,,
2017-06-27,125.09,125.23,124.10,124.11,2386300,,
2017-06-28,124.77,125.41,124.59,125.28,2444400,,
2017-06-29,125.46,125.48,123.48,124.28,2354500,,
2017-06-30,124.76,124.90,124.30,124.45,1910000,,
