date,open,high,low,close,volume,div,split
2016-08-04,33.73,33.95,33.48,33.48,5555674,,
2016-08-05,33.51,34.46,33.51,34.33,5627777,,
2016-08-08,34.75,35.02,34.25,34.28,5586764,,
2016-08-09,34.32,34.60,34.06,34.23,3949817,,
2016-08-10,34.33,34.47,32.57,32.63,7986422,,
2016-08-11,32.80,33.46,32.72,33.17,5014302,,
2016-08-12,33.17,33.58,32.96,33.49,3629651,,
2016-08-15,33.61,34.96,33.61,34.65,5733485,,
2016-08-16,34.83,34.97,34.44,34.60,4296972,,
2016-08-17,34.01,34.32,33.58,33.81,6257922,,
2016-08-18,34.00,34.70,33.92,34.63,4897614,,
2016-08-19,34.50,35.74,34.47,35.22,5169358,,
2016-08-22,35.10,35.22,34.34,34.88,3892928,,
2016-08-23,34.91,35.34,34.64,35.15,4194836,,
2016-08-24,35.24,35.53,34.20,34.32,3648569,,
2016-08-25,34.29,35.57,34.29,35.10,5455787,,
2016-08-26,35.35,35.93,35.10,35.47,4449646,,
2016-08-29,35.45,35.82,35.40,35.59,3714323,,
2016-08-30,35.75,35.98,35.32,35.60,3267413,,
2016-08-31,35.37,35.57,34.80,35.28,4414190,,
2016-09-01,35.28,35.59,34.54,35.01,3988977,,
2016-09-02,35.43,36.05,34.97,35.50,3731654,,
2016-09-06,35.60,36.05,35.40,35.94,5972154,,
2016-09-07,37.46,40.95,37.46,40.29,24617193,,
2016-09-08,40.13,40.74,39.93,40.42,9421612,,
2016-09-09,40.02,41.13,38.78,38.99,7983379,,
2016-09-12,38.55,39.71,37.87,39.54,8645144,,
2016-09-13,39.70,40.39,38.94,39.58,7321482,,
2016-09-14,39.61,39.82,39.15,39.30,5099239,,
2016-09-15,39.39,40.32,39.29,40.27,5261968,,
2016-09-16,41.37,42.29,41.04,41.53,12578952,,
2016-09-19,41.84,42.67,41.07,41.29,6276180,,
2016-09-20,41.51,41.76,40.90,41.13,4040574,,
2016-09-21,41.12,42.47,41.11,42.43,5553160,,
2016-09-22,42.72,42.99,42.18,42.38,6037775,,
2016-09-23,42.28,42.93,42.19,42.28,5269112,,
2016-09-26,42.03,43.61,41.95,43.09,7807685,,
2016-09-27,42.93,44.84,42.83,44.49,10494698,,
2016-09-28,44.60,44.80,43.10,43.85,6453462,0.377929,
2016-09-29,44.16,45.25,43.51,44.04,7100012,,
2016-09-30,44.16,44.71,43.61,44.20,5816966,,
2016-10-03,44.61,45.71,44.40,44.49,6831840,,
2016-10-04,44.86,45.01,44.02,44.36,6087388,,
2016-10-05,44.21,45.12,43.98,44.78,5876766,,
2016-10-06,44.75,44.79,43.29,43.88,6568166,,
2016-10-07,43.77,44.68,43.74,44.35,4652991,,
2016-10-10,44.85,45.15,44.39,44.79,4976332,,
2016-10-11,44.79,44.86,42.37,42.80,8451059,,
2016-10-12,42.89,43.73,42.31,42.65,5678978,,
2016-10-13,42.04,42.05,40.61,41.78,6585894,,
2016-10-14,42.04,42.68,41.35,41.45,5070927,,
2016-10-17,41.44,42.12,39.63,40.20,8723201,,
2016-10-18,40.87,41.09,40.06,40.81,4145885,,
2016-10-19,39.83,40.79,39.38,40.51,4902244,,
2016-10-20,40.51,41.04,40.29,40.71,2930710,,
2016-10-21,40.46,40.54,39.77,40.11,3656640,,
2016-10-24,40.30,40.63,40.18,40.45,4177108,,
2016-10-25,40.85,41.15,40.14,40.54,4412470,,
2016-10-26,40.45,42.83,40.17,42.72,11676798,,
2016-10-27,44.26,46.84,44.22,45.03,19958117,,
2016-10-28,45.11,46.11,44.67,44.75,6297745,,
2016-10-31,44.78,45.31,44.16,44.17,4449514,,
2016-11-01,44.23,44.52,42.55,43.27,5055315,,
2016-11-02,43.17,43.56,41.68,41.72,5578033,,
2016-11-03,41.90,42.31,41.47,41.68,4223810,,
2016-11-04,41.36,42.31,41.01,41.59,3579509,,
2016-11-07,42.64,43.81,42.55,43.59,5957469,,
2016-11-08,43.34,43.67,42.82,43.28,3935793,,
2016-11-09,42.39,43.87,41.61,43.45,7698934,,
2016-11-10,43.82,44.97,42.83,42.96,6424885,,
2016-11-11,42.87,44.59,42.52,44.51,8229060,,
2016-11-14,44.34,45.76,44.33,44.96,5841839,,
2016-11-15,44.97,45.34,44.38,45.13,5355107,,
2016-11-16,44.99,45.22,44.49,45.00,3917668,,
2016-11-17,45.13,45.54,43.55,44.44,8752968,,
2016-11-18,44.57,46.05,44.07,46.05,6399748,,
2016-11-21,46.18,47.12,46.01,46.24,5142766,,
2016-11-22,46.45,46.78,45.59,46.25,3567205,,
2016-11-23,45.96,46.47,45.58,46.14,2912717,,
2016-11-25,46.08,46.65,45.85,46.55,1740274,,
2016-11-28,46.13,47.71,46.13,47.07,6253424,,
2016-11-29,47.08,48.59,47.08,47.37,6685119,,
2016-11-30,47.82,48.65,47.43,48.12,7121709,,
2016-12-01,48.28,49.88,46.39,46.57,7287613,,
2016-12-02,46.49,48.11,46.49,47.88,4626399,,
2016-12-05,48.48,49.04,45.94,46.93,9083189,,
2016-12-06,46.92,48.58,46.75,48.26,6680489,,
2016-12-07,51.34,52.61,50.12,52.27,20473425,,
2016-12-08,52.33,52.53,51.07,51.59,6312165,,
2016-12-09,51.70,52.46,51.07,51.18,4102226,,
2016-12-12,51.16,51.16,49.19,50.11,4812677,,
2016-12-13,50.33,52.00,50.33,51.32,4696915,,
2016-12-14,50.98,51.62,50.45,50.77,3384499,,
2016-12-15,50.87,52.03,50.49,51.32,3709824,,
2016-12-16,51.99,52.00,50.57,50.78,6418931,,
2016-12-19,50.90,51.72,50.66,51.67,3372989,,
2016-12-20,52.31,54.17,51.95,52.12,5669849,,
2016-12-21,52.16,52.75,51.60,52.32,3619728,,
2016-12-22,53.96,54.43,52.77,53.05,7221728,,
2016-12-23,53.02,53.43,52.68,53.17,2986143,,
2016-12-27,52.68,53.27,52.57,53.04,2781608,,
2016-12-28,52.80,53.79,51.87,52.31,4163481,0.377929,
2016-12-29,52.17,52.49,51.25,51.72,4324226,,
2016-12-30,51.81,52.46,51.10,51.36,3736284,,
2017-01-03,52.12,53.14,51.84,52.48,5925717,,
2017-01-04,52.59,54.10,52.57,53.32,4833184,,
2017-01-05,53.71,54.52,53.01,53.33,4813471,,
2017-01-06,53.27,53.81,52.88,53.20,4331899,,
2017-01-09,53.59,54.65,53.24,54.32,5172401,,
