date,open,high,low,close,volume,div,split
2025-10-09,29.87,30.54,29.87,30.29,29000,,
2025-10-10,30.42,30.42,28.67,28.68,35700,,
2025-10-13,29.49,31.36,29.41,31.33,63400,,
2025-10-14,31.01,32.11,30.29,31.40,56000,,
2025-10-15,32.40,32.40,30.49,31.57,59500,,
2025-10-16,31.60,31.60,29.59,29.79,21000,,
2025-10-17,29.22,29.59,28.75,29.37,17800,,
2025-10-20,29.87,29.87,28.70,28.88,26800,,
2025-10-21,28.69,28.76,28.06,28.21,14500,,
2025-10-22,27.78,27.84,26.39,26.95,12400,,
2025-10-23,28.12,28.54,27.73,28.17,57800,,
2025-10-24,29.01,29.41,28.59,28.59,37500,,
2025-10-27,29.13,29.86,29.09,29.42,36000,,
2025-10-28,29.39,30.04,28.84,28.84,39400,,
2025-10-29,29.07,29.67,28.97,29.55,142600,,
2025-10-30,29.22,30.11,29.14,29.90,32400,,
2025-10-31,30.02,30.36,29.66,30.29,33800,,
2025-11-03,30.50,30.50,29.15,29.32,24600,,
2025-11-04,28.47,28.73,27.69,27.69,11100,,
2025-11-05,27.90,28.45,27.79,28.34,11100,,
2025-11-06,28.43,28.43,27.59,27.67,14200,,
2025-11-07,27.18,27.61,26.38,27.54,38100,,
2025-11-10,28.26,28.34,27.60,27.96,29000,,
2025-11-11,27.51,27.76,27.37,27.46,25600,,
2025-11-12,27.69,27.69,26.93,26.98,24900,,
2025-11-13,26.55,26.55,25.43,25.58,25000,,
2025-11-14,24.84,26.09,24.80,25.65,37300,,
2025-11-17,25.52,25.94,25.12,25.32,26900,,
2025-11-18,24.93,25.32,24.78,25.11,10900,,
2025-11-19,25.25,25.61,25.03,25.17,22700,,
2025-11-20,25.77,25.84,23.78,23.78,24000,,
2025-11-21,24.02,24.34,23.25,24.20,44400,,
2025-11-24,24.44,25.43,24.44,25.38,39100,,
2025-11-25,25.19,25.54,24.73,25.44,34200,,
2025-11-26,25.63,25.76,25.42,25.63,30500,,
2025-11-28,25.71,26.06,25.65,26.05,10300,,
2025-12-01,25.74,25.80,25.59,25.60,15800,,
2025-12-02,25.76,26.19,25.76,26.06,17300,,
2025-12-03,25.97,26.81,25.92,26.81,30000,,
2025-12-04,26.76,27.68,26.66,27.67,26900,,
2025-12-05,27.68,27.74,27.32,27.36,51800,,
2025-12-08,27.59,27.73,27.14,27.56,25100,,
2025-12-09,27.57,27.70,27.30,27.67,23400,,
2025-12-10,27.45,27.64,27.18,27.39,53600,,
2025-12-11,27.24,27.57,26.74,27.55,46600,,
2025-12-12,27.32,27.45,26.45,26.58,43400,,
2025-12-15,26.81,26.81,25.89,25.89,33800,,
2025-12-16,25.81,26.17,25.76,26.17,23200,,
2025-12-17,26.20,26.34,25.21,25.22,31200,,
2025-12-18,25.90,25.91,25.43,25.53,31200,,
2025-12-19,25.71,26.38,25.71,26.29,25500,,
2025-12-22,26.62,27.46,26.58,27.31,36900,,
2025-12-23,27.07,27.27,26.85,26.89,40100,,
2025-12-24,26.98,26.98,26.54,26.72,24900,,
2025-12-26,26.69,26.69,26.13,26.16,27500,,
2025-12-29,25.96,26.23,25.89,26.08,30400,,
2025-12-30,26.27,26.44,26.13,26.16,34400,,
2025-12-31,26.10,26.15,25.86,25.88,20500,,
2026-01-02,26.35,26.89,26.15,26.77,27200,,
2026-01-05,27.21,27.91,27.21,27.62,46600,,
2026-01-06,27.75,28.23,27.70,28.23,41200,,
2026-01-07,28.07,28.41,27.96,28.01,36100,,
2026-01-08,27.84,28.01,27.56,27.80,27300,,
2026-01-09,27.93,28.49,27.90,28.15,56100,,
2026-01-12,27.89,28.41,27.83,28.41,32200,,
2026-01-13,28.57,28.69,28.13,28.24,32100,,
2026-01-14,28.27,28.57,27.92,28.57,21200,,
2026-01-15,29.07,29.13,28.52,28.53,55300,,
2026-01-16,28.74,28.97,28.50,28.75,29600,,
2026-01-20,28.09,28.90,28.08,28.26,40000,,
2026-01-21,28.49,28.66,27.69,28.45,51500,,
2026-01-22,28.87,28.87,28.48,28.78,58100,,
2026-01-23,28.54,28.58,28.00,28.09,46800,,
2026-01-26,28.11,28.27,27.55,27.60,49200,,
2026-01-27,28.03,28.42,27.99,28.33,26300,,
2026-01-28,28.55,28.64,28.33,28.45,38500,,
2026-01-29,28.32,28.32,27.32,27.80,53100,,
2026-01-30,27.76,27.76,26.80,26.98,43400,,
2026-02-02,26.91,27.32,26.86,27.15,72700,,
2026-02-03,27.41,27.41,26.41,27.04,45700,,
2026-02-04,26.71,26.85,25.59,26.11,45500,,
2026-02-05,25.65,26.02,25.25,25.27,25700,,
2026-02-06,25.56,26.87,25.53,26.73,80800,,
2026-02-09,26.75,27.32,26.53,27.25,23200,,
2026-02-10,27.26,27.33,26.92,26.97,22400,,
2026-02-11,27.35,27.35,26.65,27.00,9600,,
2026-02-12,26.90,26.90,26.00,26.13,38300,,
2026-02-13,26.26,26.77,26.00,26.65,27900,,
2026-02-17,26.22,26.50,25.80,26.23,22200,,
2026-02-18,26.36,26.75,26.19,26.44,35900,,
2026-02-19,26.08,26.36,25.97,26.32,35100,,
2026-02-20,26.19,26.54,26.15,26.34,32300,,
2026-02-23,26.12,26.21,25.75,25.87,15600,,
2026-02-24,25.88,26.39,25.83,26.39,16700,,
2026-02-25,26.66,27.30,26.66,27.24,20100,,
2026-02-26,27.80,27.96,27.24,27.60,36400,,
2026-02-27,27.09,27.12,26.67,27.10,22700,,
2026-03-02,26.40,27.24,26.38,27.22,30800,,
2026-03-03,26.24,26.60,25.84,26.43,25500,,
2026-03-04,26.76,27.12,26.57,27.11,55700,,
2026-03-05,26.61,26.70,25.81,26.46,33300,,
2026-03-06,25.83,26.48,25.83,25.94,20000,,
2026-03-09,25.58,26.58,25.38,26.51,35700,,
2026-03-10,26.63,27.00,26.49,26.53,17400,,
2026-03-11,26.46,26.66,26.20,26.34,15700,,
2026-03-12,26.16,26.16,25.66,25.74,19900,,
2026-03-13,25.94,26.28,25.54,25.55,14500,,
2026-03-16,26.01,26.19,25.73,25.88,15000,,
2026-03-17,25.97,26.07,25.84,25.97,8000,,
2026-03-18,25.86,25.93,25.50,25.50,13100,,
2026-03-19,25.02,25.66,24.82,25.54,39600,,
2026-03-20,25.54,25.54,24.60,24.80,19000,,
2026-03-23,25.24,25.76,25.15,25.61,27400,,
2026-03-24,25.31,25.88,25.31,25.80,43500,,
2026-03-25,25.99,26.34,25.77,25.95,17600,,
2026-03-26,25.50,25.62,24.79,24.79,7700,,
2026-03-27,24.65,24.65,24.01,24.13,15200,,
2026-03-30,24.30,24.30,23.18,23.32,57000,,
2026-03-31,23.88,24.79,23.74,24.70,20500,,
2026-04-01,25.09,25.25,24.77,24.87,11000,,
2026-04-02,24.14,25.31,24.11,25.29,22000,,
2026-04-06,25.41,25.57,25.20,25.38,17700,,
2026-04-07,25.22,25.36,24.75,25.36,17700,,
2026-04-08,26.81,26.97,26.16,26.66,22300,,
2026-04-09,26.56,26.80,26.34,26.61,33200,,
2026-04-10,26.72,27.05,26.72,26.82,12000,,
2026-04-13,26.70,27.36,26.55,27.36,19100,,
2026-04-14,27.98,28.63,27.91,28.61,47100,,
2026-04-15,29.28,30.05,29.07,30.05,141500,,
2026-04-16,30.47,30.64,29.57,30.60,95200,,
2026-04-17,31.13,31.47,30.95,31.29,100200,,
2026-04-20,30.95,31.42,30.80,31.28,69900,,
2026-04-21,31.54,31.65,30.86,30.95,41900,,
2026-04-22,31.41,31.51,31.03,31.34,52200,,
2026-04-23,31.20,31.38,30.18,30.66,37300,,
2026-04-24,31.34,31.34,30.67,31.17,40900,,
2026-04-27,31.14,31.18,30.68,31.17,72000,,
2026-04-28,30.41,30.52,29.95,30.36,70900,,
2026-04-29,30.58,30.68,30.12,30.68,63000,,
2026-04-30,30.91,31.73,30.60,31.72,64200,,
2026-05-01,31.69,32.11,31.26,32.05,48000,,
2026-05-04,32.21,32.70,31.93,32.11,116600,,
2026-05-05,32.53,33.05,32.21,33.02,113800,,
2026-05-06,33.60,34.68,33.40,34.63,268400,,
